Keuwl Accelerometer Data File
2021-04-27 01-00-28

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,0.210696,0.380690,9.847652,9.857260,2.529871,61.037262
0.0019998,0.205908,0.395055,9.845258,9.855331,2.590801,62.470928
0.0039995,0.225062,0.397450,9.823709,9.834322,2.662049,60.478638
0.0059993,0.241822,0.399844,9.821315,9.832425,2.724049,58.834854
0.0079990,0.251399,0.414210,9.787795,9.799781,2.834070,58.744911
0.0099988,0.258582,0.414210,9.783007,9.795185,2.857389,58.024399
0.0119987,0.256187,0.409421,9.768641,9.780573,2.830407,57.964508
0.0139984,0.284919,0.407027,9.735122,9.747792,2.921680,55.007980
0.0159981,0.304073,0.409421,9.718362,9.731733,3.003874,53.399097
0.0179979,0.311256,0.409421,9.706390,9.720006,3.032994,52.756672
0.0199976,0.328016,0.421392,9.689631,9.704334,3.154426,52.102486
0.0219974,0.330410,0.423787,9.682447,9.697348,3.176628,52.057846
0.0239972,0.332804,0.438152,9.668081,9.683725,3.257263,52.781044
0.0259969,0.347170,0.438152,9.656111,9.672279,3.313398,51.608463
0.0279967,0.347170,0.440547,9.653716,9.669997,3.325254,51.760353
0.0299964,0.339987,0.447729,9.651321,9.667681,3.333663,52.788479
0.0319961,0.335198,0.450124,9.656111,9.672406,3.326313,53.325653
0.0339959,0.349564,0.457306,9.627379,9.644571,3.421538,52.605778
0.0359956,0.347170,0.454912,9.615408,9.632421,3.405881,52.650650
0.0379954,0.342381,0.462095,9.610620,9.627812,3.424627,53.464046
0.0399952,0.316044,0.464489,9.601042,9.617465,3.348897,55.768147
0.0419948,0.308861,0.466884,9.593859,9.610177,3.339413,56.513832
0.0439946,0.306467,0.466884,9.581888,9.598150,3.335717,56.718693
0.0459943,0.275342,0.474066,9.574705,9.590387,3.277038,59.851635
0.0479940,0.258582,0.474066,9.569917,9.585140,3.229618,61.389542
0.0499938,0.232245,0.474066,9.567522,9.582075,3.158209,63.899815
0.0519936,0.227456,0.466884,9.565128,9.579217,3.107846,64.025604
0.0539934,0.213090,0.464489,9.562734,9.576379,3.058959,65.356102
0.0559932,0.165205,0.471672,9.579494,9.592522,2.986489,70.696999
0.0579929,0.155628,0.457306,9.577099,9.589274,2.887579,71.205833
0.0599926,0.160416,0.440547,9.593859,9.605308,2.797714,69.991898
0.0619923,0.172388,0.433364,9.598648,9.609972,2.781715,68.307831
0.0639921,0.181965,0.428575,9.598648,9.609934,2.777067,66.994843
0.0659918,0.162811,0.418998,9.620196,9.630692,2.675251,68.765297
0.0679917,0.160416,0.407027,9.634562,9.644489,2.599927,68.489723
0.0699915,0.172388,0.402238,9.665688,9.675590,2.592387,66.801414
0.0719911,0.169994,0.402238,9.689631,9.699466,2.580430,67.090157
0.0739909,0.162811,0.404632,9.730332,9.740103,2.566511,68.081779
0.0759906,0.160416,0.397450,9.766247,9.775647,2.512870,68.020287
0.0779904,0.150839,0.371113,9.830893,9.839051,2.333471,67.880638
0.0799901,0.150839,0.366324,9.900327,9.908250,2.291491,67.619865
0.0819898,0.155628,0.363930,9.933846,9.941729,2.281733,66.846916
0.0839896,0.165205,0.371113,9.967366,9.975640,2.333723,66.003220
0.0862121,0.172388,0.366324,9.986520,9.994723,2.321530,64.798874
0.0882119,0.196331,0.351958,10.003280,10.011395,2.307069,60.846210
0.0902116,0.239427,0.335198,10.020041,10.028504,2.354181,54.462322
0.0922114,0.253793,0.325621,10.046377,10.054856,2.353183,52.066730
0.0942112,0.272947,0.320833,10.063137,10.071949,2.396861,49.610649
0.0962109,0.275342,0.316044,10.063137,10.071863,2.385237,48.937225
0.0982107,0.282524,0.320833,10.012857,10.021979,2.444726,48.632950
0.1002105,0.280130,0.294496,9.929058,9.937374,2.344183,46.432095
0.1022103,0.287313,0.287313,9.893144,9.901484,2.351935,45.000000
0.1042101,0.282524,0.308861,9.833286,9.842192,2.437510,47.549950
0.1062098,0.260976,0.330410,9.739910,9.749006,2.475279,51.696377
0.1082096,0.263370,0.335198,9.699207,9.708570,2.516528,51.842773
0.1102093,0.251399,0.375901,9.584282,9.594945,2.701463,56.225796
0.1122091,0.258582,0.375901,9.545974,9.556871,2.736452,55.475994
0.1142088,0.256187,0.397450,9.510059,9.521808,2.846476,57.195049
0.1162086,0.239427,0.433364,9.462174,9.475119,2.995260,61.079956
0.1182083,0.232245,0.457306,9.435837,9.449766,3.111309,63.076107
0.1202081,0.244216,0.486038,9.375980,9.391746,3.320304,63.322163
0.1222078,0.256187,0.495615,9.364009,9.380614,3.409672,62.665184
0.1242076,0.258582,0.509981,9.354432,9.371891,3.497824,63.113068
0.1262074,0.277736,0.512375,9.337671,9.355842,3.571496,61.539822
0.1282071,0.284919,0.519558,9.347249,9.366013,3.627362,61.260204
0.1302068,0.304073,0.514769,9.385557,9.404580,3.644863,59.429752
0.1322066,0.308861,0.505192,9.411894,9.430502,3.599891,58.559452
0.1342063,0.318439,0.490826,9.440625,9.458737,3.546299,57.025280
0.1362060,0.311256,0.493221,9.519637,9.537486,3.505875,57.745289
0.1382058,0.328016,0.488432,9.596253,9.614273,3.508499,56.115929
0.1402055,0.304073,0.478855,9.660899,9.677538,3.360278,57.584454
0.1422053,0.304073,0.476461,9.701602,9.718053,3.334309,57.454350
0.1442050,0.284919,0.474066,9.768641,9.784286,3.240572,58.993710
0.1462048,0.265765,0.440547,9.799767,9.813263,3.005307,58.899063
0.1482046,0.268159,0.433364,9.857229,9.870395,2.959625,58.251419
0.1502044,0.296890,0.421392,9.921875,9.935256,2.974009,54.833565
0.1522041,0.296890,0.411815,9.938635,9.951593,2.924292,54.211025
0.1542038,0.292102,0.387873,9.976943,9.988751,2.786286,53.017094
0.1562036,0.292102,0.383084,9.988914,10.000525,2.761091,52.674480
0.1582033,0.272947,0.349564,10.000886,10.010715,2.539293,52.016502
0.1602030,0.275342,0.335198,9.991309,10.000721,2.485931,50.599339
0.1622028,0.280130,0.325621,9.993703,10.002930,2.461084,49.294785
0.1642026,0.287313,0.320833,9.996098,10.005371,2.467041,48.154842
0.1662023,0.282524,0.323227,9.996098,10.005312,2.459174,48.844135
0.1682020,0.277736,0.311256,10.008069,10.016759,2.386795,48.257221
0.1702018,0.268159,0.320833,10.003280,10.012015,2.393592,50.110416
0.1722015,0.270553,0.320833,9.991309,10.000119,2.405257,49.859615
0.1742013,0.287313,0.318439,9.938635,9.947886,2.471084,47.941467
0.1762010,0.284919,0.313650,9.890749,9.899821,2.453118,47.748093
0.1782008,0.275342,0.311256,9.873989,9.882730,2.409891,48.503532
0.1802005,0.272947,0.323227,9.830893,9.839991,2.464025,49.820766
0.1822002,0.277736,0.332804,9.806950,9.816525,2.530799,50.153908
0.1841999,0.272947,0.335198,9.763853,9.773417,2.534972,50.844563
0.1861997,0.275342,0.351958,9.703996,9.714279,2.636559,51.963467
0.1881994,0.272947,0.363930,9.687236,9.697911,2.688608,53.130100
0.1901991,0.280130,0.378295,9.644139,9.655621,2.794353,53.479820
