Keuwl Accelerometer Data File
2021-04-27 01-02-41

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.033520,0.117319,9.584282,9.585058,0.729273,105.945396
0.0019997,-0.028731,0.122108,9.591465,9.592285,0.749127,103.240517
0.0039995,-0.021548,0.141262,9.591465,9.592529,0.853404,98.673172
0.0059993,-0.031126,0.148445,9.593859,9.595057,0.905686,101.842079
0.0079991,-0.031126,0.160416,9.615408,9.616796,0.973576,100.980652
0.0099988,-0.028731,0.155628,9.605830,9.607134,0.943983,100.459908
0.0119986,-0.023943,0.148445,9.613013,9.614189,0.896130,99.162346
0.0139983,-0.021548,0.143656,9.608225,9.609323,0.865924,98.530762
0.0159980,-0.021548,0.150839,9.624985,9.626191,0.907198,98.130104
0.0179978,-0.023943,0.150839,9.668081,9.669288,0.905038,99.019325
0.0199975,-0.028731,0.165205,9.670476,9.671929,0.993275,99.865807
0.0219973,-0.021548,0.162811,9.675264,9.676658,0.972370,97.539444
0.0239970,-0.019154,0.143656,9.675264,9.676350,0.858206,97.594643
0.0259968,-0.026337,0.136474,9.672871,9.673869,0.823295,100.922806
0.0279965,-0.014366,0.131685,9.677659,9.678565,0.783846,96.225830
0.0299962,-0.016760,0.143656,9.660899,9.661982,0.857750,96.654427
0.0319960,-0.026337,0.143656,9.660899,9.662003,0.865924,100.388855
0.0339957,-0.026337,0.134079,9.675264,9.676229,0.809150,101.113037
0.0359954,-0.016760,0.131685,9.694419,9.695328,0.784595,97.253197
0.0379952,-0.009577,0.136474,9.696813,9.697778,0.808425,94.014175
0.0399950,-0.019154,0.150839,9.715967,9.717156,0.896348,97.236923
0.0419947,-0.007183,0.155628,9.742304,9.743549,0.916212,92.642548
0.0439944,-0.007183,0.153234,9.759064,9.760269,0.900486,92.683777
0.0459942,-0.004789,0.160416,9.787795,9.789111,0.939620,91.709816
0.0479939,-0.004789,0.158022,9.809344,9.810618,0.923445,91.735703
0.0499936,-0.014366,0.143656,9.862018,9.863074,0.838601,95.710594
0.0519934,-0.007183,0.129291,9.876384,9.877233,0.751214,93.179832
0.0539932,0.009577,0.114925,9.893144,9.893816,0.667933,85.236359
0.0559929,0.019154,0.107742,9.921875,9.922479,0.632110,79.919403
0.0579926,0.019154,0.081405,9.936240,9.936592,0.482139,76.759483
0.0599924,0.045491,0.067040,9.986520,9.986848,0.464360,55.840309
0.0619921,0.040703,0.067040,10.012857,10.013165,0.448934,58.736271
0.0639918,0.040703,0.069434,10.039194,10.039516,0.459275,59.620876
0.0659916,0.043097,0.079011,10.091868,10.092270,0.510907,61.389542
0.0679913,0.014366,0.057463,10.122993,10.123167,0.335718,75.963753
0.0699911,-0.019154,0.043097,10.115811,10.115921,0.266879,113.962486
0.0719908,-0.038308,0.031126,10.103840,10.103960,0.279765,140.906143
0.0739906,-0.050280,-0.002394,10.065532,10.065658,0.286674,182.726318
0.0759903,-0.050280,-0.014366,10.046377,10.046514,0.298707,195.945404
0.0779900,-0.059857,-0.026337,10.043983,10.044195,0.372729,203.749496
0.0799897,-0.043097,-0.043097,10.010463,10.010649,0.349426,225.000000
0.0819895,-0.038308,-0.067040,9.972155,9.972453,0.443231,240.255127
0.0839893,-0.016760,-0.052674,9.871595,9.871750,0.320816,252.349869
0.0859891,0.000000,-0.033520,9.840469,9.840527,0.195835,270.000000
0.0879888,0.031126,0.000000,9.780613,9.780663,0.182384,0.000000
0.0899886,0.038308,0.038308,9.713573,9.713724,0.320206,45.000000
0.0919883,0.050280,0.057463,9.677659,9.677960,0.451975,48.814075
0.0939880,0.043097,0.110137,9.624985,9.625711,0.704156,68.629379
0.0959878,0.055068,0.126897,9.591465,9.592463,0.826379,66.540977
0.0979875,0.059857,0.167599,9.536397,9.538057,1.069177,70.346176
0.0999873,0.050280,0.186753,9.507666,9.509633,1.165501,74.931511
0.1019870,0.040703,0.191542,9.505271,9.507288,1.180183,78.003098
