LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Speed ( m/s),Time since start in ms 
55.85561,37.47873,180.0588,0,8
55.85561,37.47873,180.0588,0,18
55.85561,37.47873,180.0588,0,28
55.85561,37.47873,180.0588,0,38
55.85561,37.47873,180.0588,0,48
55.85561,37.47873,180.0588,0,58
55.85561,37.47873,180.0588,0,68
55.85561,37.47873,180.0588,0,78
55.85561,37.47873,180.0588,0,89
55.85561,37.47873,180.0588,0,98
55.85561,37.47873,180.0588,0,108
55.85561,37.47873,180.0588,0,119
55.85561,37.47873,180.0588,0,128
55.85561,37.47873,180.0588,0,138
55.85561,37.47873,180.0588,0,149
55.85561,37.47873,180.0588,0,159
55.85561,37.47873,180.0588,0,168
55.85561,37.47873,180.0588,0,178
55.85561,37.47873,180.0588,0,189
55.85561,37.47873,180.0588,0,198
55.85561,37.47873,180.0588,0,208
55.85561,37.47873,180.0588,0,219
55.85561,37.47873,180.0588,0,228
55.85561,37.47873,180.0588,0,238
55.85561,37.47873,180.0588,0,248
55.85561,37.47873,180.0588,0,258
55.85561,37.47873,180.0588,0,269
55.85561,37.47873,180.0588,0,278
55.85561,37.47873,180.0588,0,288
55.85561,37.47873,180.0588,0,298
55.85561,37.47873,180.0588,0,308
55.85561,37.47873,180.0588,0,318
55.85561,37.47873,180.0588,0,328
55.85561,37.47873,180.0588,0,338
55.85561,37.47873,180.0588,0,348
55.85561,37.47873,180.0588,0,358
55.85561,37.47873,180.0588,0,368
55.85561,37.47873,180.0588,0,378
55.85561,37.47873,180.0588,0,388
55.85561,37.47873,180.0588,0,399
55.85561,37.47873,180.0588,0,408
55.85561,37.47873,180.0588,0,418
55.85561,37.47873,180.0588,0,428
55.85561,37.47873,180.0588,0,439
55.85561,37.47873,180.0588,0,449
55.85561,37.47873,180.0588,0,458
55.85561,37.47873,180.0588,0,468
55.85561,37.47873,180.0588,0,479
55.85561,37.47873,180.0588,0,488
55.85561,37.47873,180.0588,0,499
55.85561,37.47873,180.0588,0,508
55.85561,37.47873,180.0588,0,518
55.85561,37.47873,180.0588,0,529
55.85561,37.47873,180.0588,0,538
55.85561,37.47873,180.0588,0,548
55.85561,37.47873,180.0588,0,558
55.85561,37.47873,180.0588,0,568
55.85561,37.47873,180.0588,0,578
55.85561,37.47873,180.0588,0,588
55.85561,37.47873,180.0588,0,598
55.85561,37.47873,180.0588,0,608
55.85561,37.47873,180.0588,0,618
55.85561,37.47873,180.0588,0,629
55.85561,37.47873,180.0588,0,638
55.85561,37.47873,180.0588,0,648
55.85561,37.47873,180.0588,0,659
55.85561,37.47873,180.0588,0,668
55.85561,37.47873,180.0588,0,678
55.85561,37.47873,180.0588,0,690
55.85561,37.47873,180.0588,0,698
55.85561,37.47873,180.0588,0,708
55.85561,37.47873,180.0588,0,718
55.85561,37.47873,180.0588,0,728
55.85561,37.47873,180.0588,0,738
55.85561,37.47873,180.0588,0,749
55.85561,37.47873,180.0588,0,758
55.85561,37.47873,180.0588,0,769
55.85561,37.47873,180.0588,0,778
55.85561,37.47873,180.0588,0,789
55.85561,37.47873,180.0588,0,799
55.85561,37.47873,180.0588,0,808
55.85561,37.47873,180.0588,0,818
55.85561,37.47873,180.0588,0,828
55.85561,37.47873,180.0588,0,838
55.85561,37.47873,180.0588,0,849
55.85561,37.47873,180.0588,0,858
55.85561,37.47873,180.0588,0,868
55.85561,37.47873,180.0588,0,878
55.85561,37.47873,180.0588,0,888
55.85561,37.47873,180.0588,0,899
55.85561,37.47873,180.0588,0,908
55.85561,37.47873,180.0588,0,918
