ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),ATMOSPHERIC PRESSURE (hPa),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.69434,0.361536,9.155706,0.34189,0.139938,9.799689,-0.192018,-0.009229,-3.24E-4,-14.04,-1.5,-43.32,91.3084,-0.943,-2.0495,984.7329,55.855698,37.480846,178.0536,NaN,,0.0049,2.0,85.4569,30 / 30,,9,2021-05-20 22:06:59:471
0.69434,0.361536,9.155706,0.341199,0.111577,9.800077,-0.212176,-0.019614,-0.009487,-13.98,-1.56,-43.02,91.3084,-0.943,-2.0495,984.7329,55.855698,37.480846,178.0536,NaN,,0.0049,2.0,85.4569,30 / 30,,19,2021-05-20 22:06:59:481
0.61054,0.184359,9.634562,0.341199,0.111577,9.800077,-0.187131,-0.014727,-0.012541,-13.98,-1.56,-43.02,91.3084,-0.943,-2.0495,984.7329,55.855698,37.480846,178.0536,NaN,,0.0049,2.0,85.4569,30 / 30,,29,2021-05-20 22:06:59:491
0.500403,0.112531,9.79019,0.344971,0.071429,9.800321,-0.187131,-0.014727,-0.012541,-13.86,-1.62,-42.66,96.8696,-0.6519,-1.994,984.7329,55.855698,37.480846,178.0536,NaN,,0.0049,2.0,85.4569,30 / 30,,39,2021-05-20 22:06:59:501
0.392661,0.071828,9.675264,0.344971,0.071429,9.800321,-0.145592,-0.031831,-0.005822,-13.86,-1.62,-42.66,96.8696,-0.6519,-1.994,984.7329,55.855698,37.480846,178.0536,NaN,,0.0049,2.0,85.4569,30 / 30,,50,2021-05-20 22:06:59:512
0.411815,0.153234,9.37598,0.351694,0.043175,9.800247,-0.065568,-0.085587,0.00212,-13.86,-1.62,-42.48,96.8696,-0.6519,-1.994,984.7329,55.855698,37.480846,178.0536,NaN,,0.0049,2.0,85.4569,30 / 30,,59,2021-05-20 22:06:59:521
0.411815,0.153234,9.37598,0.351694,0.043175,9.800247,-0.019143,-0.137511,-9.35E-4,-13.86,-1.62,-42.48,96.8696,-0.6519,-1.994,984.7329,55.855698,37.480846,178.0536,NaN,,0.0049,2.0,85.4569,30 / 30,,69,2021-05-20 22:06:59:531
0.529135,0.141262,9.014444,0.373977,0.03522,9.799454,-0.015477,-0.202262,-0.005211,-13.92,-1.2,-42.24,93.7258,-0.2523,-2.0553,984.7329,55.855698,37.480846,178.0536,NaN,,0.0049,2.0,85.4569,30 / 30,,79,2021-05-20 22:06:59:541
0.739831,0.198725,8.940222,0.373977,0.03522,9.799454,-0.042966,-0.276788,-0.021093,-13.92,-1.2,-42.24,93.7258,-0.2523,-2.0553,984.7329,55.855698,37.480846,178.0536,NaN,,0.0049,2.0,85.4569,30 / 30,,89,2021-05-20 22:06:59:551
0.804476,0.29689,9.251478,0.419897,0.030565,9.797609,-0.070455,-0.282286,-0.029645,-13.86,-0.54,-41.7,93.7258,-0.2523,-2.0553,984.7329,55.855698,37.480846,178.0536,NaN,,0.0049,2.0,85.4569,30 / 30,,99,2021-05-20 22:06:59:561
0.871516,0.339987,9.534002,0.419897,0.030565,9.797609,-0.166361,-0.210814,-0.022926,-13.86,-0.54,-41.7,93.7258,-0.2523,-2.0553,984.7329,55.855698,37.480846,178.0536,NaN,,0.0049,2.0,85.4569,30 / 30,,110,2021-05-20 22:06:59:572
0.871516,0.339987,9.534002,0.470681,0.010375,9.795343,-0.251271,-0.112465,-0.014985,-14.34,-0.9,-41.88,94.0703,-0.1786,-2.454,984.7329,55.855698,37.480846,178.0536,NaN,,0.0049,2.0,85.4569,30 / 30,,119,2021-05-20 22:06:59:581
0.955316,0.402238,9.818921,0.470681,0.010375,9.795343,-0.290978,-0.064818,-0.019871,-14.34,-0.9,-41.88,94.0703,-0.1786,-2.454,984.7329,55.855698,37.480846,178.0536,NaN,,0.0049,2.0,85.4569,30 / 30,,130,2021-05-20 22:06:59:592
1.127703,0.474066,10.127783,0.492986,-0.037811,9.794178,-0.276317,-0.062374,-0.060799,-14.46,-1.14,-42.54,94.0703,-0.1786,-2.454,984.7329,55.855698,37.480846,178.0536,NaN,,0.0049,2.0,85.4569,30 / 30,,140,2021-05-20 22:06:59:602
1.144463,0.553077,10.386364,0.492986,-0.037811,9.794178,-0.276317,-0.062374,-0.060799,-14.46,-1.14,-42.54,94.0703,-0.1786,-2.454,984.7329,55.855698,37.480846,178.0536,NaN,,0.0049,2.0,85.4569,30 / 30,,150,2021-05-20 22:06:59:612
1.144463,0.553077,10.386364,0.505803,-0.090342,9.793181,-0.203624,-0.079478,-0.114556,-14.28,-1.02,-42.3,95.6023,0.2209,-2.8815,984.7329,55.855698,37.480846,178.0536,NaN,,0.0049,2.0,85.4569,30 / 30,,159,2021-05-20 22:06:59:621
1.072635,0.524346,10.314536,0.505803,-0.090342,9.793181,-0.130931,-0.095972,-0.162814,-14.28,-1.02,-42.3,95.6023,0.2209,-2.8815,984.7354,55.855698,37.480846,178.0536,NaN,,0.0049,2.0,85.4569,30 / 30,,169,2021-05-20 22:06:59:631
0.964893,0.529135,10.008069,0.524232,-0.117976,9.791917,-0.09489,-0.09475,-0.193968,-14.76,-1.14,-42.24,95.6023,0.2209,-2.8815,984.7354,55.855698,37.480846,178.0536,NaN,,0.0049,2.0,85.4569,30 / 30,,179,2021-05-20 22:06:59:641
0.842785,0.459701,9.737515,0.524232,-0.117976,9.791917,-0.105275,-0.084976,-0.208018,-14.76,-1.14,-42.24,95.6023,0.2209,-2.8815,984.7354,55.855698,37.480846,178.0536,NaN,,0.0049,2.0,85.4569,30 / 30,,190,2021-05-20 22:06:59:652
0.747014,0.426181,9.929058,0.54248,-0.134202,9.790715,-0.1517,-0.054433,-0.214127,-15.42,-1.08,-42.24,96.7813,0.6893,-3.0645,984.7354,55.855698,37.480846,178.0536,NaN,,0.0049,2.0,85.4569,30 / 30,,199,2021-05-20 22:06:59:661
0.747014,0.426181,9.929058,0.54248,-0.134202,9.790715,-0.198737,-0.006175,-0.211072,-15.42,-1.08,-42.24,96.7813,0.6893,-3.0645,984.7354,55.855698,37.480846,178.0536,NaN,,0.0049,2.0,85.4569,30 / 30,,209,2021-05-20 22:06:59:671
0.689551,0.354353,10.113417,0.548813,-0.166532,9.789865,-0.2079,0.031699,-0.201909,-15.54,-0.72,-42.12,96.7813,0.6893,-3.0645,984.7354,55.855698,37.480846,178.0536,NaN,,0.0049,2.0,85.4569,30 / 30,,219,2021-05-20 22:06:59:681
0.648849,0.260976,10.154119,0.546341,-0.18518,9.789669,-0.192018,0.047582,-0.186638,-15.36,-0.48,-42.12,96.7813,0.6893,-3.0645,984.7354,55.855698,37.480846,178.0536,NaN,,0.0049,2.0,85.4569,30 / 30,,230,2021-05-20 22:06:59:692
0.648849,0.260976,10.154119,0.546341,-0.18518,9.789669,-0.122379,0.019482,-0.178696,-15.36,-0.48,-42.12,96.7813,0.6893,-3.0645,984.7354,55.855698,37.480846,178.0536,NaN,,0.0049,2.0,85.4569,30 / 30,,239,2021-05-20 22:06:59:701
0.718282,0.210696,10.072714,0.539201,-0.21583,9.789436,-0.085727,-0.002509,-0.176864,-15.72,-0.72,-42.48,97.5556,1.082,-3.1942,984.7354,55.855698,37.480846,178.0536,NaN,,0.0049,2.0,85.4569,30 / 30,,249,2021-05-20 22:06:59:711
0.87391,0.155628,9.847652,0.539201,-0.21583,9.789436,-0.085727,-0.002509,-0.176864,-15.72,-0.72,-42.48,97.5556,1.082,-3.1942,984.7354,55.855698,37.480846,178.0536,NaN,,0.0049,2.0,85.4569,30 / 30,,259,2021-05-20 22:06:59:721
1.017567,0.098165,9.761458,0.539932,-0.230866,9.789053,-0.10894,0.012151,-0.185416,-15.6,-0.84,-41.82,97.5556,1.082,-3.1942,984.729,55.855698,37.480846,178.0536,NaN,,0.0049,2.0,85.4569,30 / 30,,270,2021-05-20 22:06:59:732
0.962499,0.05028,9.821315,0.541491,-0.238307,9.788789,-0.10894,0.012151,-0.185416,-15.12,-0.84,-41.52,97.5556,1.082,-3.1942,984.729,55.855698,37.480846,178.0536,NaN,,0.0049,2.0,85.4569,30 / 30,,280,2021-05-20 22:06:59:742
