ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Speed ( m/s),Time since start in ms 
0.603357,1.359948,9.244295,-0.000206,0.084233,-0.142655,-1961.34,-1935.9,1857.72,133.7047,-1.8308,-3.8749,55.855846,37.484264,176.6367,0.0401,11
0.790111,1.611347,8.777411,-0.000206,0.084233,-0.142655,-1960.98,-1935.12,1858.5,133.7047,-1.8308,-3.8749,55.855846,37.484264,176.6367,0.0401,21
1.096578,2.071048,8.566715,0.027894,0.006654,-0.118221,-1960.98,-1935.12,1858.5,133.7047,-1.8308,-3.8749,55.855846,37.484264,176.6367,0.0401,31
1.096578,2.071048,8.566715,0.036446,-0.069094,-0.131049,-1960.44,-1935,1857.78,133.7739,-1.7211,-3.6066,55.855846,37.484264,176.6367,0.0401,41
1.168406,2.336812,8.612206,0.026061,-0.089863,-0.172588,-1960.44,-1935,1857.78,133.7739,-1.7211,-3.6066,55.855846,37.484264,176.6367,0.0401,51
1.091789,2.396669,8.885154,0.005903,-0.107578,-0.203742,-1959.48,-1935.84,1856.94,133.7739,-1.7211,-3.6066,55.855846,37.484264,176.6367,0.0401,61
0.833208,2.446949,9.148524,-0.017921,-0.063596,-0.231842,-1959.48,-1935.84,1856.94,133.7739,-1.7211,-3.6066,55.855846,37.484264,176.6367,0.0401,71
0.533923,2.221887,9.304152,-0.042966,-0.015338,-0.220846,-1959.96,-1936.2,1857.3,133.7609,-1.8332,-3.7795,55.855846,37.484264,176.6367,0.0401,81
0.533923,2.221887,9.304152,-0.06679,0.028034,-0.194579,-1959.96,-1936.2,1857.3,133.7609,-1.8332,-3.7795,55.855846,37.48426,176.4417,0.4527,91
0.423787,2.286533,9.517242,-0.102831,0.100727,-0.148153,-1960.86,-1935.42,1858.44,133.7609,-1.8332,-3.7795,55.855846,37.48426,176.4417,0.4527,101
0.521952,2.437372,9.634562,-0.129098,0.100727,-0.131049,-1960.86,-1935.42,1858.44,133.7609,-1.8332,-3.7795,55.855846,37.48426,176.4417,0.4527,111
0.656031,2.535537,10.00328,-0.126655,0.10989,-0.140212,-1960.44,-1935.48,1858.38,133.7421,-1.7598,-3.7177,55.855846,37.48426,176.4417,0.4527,121
1.087001,2.305687,10.170879,-0.098555,0.079347,-0.187859,-1960.44,-1935.48,1858.38,133.7421,-1.7598,-3.7177,55.855846,37.48426,176.4417,0.4527,131
1.087001,2.305687,10.170879,-0.106496,0.024369,-0.262996,-1960.62,-1935.48,1857.3,133.7421,-1.7598,-3.7177,55.855846,37.48426,176.4417,0.4527,142
1.213897,2.004008,10.767054,-0.135818,0.052468,-0.299037,-1960.62,-1935.48,1857.3,133.7421,-1.7598,-3.7177,55.855846,37.48426,176.4417,0.4527,151
1.120521,1.637684,11.559559,-0.171859,0.155094,-0.308811,-1960.56,-1935.36,1857.66,133.7375,-1.5737,-3.5151,55.855846,37.48426,176.4417,0.4527,161
0.960104,1.259389,12.186859,-0.160863,0.23695,-0.305145,-1960.56,-1935.36,1857.66,133.7375,-1.5737,-3.5151,55.855846,37.48426,176.4417,0.4527,171
0.960104,1.259389,12.186859,-0.071066,0.368286,-0.269104,-1960.26,-1935.24,1857.96,133.7375,-1.5737,-3.5151,55.855846,37.48426,176.4417,0.4527,181
0.498009,1.015173,12.577126,0.021174,0.454418,-0.208629,-1960.26,-1935.24,1857.96,133.7375,-1.5737,-3.5151,55.855846,37.48426,176.4417,0.4527,192
0.215485,1.2546,12.261082,0.079207,0.511839,-0.14571,-1960.2,-1934.22,1857.84,133.8144,-1.3304,-3.0974,55.855846,37.48426,176.4417,0.4527,201
0.038308,1.400651,11.662513,0.093867,0.548491,-0.084012,-1960.2,-1934.22,1857.84,133.8144,-1.3304,-3.0974,55.855846,37.48426,176.4417,0.4527,211
0.038308,1.400651,11.662513,0.06027,0.578423,-0.000324,-1959.24,-1934.22,1858.26,133.8144,-1.3304,-3.0974,55.855846,37.48426,176.4417,0.4527,221
-0.407027,1.407834,11.78462,0.06027,0.578423,-0.000324,-1959.24,-1934.22,1858.26,133.8144,-1.3304,-3.0974,55.855846,37.48426,176.4417,0.4527,231
-0.040703,1.316851,11.530828,0.037668,0.579034,0.110243,-1958.82,-1934.88,1859.16,134.4342,-1.5025,-1.9408,55.855846,37.48426,176.4417,0.4527,242
-0.328016,1.482056,11.051972,-0.011812,0.63218,0.184158,-1958.82,-1934.88,1859.16,134.4342,-1.5025,-1.9408,55.855846,37.48426,176.4417,0.4527,251
0.272947,1.66881,10.956202,-0.074121,0.635234,0.257461,-1958.7,-1935.18,1859.5198,134.4342,-1.5025,-1.9408,55.855846,37.48426,176.4417,0.4527,261
0.272947,1.66881,10.956202,-0.123601,0.535052,0.289226,-1958.7,-1935.18,1859.5198,134.4342,-1.5025,-1.9408,55.855846,37.48426,176.4417,0.4527,272
0.160416,1.91542,10.649734,-0.175524,0.417766,0.305109,-1958.46,-1935.24,1858.86,135.0913,-1.4996,-0.5631,55.855846,37.48426,176.4417,0.4527,281
0.435758,1.956123,10.697619,-0.262267,0.240004,0.287394,-1958.46,-1935.24,1858.86,135.0913,-1.4996,-0.5631,55.855846,37.48426,176.4417,0.4527,291
0.66082,1.606559,11.652935,-0.308082,0.09584,0.269679,-1957.74,-1934.94,1858.2,135.0913,-1.4996,-0.5631,55.855846,37.48426,176.4417,0.4527,301
0.854756,0.775745,12.818948,-0.323964,0.047582,0.273955,-1957.74,-1934.94,1858.2,135.0913,-1.4996,-0.5631,55.855846,37.48426,176.4417,0.4527,312
0.854756,0.775745,12.818948,-0.294032,0.112944,0.32038,-1957.14,-1935.24,1858.74,135.1986,-1.0047,0.0995,55.855846,37.48426,176.4417,0.4527,322
0.826025,0.150839,13.702435,-0.192018,0.230841,0.353978,-1957.14,-1935.24,1858.74,135.1986,-1.0047,0.0995,55.855846,37.48426,176.4417,0.4527,331
0.521952,-0.270553,13.934679,0.008957,0.326136,0.430947,-1957.14,-1934.94,1859.28,135.1986,-1.0047,0.0995,55.855846,37.48426,176.4417,0.4527,342
-0.143656,-0.21309,13.726377,0.310114,0.437314,0.51097,-1957.14,-1934.94,1859.28,135.1986,-1.0047,0.0995,55.855846,37.48426,176.4417,0.4527,351
-0.579414,0.292102,12.004894,0.655863,0.49107,0.594048,-1956.48,-1933.98,1859.64,135.185,-0.5694,0.4911,55.855846,37.48426,176.4417,0.4527,361
-0.579414,0.292102,12.004894,0.941748,0.451974,0.6307,-1956.48,-1933.98,1859.64,135.185,-0.5694,0.4911,55.855846,37.48426,176.4417,0.4527,371
-0.651243,0.802082,9.883567,1.096908,0.31453,0.592216,-1956.06,-1934.5198,1859.28,135.185,-0.5694,0.4911,55.855846,37.48426,176.4417,0.4527,381
-0.64406,1.48445,7.99209,1.051093,0.174641,0.507916,-1956.06,-1934.5198,1859.28,135.185,-0.5694,0.4911,55.855846,37.48426,176.4417,0.4527,391
-0.430969,2.092596,7.094237,0.83668,0.015206,0.304498,-1956,-1935.54,1858.98,136.5019,-2.3148,1.4394,55.855846,37.48426,176.4417,0.4527,401
-0.833208,1.939363,7.221133,0.564845,-0.014727,0.11513,-1956,-1935.54,1858.98,136.5019,-2.3148,1.4394,55.855846,37.48426,176.4417,0.4527,412
-0.833208,1.939363,7.221133,0.329051,0.019482,-0.009487,-1956,-1936.74,1859.46,136.5019,-2.3148,1.4394,55.855846,37.48426,176.4417,0.4527,421
-1.707118,1.173195,8.12138,0.134795,0.091564,-0.085845,-1956,-1936.74,1859.46,136.5019,-2.3148,1.4394,55.855846,37.48426,176.4417,0.4527,431
-2.305687,0.366324,9.057542,0.15923,0.108057,-0.060799,-1955.76,-1937.76,1859.28,137.2178,-3.7785,1.5176,55.855846,37.48426,176.4417,0.4527,442
-2.396669,0.062251,9.007262,0.15923,0.108057,-0.060799,-1955.76,-1937.76,1859.28,137.2178,-3.7785,1.5176,55.855846,37.48426,176.4417,0.4527,451
-2.020768,-0.167599,7.879559,0.214819,0.102559,-0.021093,-1956,-1937.88,1859.5198,137.2178,-3.7785,1.5176,55.855846,37.48426,176.4417,0.4527,461
-2.020768,-0.167599,7.879559,0.187941,0.052468,-0.008265,-1956,-1937.88,1859.5198,137.2178,-3.7785,1.5176,55.855846,37.48426,176.4417,0.4527,471
-1.247417,-0.146051,6.632141,0.087759,-0.029388,-0.026591,-1956.24,-1938.24,1859.64,137.5337,-4.2594,1.7217,55.855846,37.48426,176.4417,0.4527,481
-0.57702,-0.052674,5.988082,-0.119935,-0.143619,-0.099895,-1956.24,-1938.24,1859.64,137.5337,-4.2594,1.7217,55.855846,37.48426,176.4417,0.4527,491
-0.57702,-0.052674,5.988082,-0.350232,-0.197375,-0.190303,-1955.46,-1938.3,1859.1,137.5337,-4.2594,1.7217,55.855846,37.48426,176.4417,0.4527,501
-0.249005,-0.292102,6.780586,-0.541432,-0.177217,-0.249557,-1955.46,-1938.3,1859.1,137.5337,-4.2594,1.7217,55.855846,37.48426,176.4417,0.4527,511
-0.390267,-0.505192,8.152506,-0.634284,-0.045881,-0.255055,-1955.64,-1938.24,1859.34,137.5409,-4.345,1.6704,55.855846,37.48426,176.4417,0.4527,522
-0.749408,-0.883487,8.724737,-0.637338,0.073238,-0.203742,-1955.64,-1938.24,1859.34,137.5409,-4.345,1.6704,55.855846,37.48426,176.4417,0.4527,531
-1.077424,-0.931373,9.028811,-0.588469,0.181972,-0.124329,-1956.36,-1938,1859.94,137.5409,-4.345,1.6704,55.855846,37.48426,176.4417,0.4527,541
-1.077424,-0.931373,9.028811,-0.491342,0.233285,-0.020482,-1956.36,-1938,1859.94,137.5409,-4.345,1.6704,55.855846,37.48426,176.4417,0.4527,551
-1.297697,-0.581809,8.772623,-0.350232,0.254665,0.10841,-1956.36,-1936.74,1859.76,136.8921,-3.0103,1.5604,55.855846,37.48426,176.4417,0.4527,561
-1.546701,-0.335198,8.250672,-0.248217,0.322471,0.223253,-1956.36,-1936.74,1859.76,136.8921,-3.0103,1.5604,55.855846,37.48426,176.4417,0.4527,572
-0.751802,0.272947,7.896319,-0.142537,0.235117,0.283118,-1956.36,-1936.08,1860.18,136.8921,-3.0103,1.5604,55.855846,37.48426,176.4417,0.4527,581
-0.751802,0.272947,7.896319,-0.022808,0.096451,0.272122,-1956.36,-1936.08,1860.18,136.8921,-3.0103,1.5604,55.855846,37.48426,176.4417,0.4527,591
-0.85715,1.089395,7.549149,-0.022808,0.096451,0.272122,-1955.64,-1936.0198,1860.06,136.7625,-2.0632,2.1559,55.855846,37.48426,176.4417,0.4527,601
-0.938556,1.247417,7.283384,0.18733,-0.265792,0.25685,-1955.64,-1936.0198,1860.06,136.7625,-2.0632,2.1559,55.855846,37.48426,176.4417,0.4527,611
-0.725465,1.350371,7.319299,0.216651,-0.365363,0.248298,-1955.16,-1936.32,1859.16,136.7625,-2.0632,2.1559,55.855846,37.48426,176.4417,0.4527,622
-0.725465,1.350371,7.319299,0.216651,-0.365363,0.248298,-1955.16,-1936.32,1859.16,136.7625,-2.0632,2.1559,55.855846,37.48426,176.4417,0.4527,631
-0.620117,1.503605,7.774211,0.251471,-0.36292,0.255018,-1955.4,-1937.04,1859.28,136.8478,-2.0874,2.2425,55.855846,37.48426,176.4417,0.4527,641
-0.701522,1.84838,8.075889,0.251471,-0.36292,0.255018,-1955.4,-1937.04,1859.28,136.8478,-2.0874,2.2425,55.855846,37.48426,176.4417,0.4527,651
-0.617723,1.879506,8.10462,0.241697,-0.289616,0.255018,-1956,-1936.92,1859.58,136.8478,-2.0874,2.2425,55.855846,37.48426,176.4417,0.4527,661
-0.375901,2.293715,8.202786,0.206877,-0.231584,0.253185,-1956,-1936.92,1859.58,136.8478,-2.0874,2.2425,55.855846,37.48426,176.4417,0.4527,671
-0.375901,2.293715,8.202786,0.126854,-0.225475,0.183547,-1956.6,-1937.04,1859.28,136.6462,-2.6517,1.4263,55.855846,37.48426,176.4417,0.4527,682
-0.158022,2.233858,8.655303,0.02484,-0.180882,0.118795,-1956.6,-1937.04,1859.28,136.6462,-2.6517,1.4263,55.855846,37.48426,176.4417,0.4527,691
-0.143656,1.630501,9.237112,-0.094279,-0.157669,0.0797,-1956.66,-1937.22,1859.34,136.6462,-2.6517,1.4263,55.855846,37.48426,176.4417,0.4527,702
-0.167599,1.482056,10.38397,-0.214009,-0.131402,0.063206,-1956.66,-1937.22,1859.34,136.6462,-2.6517,1.4263,55.855846,37.48426,176.4417,0.4527,712
0,1.731061,11.727158,-0.265932,-0.117352,0.038772,-1956.06,-1936.98,1859.28,136.5509,-3.0036,0.9119,55.855846,37.48426,176.4417,0.4527,721
0,1.731061,11.727158,-0.209122,-0.133845,-0.022315,-1956.06,-1936.98,1859.28,136.5509,-3.0036,0.9119,55.855846,37.48426,176.4417,0.4527,731
-0.098165,1.654444,12.270658,-0.101609,-0.243801,-0.095008,-1955.76,-1937.28,1859.5198,136.5509,-3.0036,0.9119,55.855846,37.48426,176.4417,0.4527,742
-0.148445,1.505999,12.416709,-0.023419,-0.374526,-0.13899,-1955.76,-1937.28,1859.5198,136.5509,-3.0036,0.9119,55.855846,37.48426,176.4417,0.4527,751
-0.169993,1.218686,12.61304,-0.012423,-0.446608,-0.165257,-1956.9,-1937.1,1859.88,136.1912,-2.5741,0.6056,55.855846,37.48426,176.4417,0.4527,761
-0.126897,1.072635,12.742331,-0.064347,-0.465545,-0.18114,-1956.9,-1937.1,1859.88,136.1912,-2.5741,0.6056,55.855846,37.48426,176.4417,0.4527,771
-0.126897,1.072635,12.742331,-0.141316,-0.463713,-0.172588,-1957.38,-1936.5,1859.5198,136.1912,-2.5741,0.6056,55.855846,37.48426,176.4417,0.4527,781
-0.153234,0.864333,13.017673,-0.199348,-0.430115,-0.158538,-1957.38,-1936.5,1859.5198,136.1912,-2.5741,0.6056,55.855846,37.48426,176.4417,0.4527,791
-0.047885,1.04151,13.13978,-0.241498,-0.383078,-0.15304,-1957.44,-1936.92,1859.82,135.7216,-2.4869,-0.2581,55.855846,37.48426,176.4417,0.4527,802
0.770957,1.04151,12.572337,-0.309304,-0.336653,-0.23062,-1957.44,-1936.92,1859.82,135.7216,-2.4869,-0.2581,55.855846,37.48426,176.4417,0.4527,811
