ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms 
-0.035914,-0.01676,9.859624,0.000814,0.005243,-0.002308,-19.44,-13.26,-48.48,124.2601,0.0726,0.209,13
-0.038308,0,9.873989,-0.00224,0.000967,-0.000475,-19.44,-13.26,-48.48,124.2601,0.0726,0.209,24
-0.038308,0,9.873989,-0.001629,-0.002698,-0.002308,-19.74,-13.08,-47.58,124.2601,0.0726,0.209,34
-0.038308,-0.01676,9.885961,0.002036,0.002189,0.000136,-19.74,-13.08,-47.58,124.2601,0.0726,0.209,43
-0.038308,-0.009577,9.873989,-0.000407,0.002189,0.000746,-19.92,-13.32,-47.1,122.9197,0.0749,0.213,53
-0.043097,0,9.862018,-0.00224,-0.000866,-0.00353,-19.92,-13.32,-47.1,122.9197,0.0749,0.213,64
-0.043097,0,9.862018,-0.000407,-0.000255,-0.001697,-19.26,-13.26,-46.86,122.9197,0.0749,0.213,73
-0.028731,-0.007183,9.876384,0.001425,0.001578,-0.001697,-19.26,-13.26,-46.86,122.9197,0.0749,0.213,84
-0.021548,0.002394,9.878778,0.000203,-0.000866,-0.000475,-19.44,-13.26,-47.1,124.2635,0.0762,0.2134,94
-0.026337,-0.028731,9.890749,0.000814,-0.003309,0.001968,-19.44,-13.26,-47.1,124.2635,0.0762,0.2134,104
-0.026337,-0.009577,9.885961,0.001425,-0.002087,0.001357,-19.56,-13.44,-47.4,124.2635,0.0762,0.2134,113
-0.040703,-0.014366,9.876384,-0.001629,0.001578,-0.001697,-19.56,-13.44,-47.4,124.2635,0.0762,0.2134,124
-0.040703,-0.014366,9.876384,-0.002851,-0.000255,-0.00414,-18.96,-13.8,-47.7,126.2458,0.0699,0.2105,133
-0.038308,0.009577,9.878778,-0.001018,-0.000255,-0.002308,-18.96,-13.8,-47.7,126.2458,0.0699,0.2105,144
-0.028731,-0.021548,9.900327,-0.001629,0.002189,-0.000475,-19.56,-13.32,-48.06,126.2458,0.0699,0.2105,153
