ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms 
0.239427,0.498009,9.708784,-0.014484,-0.005703,0.001035,5.94,6.9,-36.72,322.3634,-2.4863,-0.9722,23
0.105348,0.435758,9.708784,-0.023647,-0.014255,-0.003852,5.94,6.9,-36.72,322.3634,-2.4863,-0.9722,33
0.105348,0.435758,9.708784,-0.030367,-0.019142,-0.000186,5.34,7.26,-36.36,322.3634,-2.4863,-0.9722,43
0.124502,0.430969,9.871595,-0.026091,-0.016088,0.002868,5.34,7.26,-36.36,322.3634,-2.4863,-0.9722,53
0.131685,0.416604,9.972155,-0.016928,-0.019142,0.002257,5.28,8.4,-36.06,329.4467,-2.5022,-1.025,63
0.047885,0.375901,9.984126,-0.010819,-0.008757,0.005922,5.28,8.4,-36.06,329.4467,-2.5022,-1.025,73
0.047885,0.375901,9.984126,-0.006543,-0.013033,0.014474,5.46,8.04,-36.84,329.4467,-2.5022,-1.025,83
0.148445,0.38069,9.974549,-0.003489,-0.013644,0.015085,5.46,8.04,-36.84,329.4467,-2.5022,-1.025,93
0.237033,0.433364,10.0368,0.000787,-0.008146,0.010809,5.76,7.68,-36.36,325.209,-2.4781,-1.0062,103
0.189148,0.428575,10.08708,0.000787,-0.008146,0.010809,5.76,7.68,-36.36,325.209,-2.4781,-1.0062,113
0.189148,0.428575,10.08708,0.008729,0.006514,0.005922,5.58,7.5,-36.42,325.209,-2.4781,-1.0062,123
0.10056,0.399844,10.039194,0.029498,-0.002038,0.012642,5.58,7.5,-36.42,325.209,-2.4781,-1.0062,133
0.150839,0.430969,9.938635,0.04477,-0.007536,0.015085,5.4,7.62,-36.78,329.5633,-2.4582,-0.971,143
0.131685,0.452518,9.759064,0.036218,-0.00387,0.013864,5.4,7.62,-36.78,329.5633,-2.4582,-0.971,153
0.131685,0.452518,9.759064,0.027055,-0.009979,0.013864,5.82,8.16,-36.42,329.5633,-2.4582,-0.971,163
0.122108,0.466884,9.79019,0.027055,-0.020364,0.009588,5.82,8.16,-36.42,329.5633,-2.4582,-0.971,173
0.117319,0.462095,9.802161,0.027665,-0.025251,0.013864,5.82,7.56,-36.54,325.56,-2.5355,-0.9302,183
0.249005,0.452518,9.823709,0.024,-0.029527,0.012031,5.82,7.56,-36.54,325.56,-2.5355,-0.9302,193
0.241822,0.418998,9.948212,0.022168,-0.025862,0.009588,5.58,7.8,-36.18,325.56,-2.5355,-0.9302,203
0.241822,0.418998,9.948212,0.022779,-0.013033,0.010809,5.58,7.8,-36.18,325.56,-2.5355,-0.9302,214
0.304073,0.423787,9.893144,0.029498,-0.020364,0.010198,5.7,8.1,-36.6,325.5676,-2.5609,-0.9445,223
0.354353,0.438152,9.828498,0.031331,-0.034414,-0.012404,5.7,8.1,-36.6,325.5676,-2.5609,-0.9445,234
0.270553,0.438152,9.811738,0.025833,-0.033803,-0.016069,5.82,7.68,-37.02,325.5676,-2.5609,-0.9445,243
0.107742,0.488432,9.852441,0.020335,-0.02464,-0.019734,5.82,7.68,-37.02,325.5676,-2.5609,-0.9445,253
0.107742,0.488432,9.852441,0.023389,-0.02464,-0.018512,5.52,7.86,-36.48,325.2593,-2.5889,-1.062,264
0.035914,0.395055,9.852441,0.026444,-0.025862,-0.008738,5.52,7.86,-36.48,325.2593,-2.5889,-1.062,273
0.038308,0.36393,9.826104,0.025222,-0.016699,0.000425,5.52,7.44,-36.24,325.2593,-2.5889,-1.062,283
0.126897,0.469278,9.778218,0.021557,-0.01059,0.013253,5.52,7.44,-36.24,325.2593,-2.5889,-1.062,293
0.282524,0.452518,9.749487,0.019724,-0.005092,0.010198,5.7,6.66,-36.18,322.1189,-2.6091,-1.1327,304
0.282524,0.452518,9.749487,0.019724,-0.005092,0.010198,5.7,6.66,-36.18,322.1189,-2.6091,-1.1327,314
0.395055,0.541106,9.768641,0.016059,-0.00326,-0.009349,5.64,7.26,-35.64,322.1189,-2.6091,-1.1327,323
0.193936,0.481249,9.80695,0.005674,0.010179,-0.020345,5.64,7.26,-35.64,322.1189,-2.6091,-1.1327,333
0.047885,0.442941,9.840469,0.005674,0.012012,-0.022177,5.28,7.2,-35.64,326.5945,-2.6126,-1.1013,344
0.01676,0.433364,9.993703,0.00262,0.000406,-0.016069,5.28,7.2,-35.64,326.5945,-2.6126,-1.1013,354
0.01676,0.433364,9.993703,0.016059,0.004682,-0.00996,5.46,6.84,-35.76,326.5945,-2.6126,-1.1013,364
0,0.418998,9.967366,0.029498,-0.002038,0.003479,5.64,6.84,-35.82,326.5945,-2.6126,-1.1013,374
0.169994,0.490826,9.845258,0.029498,-0.002038,0.003479,5.64,6.84,-35.82,326.5945,-2.6126,-1.1013,384
0.222668,0.490826,9.845258,0.033774,-0.011201,0.008977,5.34,6.72,-36.3,326.7935,-2.6445,-1.0537,393
0.222668,0.490826,9.845258,0.032552,-0.008146,0.004701,5.34,6.72,-36.3,326.7935,-2.6445,-1.0537,404
0.282524,0.500403,9.766247,0.033774,-0.001427,-0.00263,4.74,7.2,-36.84,326.7935,-2.6445,-1.0537,413
0.328016,0.502798,9.737515,0.023389,-0.012423,-0.013625,4.74,7.2,-36.84,326.7935,-2.6445,-1.0537,423
0.251399,0.488432,9.888355,0.007507,-0.011812,-0.021567,4.86,7.26,-36.06,327.1386,-2.7133,-0.9798,433
0.124502,0.457306,10.010463,0.002009,-0.00387,-0.020956,4.86,7.26,-36.06,327.1386,-2.7133,-0.9798,443
0.124502,0.457306,10.010463,0.014837,0.001627,-0.008738,5.28,7.32,-36.06,327.1386,-2.7133,-0.9798,453
0.105348,0.433364,10.055954,0.033163,-0.004481,-0.005073,5.28,7.32,-36.06,327.1386,-2.7133,-0.9798,463
0.165205,0.423787,9.976943,0.049046,-0.011201,-0.003852,5.4,7.44,-36.66,327.0388,-2.7581,-1.0626,473
0.172388,0.469278,9.859624,0.046602,-0.002649,-0.001408,5.4,7.44,-36.66,327.0388,-2.7581,-1.0626,483
0.201119,0.490826,9.763853,0.039883,-0.00326,-0.000186,5.82,7.44,-36.48,327.0388,-2.7581,-1.0626,493
