ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Speed ( m/s),Time since start in ms 
0.292102,-0.112531,9.675264,-0.175753,0.13052,0.613733,7.14,-1.38,-39.78,261.134,0.3706,-0.0406,55.814007,37.500286,204.4632,0,11
0.153234,0.019154,9.58907,-0.170255,0.093868,0.596018,6.78,-1.26,-39.6,260.3678,0.3394,-0.4107,55.814007,37.500286,204.4632,0,21
0.069434,0.107742,9.581888,-0.15254,0.037668,0.572194,6.78,-1.26,-39.6,260.3678,0.3394,-0.4107,55.814007,37.500286,204.4632,0,32
0.088588,0.131685,9.636956,-0.140322,-0.008757,0.556923,7.08,-0.84,-40.14,260.3678,0.3394,-0.4107,55.814007,37.500286,204.4632,0,42
0.088588,0.131685,9.636956,-0.089621,-0.041744,0.538597,7.08,-0.84,-40.14,260.3678,0.3394,-0.4107,55.814007,37.500286,204.4632,0,51
0.064645,-0.019154,10.582695,-0.002878,-0.013033,0.539819,7.02,-0.24,-39.9,265.9252,0.7263,-0.1628,55.814007,37.500286,204.4632,0,61
0.081405,-0.086194,10.113417,0.025833,-0.019753,0.544095,7.02,-0.24,-39.9,265.9252,0.7263,-0.1628,55.814007,37.500286,204.4632,0,71
0.138868,-0.153234,9.75667,-0.018149,0.001016,0.548982,7.14,0,-39,265.9252,0.7263,-0.1628,55.814007,37.500286,204.4632,0,81
0.071828,-0.272947,9.797373,-0.07496,0.084705,0.57586,7.14,0,-39,265.9252,0.7263,-0.1628,55.814007,37.500286,204.4632,0,92
0.071828,-0.272947,9.797373,-0.137879,0.205656,0.632059,7.26,-0.12,-39.48,265.2782,0.8667,-0.2016,55.814007,37.500286,204.4632,0,101
-0.007183,-0.320833,9.696813,-0.167811,0.239865,0.6681,7.26,-0.12,-39.48,265.2782,0.8667,-0.2016,55.814007,37.500286,204.4632,0,111
-0.055068,-0.287313,9.816526,-0.174531,0.238032,0.698644,7.2,-0.72,-39.78,265.2782,0.8667,-0.2016,55.814007,37.500286,204.4632,0,122
-0.081405,-0.172388,9.797373,-0.169644,0.192828,0.732241,7.2,-0.72,-39.78,265.2782,0.8667,-0.2016,55.814007,37.500286,204.4632,0,131
-0.021548,-0.124502,9.759064,-0.178196,0.154344,0.750567,7.56,-1.08,-39.48,257.7109,1.0707,0.0935,55.814007,37.500286,204.4632,0,141
-0.021548,-0.124502,9.759064,-0.178196,0.154344,0.750567,7.56,-1.08,-39.48,257.7109,1.0707,0.0935,55.814007,37.500286,204.4632,0,152
0.155628,-0.174782,9.921875,-0.192857,0.118303,0.764006,7.56,-1.2,-39.54,257.7109,1.0707,0.0935,55.814007,37.500286,204.4632,0,161
0.196331,-0.26337,10.032011,-0.192246,0.085927,0.767671,7.56,-1.2,-39.54,257.7109,1.0707,0.0935,55.814007,37.500286,204.4632,0,172
0.196331,-0.26337,10.032011,-0.18125,0.07432,0.746902,7.56,-1.2,-39.42,255.302,1.4597,0.5781,55.814007,37.500286,204.4632,0,181
0.172388,-0.356747,10.032011,-0.161092,0.040723,0.722467,7.56,-1.2,-39.42,255.302,1.4597,0.5781,55.814007,37.500286,204.4632,0,191
0.055068,-0.452518,10.290593,-0.109168,0.018121,0.712083,7.5,-0.66,-39.54,255.302,1.4597,0.5781,55.814007,37.500286,204.4632,0,202
-0.134079,-0.550683,10.376787,-0.027312,0.026673,0.713915,7.5,-0.66,-39.54,255.302,1.4597,0.5781,55.814007,37.500286,204.4632,0,211
-0.36393,-0.718282,10.254679,0.08753,0.026673,0.7524,7.44,-0.42,-40.02,258.6164,1.8531,0.8017,55.814007,37.500286,204.4632,0,221
-0.36393,-0.718282,10.254679,0.127847,0.008347,0.80921,7.44,-0.42,-40.02,258.6164,1.8531,0.8017,55.814007,37.500286,204.4632,0,231
