ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms 
-0.488432,-0.023943,9.783007,-0.01876,-0.00387,-0.008128,12.06,-19.32,-45.6,206.7987,0.2693,2.8384,19
-0.478855,-0.040703,9.828498,-0.013262,-0.006925,-0.003241,12.12,-18.9,-45.84,206.7987,0.2693,2.8384,29
-0.493221,-0.062251,9.900327,-0.002878,-0.005092,-0.005073,11.88,-18.12,-45.12,206.7987,0.2693,2.8384,39
-0.493221,-0.062251,9.900327,0.007507,0.002238,-0.003241,11.88,-18.12,-45.12,206.7987,0.2693,2.8384,50
-0.493221,-0.071828,9.905115,0.007507,0.002238,-0.003241,12.06,-18.06,-44.94,208.1944,0.2677,2.8305,59
-0.488432,-0.047885,9.850046,0.011783,0.005903,-0.000797,12.06,-18.06,-44.94,208.1944,0.2677,2.8305,70
-0.488432,-0.021548,9.785401,0.011783,0.005903,-0.000797,11.94,-18.18,-45.66,208.1944,0.2677,2.8305,79
-0.464489,-0.026337,9.75667,0.001398,-0.00326,-0.002019,11.94,-18.18,-45.66,208.1944,0.2677,2.8305,89
-0.464489,-0.026337,9.75667,-0.005932,-0.004481,-0.002019,11.76,-18.72,-45.72,206.8199,0.262,2.8311,99
-0.488432,-0.031126,9.780613,-0.010819,-0.005092,-0.003852,11.76,-18.72,-45.72,206.8199,0.262,2.8311,109
-0.512375,-0.031126,9.864412,-0.010208,-0.00326,-0.004462,12.66,-18.9,-44.88,206.8199,0.262,2.8311,120
-0.512375,-0.031126,9.864412,-0.001045,-0.000205,-0.004462,12.66,-18.9,-44.88,206.8199,0.262,2.8311,129
-0.493221,-0.064645,9.909904,0.006896,0.000406,-0.003852,13.08,-18.54,-44.46,209.3876,0.2629,2.825,139
-0.488432,-0.038308,9.845258,0.006896,0.001627,-0.003241,13.08,-18.54,-44.46,209.3876,0.2629,2.825,149
-0.495615,-0.004789,9.783007,0.005063,0.002238,-0.004462,12.36,-19.08,-44.76,209.3876,0.2629,2.825,159
-0.483643,-0.045491,9.763853,-0.001045,-0.000816,-0.003852,12.36,-19.08,-44.76,209.3876,0.2629,2.825,169
-0.493221,-0.031126,9.802161,-0.00471,-0.000816,-0.003852,12.48,-19.08,-45.12,206.9504,0.2523,2.8318,180
-0.493221,-0.031126,9.802161,-0.007154,-0.002649,-0.003852,12.48,-19.08,-45.12,206.9504,0.2523,2.8318,189
-0.493221,-0.045491,9.866806,-0.007765,-0.002649,-0.003241,12.6,-18.54,-45.6,206.9504,0.2523,2.8318,200
-0.483643,-0.05028,9.876384,0.000177,-0.002649,-0.002019,12.6,-18.54,-45.6,206.9504,0.2523,2.8318,209
-0.478855,-0.043097,9.864412,0.003231,0.000406,-0.004462,12.12,-18.84,-45.18,206.9532,0.2409,2.8362,219
-0.495615,-0.043097,9.802161,0.008118,-0.000205,-0.003241,12.12,-18.84,-45.18,206.9532,0.2409,2.8362,229
-0.495615,-0.043097,9.802161,0.001398,0.001016,-0.003241,12.12,-19.32,-44.88,206.9532,0.2409,2.8362,239
-0.490826,-0.043097,9.794978,-0.002267,-0.00326,-0.005684,12.12,-19.32,-44.88,206.9532,0.2409,2.8362,249
-0.490826,-0.043097,9.816526,-0.006543,-0.006925,-0.00263,12.24,-19.62,-45.42,205.7948,0.2427,2.8354,259
-0.407027,-0.047885,9.838076,-0.005321,-0.004481,-0.004462,12.24,-19.62,-45.42,205.7948,0.2427,2.8354,270
-0.502798,-0.045491,9.948212,-0.006543,-0.000816,-0.003852,12.96,-19.44,-45.54,205.7948,0.2427,2.8354,279
-0.502798,-0.045491,9.948212,0.000787,0.019342,-0.005073,12.96,-19.44,-45.54,205.7948,0.2427,2.8354,290
-0.550683,-0.074223,9.857229,0.006285,0.01079,-0.000186,12.96,-19.26,-45.72,209.1609,0.2437,2.831,299
-0.579414,0.002394,9.718362,0.008118,-0.00326,0.001646,12.96,-19.26,-45.72,209.1609,0.2437,2.831,309
-0.459701,-0.014366,9.70639,0.00262,-0.022196,0.000425,12.48,-19.5,-45.42,209.1609,0.2437,2.831,319
-0.481249,-0.06704,9.888355,-0.008986,-0.01059,0.000425,12.48,-19.5,-45.42,209.1609,0.2437,2.831,329
-0.481249,-0.06704,9.888355,-0.015095,0.006514,0.004701,12.42,-19.68,-45.6,205.6101,0.2503,2.8671,339
-0.462095,-0.055068,9.926663,-0.010208,0.004682,0.005922,12.42,-19.68,-45.6,205.6101,0.2503,2.8671,349
-0.454912,-0.057463,9.857229,-0.002267,0.001016,0.007144,12.96,-18.48,-45.66,205.6101,0.2503,2.8671,360
-0.430969,-0.05028,9.826104,0.008729,0.004682,0.004701,12.96,-18.48,-45.66,205.6101,0.2503,2.8671,370
-0.524346,-0.045491,9.818921,0.010561,0.024229,0.003479,13.14,-18,-45.36,210.4911,0.2555,2.8849,379
-0.524346,-0.06704,9.747093,0.008729,0.018732,0.007144,13.14,-18,-45.36,210.4911,0.2555,2.8849,389
-0.574626,-0.06704,9.747093,0.006896,-0.00387,0.010809,12.3,-18.48,-45.36,210.4911,0.2555,2.8849,400
-0.600963,-0.047885,9.785401,0.000787,-0.012423,0.014474,12.3,-18.48,-45.36,210.4911,0.2555,2.8849,409
-0.596174,-0.007183,9.859624,-0.009597,-0.005092,0.019972,11.94,-18,-45.12,208.0826,0.2566,2.8939,420
-0.670397,-0.045491,9.775824,-0.01143,0.01751,0.028524,11.94,-18,-45.12,208.0826,0.2566,2.8939,429
-0.670397,-0.045491,9.775824,-0.010208,0.008958,0.033411,11.88,-18.18,-45.48,208.0826,0.2566,2.8939,439
-0.684763,0.086194,9.672871,-0.007765,-0.011201,0.041963,11.88,-18.18,-45.48,208.0826,0.2566,2.8939,449
-0.656031,0,9.677659,-0.012652,-0.016088,0.04685,11.7,-18.72,-45.18,206.6806,0.2691,2.9661,459
-0.629694,-0.086194,9.893144,-0.018149,-0.006925,0.056624,11.7,-18.72,-45.18,206.6806,0.2691,2.9661,471
-0.605751,-0.112531,10.032011,-0.018149,-0.006925,0.056624,12.24,-19.2,-45.12,206.6806,0.2691,2.9661,480
-0.572232,-0.126897,9.96976,-0.010208,-0.007536,0.072507,12.24,-19.2,-45.12,206.6806,0.2691,2.9661,490
-0.572232,-0.126897,9.96976,-0.010208,-0.007536,0.072507,12.48,-19.32,-45.12,206.3848,0.2394,3.1366,499
-0.57702,-0.071828,9.783007,-0.005321,-0.000816,0.079226,12.48,-19.32,-45.12,206.3848,0.2394,3.1366,509
-0.620117,-0.057463,9.75667,-0.001656,0.004682,0.089,12.06,-19.02,-44.52,206.3848,0.2394,3.1366,519
-0.6273,-0.090982,9.826104,-0.002267,-0.000205,0.092054,12.06,-19.02,-44.52,206.3848,0.2394,3.1366,529
