ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.452518,-0.090982,9.862018,-0.460625,-0.063396,9.795622,0.010561,4.06E-4,-0.099146,12.54,-17.7,-43.86,208.5947,0.3545,2.5764,55.814007,37.500263,206.3973,NaN,0.0,8.0,,23 / 25,,13,2021-05-04 15:54:02:215
-0.452518,-0.090982,9.862018,-0.460625,-0.063396,9.795622,0.006285,0.005903,-0.093038,12.54,-17.7,-43.86,208.5947,0.3545,2.5764,55.814007,37.500263,206.3973,NaN,0.0,8.0,,23 / 25,,23,2021-05-04 15:54:02:225
-0.52674,-0.007183,9.713573,-0.466215,-0.065099,9.795345,0.005063,0.007736,-0.086929,12.42,-17.82,-44.28,208.4776,0.3704,2.6923,55.814007,37.500263,206.3973,NaN,0.0,8.0,,23 / 25,,32,2021-05-04 15:54:02:234
-0.605751,0.021548,9.687236,-0.466215,-0.065099,9.795345,0.00262,0.004071,-0.077766,12.42,-17.82,-44.28,208.4776,0.3704,2.6923,55.814007,37.500263,206.3973,NaN,0.0,8.0,,23 / 25,,43,2021-05-04 15:54:02:245
-0.639271,-0.007183,9.715967,-0.475483,-0.06284,9.794914,0.003842,0.01079,-0.067992,12.6,-18.36,-44.04,208.4776,0.3704,2.6923,55.814007,37.500263,206.3973,NaN,0.0,8.0,,23 / 25,,53,2021-05-04 15:54:02:255
-0.639271,-0.007183,9.715967,-0.475483,-0.06284,9.794914,-0.002267,0.004682,-0.063105,12.6,-18.36,-44.04,208.4776,0.3704,2.6923,55.814007,37.500263,206.3973,NaN,0.0,8.0,,23 / 25,,62,2021-05-04 15:54:02:264
-0.629694,-0.079011,9.787795,-0.489602,-0.061014,9.79423,-0.010819,-0.009979,-0.05944,12.48,-18.18,-43.98,208.3171,0.3671,2.7792,55.814007,37.500263,206.3973,NaN,0.0,8.0,,23 / 25,,72,2021-05-04 15:54:02:274
-0.548289,-0.124502,9.907509,-0.489602,-0.061014,9.79423,-0.010208,-0.01792,-0.05211,12.48,-18.18,-43.98,208.3171,0.3671,2.7792,55.814007,37.500263,206.3973,NaN,0.0,8.0,,23 / 25,,83,2021-05-04 15:54:02:285
-0.691945,-0.167599,10.015251,-0.489602,-0.061014,9.79423,-0.0041,-0.004481,-0.036838,12.48,-18.18,-43.98,208.3171,0.3671,2.7792,55.814007,37.500263,206.3973,NaN,0.0,8.0,,23 / 25,,92,2021-05-04 15:54:02:294
-0.31365,-0.047885,9.93624,-0.500645,-0.063181,9.793658,0.005063,-0.016088,-0.032562,12.12,-18.12,-44.16,208.3171,0.3671,2.7792,55.814007,37.500263,206.3973,NaN,0.0,8.0,,23 / 25,,102,2021-05-04 15:54:02:304
-0.318439,0.019154,9.718362,-0.499792,-0.0628,9.793705,0.020946,-0.002649,-0.019123,12.24,-18.42,-44.04,208.0362,0.3691,2.9264,55.814007,37.500263,206.3973,NaN,0.0,8.0,,23 / 25,,112,2021-05-04 15:54:02:314
-0.318439,0.019154,9.718362,-0.499792,-0.0628,9.793705,0.022779,0.001627,-0.00996,12.24,-18.42,-44.04,208.0362,0.3691,2.9264,55.814007,37.500263,206.3973,NaN,0.0,8.0,,23 / 25,,123,2021-05-04 15:54:02:325
-0.169993,-0.055068,9.490906,-0.498276,-0.058582,9.793808,0.006285,0.009569,-0.007517,12.72,-17.52,-43.86,208.0362,0.3691,2.9264,55.814007,37.500263,206.3973,NaN,0.0,8.0,,23 / 25,,133,2021-05-04 15:54:02:335
-0.478855,0.119714,9.584282,-0.498276,-0.058582,9.793808,-0.01143,0.032781,-0.006295,12.72,-17.52,-43.86,208.0362,0.3691,2.9264,55.814007,37.500263,206.3973,NaN,0.0,8.0,,23 / 25,,142,2021-05-04 15:54:02:344
-0.205908,-0.007183,9.560339,-0.502539,-0.059148,9.793587,-0.023036,-0.057016,-0.005684,13.14,-17.52,-43.8,210.472,0.3423,2.9125,55.814007,37.500263,206.3973,NaN,0.0,8.0,,23 / 25,,152,2021-05-04 15:54:02:354
-0.153234,0.052674,10.010463,-0.502539,-0.059148,9.793587,-0.02548,-0.064957,-0.005684,13.14,-17.52,-43.8,210.472,0.3423,2.9125,55.814007,37.500263,206.3973,NaN,0.0,8.0,,23 / 25,,162,2021-05-04 15:54:02:364
-0.153234,0.052674,10.010463,-0.490662,-0.063953,9.794159,-0.02548,-0.064957,-0.005684,12.6,-18.06,-43.92,210.472,0.3423,2.9125,55.814007,37.500263,206.3973,NaN,0.0,8.0,,23 / 25,,172,2021-05-04 15:54:02:374
0.026337,-0.035914,10.235525,-0.490662,-0.063953,9.794159,-0.003489,0.061492,-7.97E-4,12.6,-18.06,-43.92,210.472,0.3423,2.9125,55.814007,37.500263,206.3973,NaN,0.0,8.0,,23 / 25,,182,2021-05-04 15:54:02:384
-0.294496,-0.110137,9.857229,-0.496495,-0.065856,9.793852,0.011783,0.05294,-0.006295,12.18,-18.24,-43.74,208.1425,0.3736,2.868,55.814007,37.500263,206.3973,NaN,0.0,8.0,,23 / 25,,192,2021-05-04 15:54:02:394
-0.320833,0.007183,9.249084,-0.496495,-0.065856,9.793852,0.018502,-0.002038,-0.006295,12.18,-18.24,-43.74,208.1425,0.3736,2.868,55.814007,37.500263,206.3973,NaN,0.0,8.0,,23 / 25,,203,2021-05-04 15:54:02:405
-0.490826,-0.090982,9.586677,-0.496495,-0.065856,9.793852,0.018502,-0.002038,-0.006295,12.18,-18.24,-43.74,208.1425,0.3736,2.868,55.814007,37.500263,206.3973,NaN,0.0,8.0,,23 / 25,,212,2021-05-04 15:54:02:414
-0.490826,-0.090982,9.586677,-0.50133,-0.062953,9.793625,0.003231,-0.009979,-0.013014,12.9,-17.76,-43.38,208.1425,0.3736,2.868,55.814007,37.500263,206.3973,NaN,0.0,8.0,,23 / 25,,222,2021-05-04 15:54:02:424
-0.646454,-0.136474,10.216371,-0.489425,-0.064373,9.794218,-0.012652,0.016288,-0.012404,12.72,-17.04,-43.86,211.8379,0.3678,2.9304,55.814007,37.500263,206.3973,NaN,0.0,8.0,,23 / 25,,232,2021-05-04 15:54:02:434
-0.869122,-0.210696,10.094262,-0.489425,-0.064373,9.794218,-0.010819,-0.002038,-0.005073,12.72,-17.04,-43.86,211.8379,0.3678,2.9304,55.814007,37.500263,206.3973,NaN,0.0,8.0,,23 / 25,,242,2021-05-04 15:54:02:444
-1.256994,-0.237033,9.778218,-0.496238,-0.070973,9.79383,-0.003489,-0.039911,0.012031,11.94,-17.4,-44.1,211.8379,0.3678,2.9304,55.814007,37.500263,206.3973,NaN,0.0,8.0,,23 / 25,,252,2021-05-04 15:54:02:454
-1.161223,0.047885,10.063137,-0.496238,-0.070973,9.79383,0.022779,-0.075342,0.046239,11.94,-17.4,-44.1,211.8379,0.3678,2.9304,55.814007,37.500263,206.3973,NaN,0.0,8.0,,23 / 25,,262,2021-05-04 15:54:02:464
