ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.136474,-0.447729,11.183658,-0.134705,-0.478453,9.794044,0.020946,-0.065568,-0.086318,10.14,-15.78,-45.36,205.1652,2.7486,0.6049,55.813995,37.500248,201.7492,NaN,0.0,8.0,,21 / 21,,35,2021-05-04 15:50:28:003
0.122108,-0.339987,10.101445,-0.094012,-0.470456,9.794909,-0.026702,0.210543,-0.075934,10.5,-15.72,-44.76,209.7199,2.7965,0.788,55.813995,37.500248,201.7492,NaN,0.0,8.0,,21 / 21,,45,2021-05-04 15:50:28:013
0.217879,-0.517163,8.918674,-0.094012,-0.470456,9.794909,-0.044417,0.132963,-0.085097,10.5,-15.72,-44.76,209.7199,2.7965,0.788,55.813995,37.500248,201.7492,NaN,0.0,8.0,,21 / 21,,55,2021-05-04 15:50:28:023
0.306467,-0.498009,9.380769,-0.126682,-0.477533,9.794197,-0.03953,-0.117491,-0.093649,9.18,-16.02,-44.88,209.7199,2.7965,0.788,55.813995,37.500248,201.7492,NaN,0.0,8.0,,21 / 21,,65,2021-05-04 15:50:28:033
0.306467,-0.498009,9.380769,-0.126682,-0.477533,9.794197,-0.029145,-0.145591,-0.100368,9.18,-16.02,-44.88,209.7199,2.7965,0.788,55.813995,37.500248,201.7492,NaN,0.0,8.0,,21 / 21,,75,2021-05-04 15:50:28:043
-0.136474,-0.605751,10.472558,-0.101862,-0.484368,9.794151,-0.010819,0.047442,-0.100979,9.72,-15.78,-45.18,207.386,2.7911,0.741,55.813995,37.500248,201.7492,NaN,0.0,8.0,,21 / 21,,85,2021-05-04 15:50:28:053
-0.663214,-0.452518,10.106234,-0.101862,-0.484368,9.794151,0.021557,0.211154,-0.097925,9.72,-15.78,-45.18,207.386,2.7911,0.741,55.813995,37.500248,201.7492,NaN,0.0,8.0,,21 / 21,,96,2021-05-04 15:50:28:064
-0.679974,-0.529135,9.366403,-0.126063,-0.483534,9.793911,0.055765,0.129909,-0.088762,10.32,-15.78,-45.0,207.386,2.7911,0.741,55.813995,37.500248,201.7492,NaN,0.0,8.0,,21 / 21,,105,2021-05-04 15:50:28:073
-0.679974,-0.529135,9.366403,-0.126063,-0.483534,9.793911,0.063096,-0.139483,-0.077155,10.32,-15.78,-45.0,207.386,2.7911,0.741,55.813995,37.500248,201.7492,NaN,0.0,8.0,,21 / 21,,116,2021-05-04 15:50:28:084
-0.184359,-0.52674,9.663293,-0.128987,-0.471858,9.794442,0.026444,-0.190184,-0.06616,9.78,-15.9,-44.58,207.3582,2.8262,0.7374,55.813995,37.500248,201.7492,NaN,0.0,8.0,,21 / 21,,125,2021-05-04 15:50:28:093
0.035914,-0.474066,10.10384,-0.128987,-0.471858,9.794442,-0.037697,-0.016088,-0.056386,9.78,-15.9,-44.58,207.3582,2.8262,0.7374,55.813995,37.500248,201.7492,NaN,0.0,8.0,,21 / 21,,135,2021-05-04 15:50:28:103
-0.438152,-0.339987,9.646533,-0.106103,-0.472253,9.794698,-0.063964,0.147624,-0.036838,10.68,-15.72,-45.06,207.3582,2.8262,0.7374,55.813995,37.500248,201.7492,NaN,0.0,8.0,,21 / 21,,145,2021-05-04 15:50:28:113
-0.438152,-0.339987,9.646533,-0.106103,-0.472253,9.794698,-0.040141,0.110361,-0.03134,10.68,-15.72,-45.06,207.3582,2.8262,0.7374,55.813995,37.500248,201.7492,NaN,0.0,8.0,,21 / 21,,155,2021-05-04 15:50:28:123
-0.385478,-0.462095,9.397529,-0.133147,-0.48325,9.793832,0.011172,-0.093057,-0.025232,10.26,-15.84,-45.42,207.6533,2.7602,0.6206,55.813995,37.500248,201.7492,NaN,0.0,8.0,,21 / 21,,165,2021-05-04 15:50:28:133
-0.10056,-0.605751,10.237919,-0.133147,-0.48325,9.793832,0.046602,-0.121767,-0.029508,10.26,-15.84,-45.42,207.6533,2.7602,0.6206,55.813995,37.500248,201.7492,NaN,0.0,8.0,,21 / 21,,175,2021-05-04 15:50:28:143
-0.138868,-0.548289,10.532414,-0.116103,-0.480059,9.794205,0.042326,0.021175,-0.02401,9.78,-16.38,-45.54,207.6533,2.7602,0.6206,55.813995,37.500248,201.7492,NaN,0.0,8.0,,21 / 21,,185,2021-05-04 15:50:28:153
-0.306467,-0.375901,9.627379,-0.116103,-0.480059,9.794205,0.015448,0.147013,-0.00996,9.78,-16.38,-45.54,207.6533,2.7602,0.6206,55.813995,37.500248,201.7492,NaN,0.0,8.0,,21 / 21,,195,2021-05-04 15:50:28:163
-0.306467,-0.375901,9.627379,-0.119116,-0.472525,9.794536,-0.007765,0.041944,-0.009349,10.56,-16.2,-45.36,209.9146,2.8059,0.6792,55.813995,37.500248,201.7492,NaN,0.0,8.0,,20 / 22,,205,2021-05-04 15:50:28:173
-0.179571,-0.383084,9.024022,-0.119116,-0.472525,9.794536,-0.030978,-0.124211,-0.002019,10.56,-16.2,-45.36,209.9146,2.8059,0.6792,55.813995,37.500248,201.7492,NaN,0.0,8.0,,20 / 22,,215,2021-05-04 15:50:28:183
-0.090982,-0.531529,9.852441,-0.12614,-0.474155,9.794368,-0.030978,-0.124211,-0.002019,10.86,-15.78,-44.88,209.9146,2.8059,0.6792,55.813995,37.500248,201.7492,NaN,0.0,8.0,,20 / 22,,226,2021-05-04 15:50:28:194
-0.323227,-0.495615,10.494106,-0.12614,-0.474155,9.794368,-0.040141,-0.035635,0.006533,10.86,-15.78,-44.88,209.9146,2.8059,0.6792,55.813995,37.500248,201.7492,NaN,0.0,8.0,,20 / 22,,235,2021-05-04 15:50:28:203
-0.323227,-0.495615,10.494106,-0.10996,-0.481293,9.794215,-0.018149,0.117081,0.020583,10.62,-16.2,-45.0,209.8407,2.7714,0.7379,55.813995,37.500248,201.7492,NaN,0.0,8.0,,20 / 22,,245,2021-05-04 15:50:28:213
-0.562655,-0.517163,9.785401,-0.10996,-0.481293,9.794215,0.015448,0.117081,0.024248,10.62,-16.2,-45.0,209.8407,2.7714,0.7379,55.813995,37.500248,201.7492,NaN,0.0,8.0,,20 / 22,,255,2021-05-04 15:50:28:223
-0.232245,-0.464489,9.402317,-0.133376,-0.4815,9.793914,0.04477,-0.073509,0.030968,9.96,-16.32,-45.06,209.8407,2.7714,0.7379,55.813995,37.500248,201.7492,NaN,0.0,8.0,,20 / 22,,265,2021-05-04 15:50:28:233
0.007183,-0.533923,9.893144,-0.133376,-0.4815,9.793914,0.025222,-0.134596,0.029135,9.96,-16.32,-45.06,209.8407,2.7714,0.7379,55.813995,37.500248,201.7492,NaN,0.0,8.0,,20 / 22,,275,2021-05-04 15:50:28:243
0.007183,-0.533923,9.893144,-0.117017,-0.474047,9.794487,-0.015706,-0.008146,0.029135,9.9,-15.78,-44.52,207.2859,2.8143,0.7802,55.813995,37.500248,201.7492,NaN,0.0,8.0,,20 / 22,,285,2021-05-04 15:50:28:253
-0.002394,-0.505192,10.022434,-0.117017,-0.474047,9.794487,-0.041362,0.093868,0.040742,9.9,-15.78,-44.52,207.2859,2.8143,0.7802,55.813995,37.500248,201.7492,NaN,0.0,8.0,,20 / 22,,295,2021-05-04 15:50:28:263
0.01676,-0.399844,9.751882,-0.118182,-0.477492,9.794306,-0.022425,0.019953,0.03219,9.42,-15.54,-44.22,207.2859,2.8143,0.7802,55.813995,37.500248,201.7492,NaN,0.0,8.0,,20 / 22,,305,2021-05-04 15:50:28:273
-0.153234,-0.464489,9.850046,-0.118182,-0.477492,9.794306,0.004453,-0.06007,0.034022,9.42,-15.54,-44.22,207.2859,2.8143,0.7802,55.813995,37.500248,201.7492,NaN,0.0,8.0,,20 / 22,,316,2021-05-04 15:50:28:284
-0.153234,-0.464489,9.850046,-0.124633,-0.482023,9.794003,0.024611,-0.027083,0.0328,9.66,-15.36,-44.82,208.831,2.7909,0.6913,55.813995,37.500248,201.7492,NaN,0.0,8.0,,20 / 22,,325,2021-05-04 15:50:28:293
-0.119714,-0.509981,9.929058,-0.124633,-0.482023,9.794003,0.023389,0.042555,0.033411,9.66,-15.36,-44.82,208.831,2.7909,0.6913,55.813995,37.500248,201.7492,NaN,0.0,8.0,,20 / 22,,336,2021-05-04 15:50:28:304
-0.24661,-0.476461,9.751882,-0.119303,-0.477909,9.794271,0.012394,0.043777,0.030357,10.56,-15.6,-45.78,208.831,2.7909,0.6913,55.813995,37.500248,201.7492,NaN,0.0,8.0,,20 / 22,,345,2021-05-04 15:50:28:313
-0.28013,-0.426181,9.629773,-0.119303,-0.477909,9.794271,0.002009,-0.02464,0.0328,10.56,-15.6,-45.78,208.831,2.7909,0.6913,55.813995,37.500248,201.7492,NaN,0.0,8.0,,20 / 22,,355,2021-05-04 15:50:28:323
-0.102954,-0.476461,9.684841,-0.128373,-0.474855,9.794306,-0.009597,-0.071676,0.033411,10.98,-16.08,-46.38,209.7977,2.7933,0.6979,55.813995,37.500248,201.7492,NaN,0.0,8.0,,20 / 22,,365,2021-05-04 15:50:28:333
-0.102954,-0.476461,9.684841,-0.128373,-0.474855,9.794306,-0.009597,-0.071676,0.033411,10.98,-16.08,-46.38,209.7977,2.7933,0.6979,55.813995,37.500248,201.7492,NaN,0.0,8.0,,20 / 22,,375,2021-05-04 15:50:28:343
0.201119,-0.481249,9.943423,-0.117059,-0.476289,9.794377,-0.027312,-0.044188,0.029135,10.92,-16.26,-46.08,209.7977,2.7933,0.6979,55.813995,37.500248,201.7492,NaN,0.0,8.0,,20 / 22,,385,2021-05-04 15:50:28:353
0.014366,-0.490826,10.043983,-0.117059,-0.476289,9.794377,-0.027923,0.030338,0.023027,10.92,-16.26,-46.08,209.7977,2.7933,0.6979,55.813995,37.500248,201.7492,NaN,0.0,8.0,,20 / 22,,395,2021-05-04 15:50:28:363
-0.167599,-0.476461,9.873989,-0.115898,-0.481617,9.794131,-0.00471,0.070655,0.016307,10.32,-16.02,-45.48,207.5039,2.7838,0.6847,55.813995,37.500248,201.7492,NaN,0.0,8.0,,20 / 22,,406,2021-05-04 15:50:28:374
-0.10056,-0.483643,9.636956,-0.115898,-0.481617,9.794131,0.028887,-0.002038,0.012642,10.32,-16.02,-45.48,207.5039,2.7838,0.6847,55.813995,37.500248,201.7492,NaN,0.0,8.0,,20 / 22,,415,2021-05-04 15:50:28:383
-0.10056,-0.483643,9.636956,-0.125876,-0.480214,9.794077,0.024611,-0.046631,0.007144,10.2,-15.66,-45.42,207.5039,2.7838,0.6847,55.813995,37.500248,201.7492,NaN,0.0,8.0,,20 / 22,,425,2021-05-04 15:50:28:393
-0.014366,-0.481249,9.862018,-0.125876,-0.480214,9.794077,0.00934,-0.019753,0.005311,10.2,-15.66,-45.42,207.5039,2.7838,0.6847,55.813995,37.500248,201.7492,NaN,0.0,8.0,,20 / 22,,435,2021-05-04 15:50:28:403
-0.186753,-0.435758,9.984126,-0.11943,-0.475815,9.794372,-0.006543,0.034614,0.013253,10.32,-15.9,-45.12,207.3797,2.8068,0.7363,55.813995,37.500248,201.7492,NaN,0.0,8.0,,20 / 22,,446,2021-05-04 15:50:28:414
-0.354353,-0.404632,9.687236,-0.11943,-0.475815,9.794372,-0.014484,0.029116,0.012642,10.32,-15.9,-45.12,207.3797,2.8068,0.7363,55.813995,37.500248,201.7492,NaN,0.0,8.0,,20 / 22,,455,2021-05-04 15:50:28:423
-0.150839,-0.464489,9.557945,-0.124951,-0.477108,9.79424,-0.012041,-0.030138,0.016918,9.9,-15.72,-44.94,207.3797,2.8068,0.7363,55.813995,37.500248,201.7492,NaN,0.0,8.0,,20 / 22,,466,2021-05-04 15:50:28:434
-0.150839,-0.464489,9.557945,-0.124951,-0.477108,9.79424,-0.008376,-0.041744,0.015085,9.9,-15.72,-44.94,207.3797,2.8068,0.7363,55.813995,37.500248,201.7492,NaN,0.0,8.0,,20 / 22,,475,2021-05-04 15:50:28:443
-0.026337,-0.423787,9.926663,-0.121291,-0.479696,9.79416,-0.005321,0.002849,0.009588,10.5,-15.18,-45.3,211.2526,2.7886,0.7309,55.813995,37.500248,201.7492,NaN,0.0,8.0,,20 / 22,,486,2021-05-04 15:50:28:454
0.014366,-0.507586,9.96976,-0.121291,-0.479696,9.79416,0.007507,0.028505,0.008366,10.5,-15.18,-45.3,211.2526,2.7886,0.7309,55.813995,37.500248,201.7492,NaN,0.0,8.0,,20 / 22,,495,2021-05-04 15:50:28:463
0.035914,-0.459701,9.785401,-0.121193,-0.480007,9.794146,0.010561,-0.011812,0.002257,10.86,-15.24,-45.66,211.2526,2.7886,0.7309,55.813995,37.500248,201.7492,NaN,0.0,8.0,,20 / 22,,505,2021-05-04 15:50:28:473
-0.110137,-0.536318,9.804555,-0.121193,-0.480007,9.794146,0.003842,-0.03869,-0.00263,10.86,-15.24,-45.66,211.2526,2.7886,0.7309,55.813995,37.500248,201.7492,NaN,0.0,8.0,,20 / 22,,515,2021-05-04 15:50:28:483
-0.110137,-0.536318,9.804555,-0.121326,-0.478272,9.79423,0.003842,-0.03869,-0.00263,10.56,-15.78,-45.78,209.7633,2.8056,0.7089,55.813995,37.500248,201.7492,NaN,0.0,8.0,,20 / 22,,525,2021-05-04 15:50:28:493
-0.098165,-0.490826,9.967366,-0.121326,-0.478272,9.79423,-0.002878,0.006514,0.005311,10.56,-15.78,-45.78,209.7633,2.8056,0.7089,55.813995,37.500248,201.7492,NaN,0.0,8.0,,20 / 22,,535,2021-05-04 15:50:28:503
-0.112531,-0.457306,9.80695,-0.118856,-0.478648,9.794241,-0.001656,0.034614,0.004701,10.92,-16.08,-45.36,209.7633,2.8056,0.7089,55.813995,37.500248,201.7492,NaN,0.0,8.0,,20 / 22,,545,2021-05-04 15:50:28:513
-0.306467,-0.442941,9.660899,-0.118856,-0.478648,9.794241,7.87E-4,0.027895,0.00409,10.92,-16.08,-45.36,209.7633,2.8056,0.7089,55.813995,37.500248,201.7492,NaN,0.0,8.0,,20 / 22,,556,2021-05-04 15:50:28:524
-0.320833,-0.500403,9.651321,-0.12496,-0.478723,9.794161,0.004453,0.00346,0.010809,10.5,-15.66,-44.64,209.8931,2.7976,0.6953,55.813995,37.500248,201.7492,NaN,0.0,8.0,,20 / 22,,566,2021-05-04 15:50:28:534
-0.320833,-0.500403,9.651321,-0.125847,-0.478325,9.794169,0.002009,-0.013033,0.014474,9.84,-15.42,-44.82,209.8931,2.7976,0.6953,55.813995,37.500248,201.7492,NaN,0.0,8.0,,20 / 22,,576,2021-05-04 15:50:28:544
-0.184359,-0.500403,9.929058,-0.125847,-0.478325,9.794169,-4.34E-4,-0.028916,0.01814,9.84,-15.84,-45.06,209.8931,2.7976,0.6953,55.813995,37.500248,201.7492,NaN,0.0,8.0,,20 / 22,,586,2021-05-04 15:50:28:554
-0.129291,-0.5435,10.065532,-0.127425,-0.478199,9.794155,1.77E-4,-0.013644,0.021194,10.02,-15.84,-45.06,209.8931,2.7976,0.6953,55.813995,37.500248,201.7492,NaN,0.0,8.0,,20 / 22,,595,2021-05-04 15:50:28:563
-0.124502,-0.430969,9.857229,-0.127425,-0.478199,9.794155,0.001398,0.008347,0.026081,10.02,-15.84,-45.06,209.8931,2.7976,0.6953,55.813995,37.500248,201.7492,NaN,0.0,8.0,,20 / 22,,605,2021-05-04 15:50:28:573
-0.153234,-0.409421,9.536397,-0.133283,-0.47946,9.794016,0.00262,0.016288,0.031579,10.44,-15.48,-45.48,208.7167,2.795,0.7454,55.813995,37.500248,201.7492,NaN,0.0,8.0,,20 / 22,,615,2021-05-04 15:50:28:583
-0.153234,-0.409421,9.536397,-0.133283,-0.47946,9.794016,-0.001045,0.005293,0.031579,10.44,-15.48,-45.48,208.7167,2.795,0.7454,55.813995,37.500248,201.7492,NaN,0.0,8.0,,20 / 22,,625,2021-05-04 15:50:28:593
-0.249005,-0.450124,9.656111,-0.140558,-0.477617,9.794004,-0.0041,-0.006314,0.040131,10.5,-15.9,-45.9,208.7167,2.795,0.7454,55.813995,37.500248,201.7492,NaN,0.0,8.0,,20 / 22,,635,2021-05-04 15:50:28:603
-0.251399,-0.442941,10.063137,-0.140558,-0.477617,9.794004,0.003842,4.06E-4,0.044407,10.5,-15.9,-45.9,208.7167,2.795,0.7454,55.813995,37.500248,201.7492,NaN,0.0,8.0,,20 / 22,,645,2021-05-04 15:50:28:613
