Keuwl Accelerometer Data File
2021-04-30 04-10-13

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
21.6340504,0.071828,0.129291,9.778218,9.779337,0.866601,60.945393
21.6360512,0.069434,0.134079,9.766247,9.767414,0.885807,62.622299
21.6380501,0.069434,0.129291,9.768641,9.769744,0.860710,61.762550
21.6400509,0.071828,0.122108,9.766247,9.767275,0.831336,59.534454
21.6420498,0.079011,0.102954,9.754275,9.755139,0.762589,52.495857
21.6440506,0.083800,0.119714,9.778218,9.779310,0.856151,55.007980
21.6460495,0.081405,0.124502,9.783007,9.784138,0.871106,56.821487
21.6480503,0.088588,0.117319,9.785401,9.786506,0.860710,52.943470
21.6500492,0.079011,0.122108,9.778218,9.779300,0.852028,57.094757
21.6520500,0.071828,0.105348,9.783007,9.783837,0.746510,55.713123
21.6540489,0.081405,0.107742,9.783007,9.783938,0.790805,52.926929
21.6560497,0.079011,0.112531,9.771035,9.772002,0.806000,54.926247
21.6580486,0.081405,0.114925,9.768641,9.769656,0.825905,54.688786
21.6600494,0.081405,0.114925,9.773430,9.774445,0.825668,54.688786
21.6620483,0.076617,0.110137,9.773430,9.774350,0.786339,55.175510
21.6640491,0.069434,0.119714,9.785401,9.786380,0.810117,59.886265
21.6660480,0.057463,0.126897,9.778218,9.779210,0.816133,65.637543
21.6680470,0.067040,0.117319,9.773430,9.774364,0.792041,60.255116
21.6700478,0.081405,0.124502,9.754275,9.755409,0.873573,56.821487
21.6720467,0.071828,0.129291,9.766247,9.767366,0.867504,60.945393
21.6740475,0.079011,0.129291,9.771035,9.772210,0.888454,58.570435
21.6760464,0.086194,0.119714,9.763853,9.764967,0.865472,54.246113
21.6780472,0.090982,0.117319,9.759064,9.760193,0.871555,52.206055
21.6800461,0.086194,0.112531,9.763853,9.764882,0.831807,52.549423
21.6820469,0.055068,0.102954,9.775824,9.776521,0.684141,61.858398
21.6840458,0.050280,0.105348,9.773430,9.774127,0.684427,64.486130
21.6860447,0.062251,0.107742,9.778218,9.779010,0.729005,59.981632
21.6880455,0.052674,0.100560,9.771035,9.771694,0.665291,62.354023
21.6900444,0.057463,0.107742,9.763853,9.764616,0.716278,61.927513
21.6920452,0.064645,0.110137,9.747093,9.747931,0.750953,59.588921
21.6940441,0.076617,0.114925,9.756670,9.757648,0.811083,56.309933
21.6960449,0.083800,0.131685,9.773430,9.774676,0.914930,57.528809
21.6980438,0.062251,0.119714,9.790190,9.791120,0.789567,62.525570
21.7000427,0.062251,0.117319,9.794978,9.795878,0.776825,62.049030
21.7020435,0.076617,0.131685,9.780613,9.781799,0.892410,59.808376
21.7040424,0.067040,0.134079,9.771035,9.772185,0.879155,63.434948
21.7060432,0.064645,0.131685,9.775824,9.776924,0.859801,63.853161
21.7080421,0.062251,0.126897,9.775824,9.776846,0.828507,63.868999
21.7100430,0.069434,0.117319,9.773430,9.774381,0.799174,59.381393
21.7120419,0.071828,0.122108,9.783007,9.784033,0.829923,59.534454
21.7140427,0.076617,0.131685,9.775824,9.777011,0.892848,59.808376
21.7160416,0.064645,0.129291,9.773430,9.774499,0.847422,63.434948
21.7180405,0.064645,0.112531,9.766247,9.767109,0.761304,60.124008
21.7200413,0.071828,0.119714,9.768641,9.769639,0.818766,59.036243
21.7220402,0.076617,0.126897,9.780613,9.781736,0.868406,58.877529
21.7240410,0.090982,0.122108,9.775824,9.777009,0.892190,53.310276
21.7260399,0.088588,0.131685,9.775824,9.777112,0.930201,56.070198
21.7280407,0.083800,0.124502,9.771035,9.772187,0.879823,56.056412
21.7300396,0.074223,0.107742,9.766247,9.767123,0.767448,55.437477
21.7320404,0.076617,0.110137,9.761458,9.762381,0.787582,55.175510
21.7340393,0.081405,0.122108,9.756670,9.757773,0.861619,56.309933
21.7360382,0.069434,0.114925,9.775824,9.776746,0.787085,58.861027
21.7380390,0.071828,0.112531,9.773430,9.774342,0.782597,57.449997
21.7400379,0.071828,0.122108,9.773430,9.774457,0.830630,59.534454
21.7420387,0.074223,0.114925,9.768641,9.769599,0.802107,57.144276
21.7440376,0.074223,0.114925,9.759064,9.760022,0.803082,57.144276
21.7460384,0.081405,0.129291,9.749487,9.750685,0.898093,57.804264
21.7480373,0.090982,0.124502,9.783007,9.784223,0.903307,53.841812
21.7500362,0.093377,0.117319,9.780613,9.781762,0.878264,51.483074
21.7520370,0.090982,0.119714,9.775824,9.776979,0.880934,52.765167
21.7540359,0.088588,0.119714,9.771035,9.772170,0.873125,53.498558
21.7560368,0.086194,0.114925,9.759064,9.760121,0.843487,53.130104
21.7580357,0.079011,0.124502,9.754275,9.755390,0.866150,57.600159
21.7600365,0.079011,0.124502,9.766247,9.767360,0.865019,57.600159
21.7620354,0.074223,0.129291,9.780613,9.781749,0.873125,60.140984
21.7640343,0.079011,0.131685,9.773430,9.774636,0.900269,59.036243
21.7660351,0.083800,0.129291,9.780613,9.781826,0.902440,57.050785
21.7680340,0.088588,0.114925,9.773430,9.774507,0.850418,52.373764
21.7700348,0.083800,0.114925,9.775824,9.776858,0.833687,53.901718
21.7720337,0.083800,0.110137,9.775824,9.776803,0.811083,52.733601
21.7740345,0.086194,0.117319,9.773430,9.774514,0.853404,53.695503
21.7760334,0.081405,0.117319,9.773430,9.774473,0.837200,55.244087
21.7780342,0.090982,0.122108,9.771035,9.772222,0.892848,53.310276
21.7800331,0.093377,0.112531,9.754275,9.755371,0.858890,50.314545
21.7820320,0.088588,0.124502,9.756670,9.757867,0.897439,54.566685
21.7840328,0.083800,0.117319,9.775824,9.776887,0.845110,54.462322
21.7860317,0.081405,0.126897,9.790190,9.791350,0.882266,57.319443
21.7880325,0.069434,0.141262,9.785401,9.786667,0.921323,63.824711
21.7900314,0.071828,0.129291,9.780613,9.781732,0.866601,60.945393
21.7920322,0.059857,0.124502,9.780613,9.781589,0.809150,64.323181
21.7940311,0.069434,0.134079,9.768641,9.769808,0.885365,62.622299
21.7960300,0.081405,0.117319,9.780613,9.781655,0.836499,55.244087
21.7980309,0.081405,0.114925,9.780613,9.781627,0.824957,54.688786
21.8000298,0.076617,0.117319,9.780613,9.781616,0.820676,56.853004
21.8020306,0.074223,0.110137,9.792584,9.793485,0.776825,56.023457
21.8040295,0.064645,0.110137,9.783007,9.783840,0.747820,59.588921
21.8060303,0.055068,0.124502,9.766247,9.767196,0.798684,66.139824
21.8080292,0.052674,0.117319,9.763853,9.764700,0.754592,65.820892
21.8100300,0.059857,0.112531,9.775824,9.776654,0.746772,61.990822
21.8120289,0.062251,0.119714,9.785401,9.786331,0.789815,62.525570
21.8140278,0.067040,0.107742,9.778218,9.779042,0.743884,58.109207
21.8160286,0.067040,0.122108,9.768641,9.769634,0.816852,61.232349
21.8180275,0.067040,0.117319,9.771035,9.771970,0.792535,60.255116
21.8200283,0.074223,0.122108,9.771035,9.772079,0.837668,58.706963
21.8220272,0.088588,0.119714,9.778218,9.779352,0.872452,53.498558
21.8240280,0.076617,0.110137,9.766247,9.767168,0.786836,55.175510
21.8260269,0.076617,0.110137,9.771035,9.771956,0.786836,55.175510
21.8280277,0.069434,0.112531,9.768641,9.769536,0.775312,58.324532
21.8300266,0.069434,0.114925,9.768641,9.769564,0.787333,58.861027
21.8320255,0.083800,0.122108,9.775824,9.776945,0.867955,55.539185
21.8340263,0.086194,0.122108,9.759064,9.760208,0.877373,54.782410
21.8360252,0.086194,0.126897,9.768641,9.769846,0.899616,55.813877
21.8380260,0.095771,0.122108,9.768641,9.769874,0.909997,51.892422
21.8400249,0.093377,0.117319,9.775824,9.776974,0.878932,51.483074
21.8420258,0.093377,0.112531,9.780613,9.781706,0.856608,50.314545
21.8440247,0.086194,0.119714,9.780613,9.781725,0.863887,54.246113
21.8460236,0.079011,0.117319,9.794978,9.796000,0.827325,56.040939
21.8480244,0.081405,0.107742,9.794978,9.795909,0.789815,52.926929
