ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.304073,-0.253793,9.953,0.34014,-0.122455,9.799984,-0.014399,-0.002805,-0.005172,6.84,9.6,-12,320.0798,0.6876,-1.9878,55.814068,37.50038,210.7,NaN,,10.906001,,0 / 4,,24,2021-05-02 19:33:33:080
0.284919,-0.093377,9.783007,0.34014,-0.122455,9.799984,0.025918,0.000249,0.003381,6.84,9.6,-12,320.0798,0.6876,-1.9878,55.814068,37.50038,210.7,NaN,,10.906001,,0 / 4,,33,2021-05-02 19:33:33:089
0.284919,-0.093377,9.783007,0.340351,-0.122646,9.799975,0.042411,0.000249,0.000326,6.12,9.42,-11.88,324.078,0.7166,-1.9891,55.814068,37.50038,210.7,NaN,,10.906001,,0 / 4,,43,2021-05-02 19:33:33:099
0.287313,0.045491,9.613013,0.340351,-0.122646,9.799975,0.049131,0.008801,0.005213,6.12,9.42,-11.88,324.078,0.7166,-1.9891,55.814068,37.50038,210.7,NaN,,10.906001,,0 / 4,,53,2021-05-02 19:33:33:109
0.33041,0.150839,9.536397,0.339527,-0.113436,9.800114,0.028361,0.006969,0.002159,6.24,9.24,-12.36,324.078,0.7166,-1.9891,55.814068,37.50038,210.7,NaN,,10.906001,,0 / 4,,63,2021-05-02 19:33:33:119
0.407027,0.081405,9.414289,0.339527,-0.113436,9.800114,-0.007069,-0.004638,0.000326,6.24,9.24,-12.36,324.078,0.7166,-1.9891,55.814068,37.50038,210.7,NaN,,10.906001,,0 / 4,,73,2021-05-02 19:33:33:129
0.423787,-0.05028,9.45978,0.338336,-0.108413,9.800212,-0.047997,-0.011968,-0.004561,6.9,9.96,-12.42,323.0791,0.6628,-1.9842,55.814068,37.50038,210.7,NaN,,10.906001,,0 / 4,,84,2021-05-02 19:33:33:140
0.407027,-0.270553,9.80695,0.338336,-0.108413,9.800212,-0.066323,-0.010746,-0.003339,6.9,9.96,-12.42,323.0791,0.6628,-1.9842,55.814068,37.50038,210.7,NaN,,10.906001,,0 / 4,,94,2021-05-02 19:33:33:150
0.407027,-0.270553,9.80695,0.340703,-0.110348,9.800109,-0.059603,-0.010135,-0.003339,7.44,8.94,-12.18,323.0791,0.6628,-1.9842,55.814068,37.50038,210.7,NaN,,10.906001,,0 / 4,,103,2021-05-02 19:33:33:159
0.407027,-0.36393,10.175668,0.340703,-0.110348,9.800109,-0.024173,-0.013801,-0.001506,7.44,8.94,-12.18,323.0791,0.6628,-1.9842,55.814068,37.50038,210.7,NaN,,10.906001,,0 / 4,,113,2021-05-02 19:33:33:169
0.328016,-0.399844,10.115811,0.343172,-0.120994,9.799897,0.015533,0.006969,0.001548,7.14,8.76,-12.18,320.1055,0.6447,-1.9911,55.814068,37.50038,210.7,NaN,,10.906001,,0 / 4,,123,2021-05-02 19:33:33:179
0.275342,-0.225062,9.744699,0.343172,-0.120994,9.799897,0.047909,0.027127,0.005824,7.14,8.76,-12.18,320.1055,0.6447,-1.9911,55.814068,37.50038,210.7,NaN,,10.906001,,0 / 4,,133,2021-05-02 19:33:33:189
0.208302,-0.119714,9.526819,0.341104,-0.117392,9.800013,0.060126,0.025295,0.00277,6.06,9.48,-11.46,320.1055,0.6447,-1.9911,55.814068,37.50038,210.7,NaN,,10.906001,,0 / 4,,143,2021-05-02 19:33:33:199
