ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Speed ( m/s),Time since start in ms 
-0.239427,1.036721,10.30017,-0.043001,-0.025423,-0.036471,-23.46,14.7,-20.64,54.6761,-4.8591,1.2235,55.56715,37.55926,215.4223,0,19
-0.22985,1.120521,10.307353,-0.016734,-0.026034,-0.023032,-24.36,15.36,-20.28,55.8374,-4.7684,1.2012,55.56715,37.55926,215.4223,0,29
-0.284919,1.149252,10.228342,-0.000241,-0.033975,-0.010815,-24.36,15.36,-20.28,55.8374,-4.7684,1.2012,55.56715,37.55926,215.4223,0,40
-0.284919,1.149252,10.228342,0.026027,-0.069405,0.033778,-24.6,15.54,-19.74,55.8374,-4.7684,1.2012,55.56715,37.55926,215.4223,0,50
-0.277736,1.266571,10.216371,0.037022,-0.075514,0.053937,-24.3,15.24,-19.92,55.8374,-4.7684,1.2012,55.56715,37.55926,215.4223,0,59
-0.21309,1.434171,10.075109,0.055959,-0.082233,0.063711,-24.3,15.24,-19.92,55.8374,-4.7684,1.2012,55.56715,37.55926,215.4223,0,69
-0.169993,1.505999,9.897932,0.059624,-0.08651,0.060046,-23.46,14.88,-19.98,54.7224,-4.6821,1.1223,55.56715,37.55926,215.4223,0,79
-0.169993,1.505999,9.897932,0.054126,-0.074903,0.050272,-23.46,14.88,-19.98,54.7224,-4.6821,1.1223,55.56715,37.55926,215.4223,0,89
-0.086194,1.613741,9.852441,0.053515,-0.042527,0.048439,-23.82,15.3,-19.44,54.7224,-4.6821,1.1223,55.56715,37.55926,215.4223,0,99
-0.057463,1.697541,9.802161,0.062678,-0.004654,0.061267,-23.82,15.3,-19.44,54.7224,-4.6821,1.1223,55.56715,37.55926,215.4223,0,109
