ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Speed ( m/s),Time since start in ms 
-0.160416,1.055875,9.713573,-0.000852,0.009396,0.006289,-24.12,16.56,-18.72,53.4204,-6.2447,0.8922,55.567165,37.55927,210.1212,0,8
-0.153234,1.067847,9.766247,0.00037,0.003288,0.008733,-24.06,16.68,-18.36,53.4204,-6.2447,0.8922,55.567165,37.55927,210.1212,0,18
-0.141262,1.113338,9.694419,0.00037,0.003288,0.008733,-24.06,16.68,-18.36,53.4204,-6.2447,0.8922,55.567165,37.55927,210.1212,0,28
-0.143656,1.213897,9.72315,-0.005128,0.002677,0.000792,-24.78,16.62,-18.96,53.226,-6.2336,0.9488,55.567165,37.55927,210.1212,0,38
-0.141262,1.213897,9.737515,0.00037,-0.000988,0.000181,-24.78,16.62,-18.96,53.226,-6.2336,0.9488,55.567165,37.55927,210.1212,0,48
-0.141262,1.213897,9.737515,0.004035,-0.005264,-0.001041,-24.6,16.74,-18.6,53.226,-6.2336,0.9488,55.567165,37.55927,210.1212,0,58
-0.141262,1.130098,9.615408,-0.012458,0.007564,-0.002263,-24.6,16.74,-18.6,53.226,-6.2336,0.9488,55.567165,37.55927,210.1212,0,68
-0.179571,1.022355,9.852441,-0.026508,0.013062,0.000181,-24.54,17.22,-18.96,53.2161,-6.2613,0.9532,55.567165,37.55927,210.1212,0,78
-0.179571,1.022355,9.852441,-0.012458,0.017948,0.006289,-24.48,17.04,-19.68,53.2161,-6.2613,0.9532,55.567165,37.55927,210.1212,0,88
-0.141262,0.909824,9.955395,-0.012458,0.017948,0.006289,-24.48,17.04,-19.68,53.2161,-6.2613,0.9532,55.567165,37.55927,210.1212,0,99
-0.0838,0.902642,9.859624,0.001592,0.001455,0.005068,-25.08,17.28,-19.92,53.2161,-6.2613,0.9532,55.567165,37.55927,210.1212,0,108
-0.117319,1.005595,9.914692,0.00709,-0.004654,-0.00043,-24.78,16.62,-19.92,53.0523,-6.3066,0.9447,55.567165,37.55927,210.1212,0,119
-0.162811,1.106155,9.842864,0.020529,-0.005875,-0.001652,-24.78,16.62,-19.92,53.0523,-6.3066,0.9447,55.567165,37.55927,210.1212,0,129
-0.162811,1.106155,9.842864,0.030913,-0.007097,0.005679,-24.54,17.1,-19.26,53.0523,-6.3066,0.9447,55.567165,37.55927,210.1212,0,138
-0.225062,1.118126,9.63935,0.016253,0.010007,0.008733,-24.54,17.1,-19.26,53.0523,-6.3066,0.9447,55.567165,37.55927,210.1212,0,149
-0.244216,1.182772,9.632168,0.000981,0.01184,0.002624,-24.54,17.52,-19.02,51.7833,-6.2498,0.9033,55.567165,37.55927,210.1212,0,158
-0.186753,1.216292,9.658504,0.00709,0.001455,0.003235,-25.02,17.4,-18.78,51.7833,-6.2498,0.9033,55.567165,37.55927,210.1212,0,168
-0.119714,1.106155,9.644139,0.00037,-0.000988,0.002624,-25.02,17.4,-18.78,51.7833,-6.2498,0.9033,55.567165,37.55927,210.1212,0,178
-0.119714,1.106155,9.644139,-0.014291,0.003899,-0.001652,-24.3,17.52,-19.5,51.7833,-6.2498,0.9033,55.567165,37.55927,210.1212,0,189
-0.172388,1.065452,9.735122,-0.014291,0.003899,-0.001652,-24.3,17.52,-19.5,51.7833,-6.2498,0.9033,55.567165,37.55927,210.1212,0,198
-0.138868,1.031933,9.785401,-0.021621,0.010007,-0.002263,-24.18,16.86,-18.9,52.0699,-6.3196,0.9411,55.567165,37.55927,210.1212,0,208
-0.090982,1.055875,9.754275,-0.015512,-0.001599,-0.008371,-24.18,16.86,-18.9,52.0699,-6.3196,0.9411,55.567165,37.55927,210.1212,0,218
-0.090982,1.055875,9.754275,-0.013069,0.002066,-0.00715,-24,16.68,-19.08,52.0699,-6.3196,0.9411,55.567165,37.55927,210.1212,0,228
-0.241822,1.039115,9.759064,-0.017345,0.003288,-0.009593,-24,16.68,-19.08,52.0699,-6.3196,0.9411,55.567165,37.55927,210.1212,0,238
-0.181965,1.031933,9.866806,0.002814,0.001455,0.007511,-24.3,16.92,-19.26,52.0712,-6.3185,0.943,55.567165,37.55927,210.1212,0,248
-0.181965,1.031933,9.866806,0.002814,0.001455,0.007511,-24.3,16.92,-19.26,52.0712,-6.3185,0.943,55.567165,37.55927,210.1212,0,258
-0.181965,1.031933,9.866806,0.005868,0.00512,0.01362,-24.3,16.92,-19.26,52.0712,-6.3185,0.943,55.567165,37.55927,210.1212,0,268
-0.191542,1.065452,9.687236,-0.011236,0.006953,0.002013,-24.18,17.4,-19.8,52.0712,-6.3185,0.943,55.567165,37.55927,210.1212,0,278
-0.165205,1.120521,9.75667,-0.014901,0.008785,-0.001041,-23.88,17.76,-20.04,50.5335,-6.2716,0.9577,55.567165,37.55927,210.1212,0,289
-0.184359,1.063058,9.75667,-0.006349,-0.00954,-0.004095,-23.88,17.76,-20.04,50.5335,-6.2716,0.9577,55.567165,37.55927,210.1212,0,298
-0.251399,1.05827,9.818921,-0.003295,-0.000378,-0.002263,-24.18,17.64,-19.2,50.5335,-6.2716,0.9577,55.567165,37.55927,210.1212,0,309
-0.251399,1.05827,9.818921,-0.001462,0.004509,0.002624,-24.18,17.64,-19.2,50.5335,-6.2716,0.9577,55.567165,37.55927,210.1212,0,318
-0.186753,1.115732,9.850046,0.012587,-0.000988,0.007511,-24.66,16.62,-19.74,53.0848,-6.2536,0.9648,55.567165,37.55927,210.1212,0,328
-0.138868,1.108549,9.720756,0.010144,-0.000378,0.0069,-24.66,16.62,-19.74,53.0848,-6.2536,0.9648,55.567165,37.55927,210.1212,0,339
-0.181965,1.098972,9.627379,-0.016123,0.016727,-0.002874,-24.48,16.44,-19.5,53.0848,-6.2536,0.9648,55.567165,37.55927,210.1212,0,349
-0.193936,1.096578,9.718362,-0.02101,0.021003,-0.010815,-24.48,16.44,-19.5,53.0848,-6.2536,0.9648,55.567165,37.55927,210.1212,0,358
-0.193936,1.096578,9.718362,-0.011847,0.00512,-0.012036,-24.24,17.1,-18.18,52.2512,-6.2756,0.9903,55.567165,37.55927,210.1212,0,368
-0.179571,1.043904,9.763853,0.004646,-0.013206,-0.001652,-24.24,17.1,-18.18,52.2512,-6.2756,0.9903,55.567165,37.55927,210.1212,0,378
-0.193936,1.043904,9.768641,0.00037,-0.015038,0.003846,-24,17.04,-18.24,52.2512,-6.2756,0.9903,55.567165,37.55927,210.1212,0,389
-0.193936,1.043904,9.768641,0.00037,-0.015038,0.003846,-24,17.04,-18.24,52.2512,-6.2756,0.9903,55.567165,37.55927,210.1212,0,399
-0.158022,1.053481,9.905115,0.00037,-0.007097,0.007511,-23.82,16.8,-19.08,52.1149,-6.2882,1.0133,55.567165,37.55927,210.1212,0,408
-0.098165,1.039115,9.77343,0.005257,-0.010151,0.007511,-23.82,16.8,-19.08,52.1149,-6.2882,1.0133,55.567165,37.55927,210.1212,0,418
-0.203513,1.005595,9.708784,-0.000241,-0.004043,0.003846,-24.36,16.92,-19.38,52.1149,-6.2882,1.0133,55.567165,37.55927,210.1212,0,428
-0.282524,1.060664,9.818921,-0.009404,-0.001599,-0.010204,-24.36,16.92,-19.38,52.1149,-6.2882,1.0133,55.567165,37.55927,210.1212,0,438
-0.282524,1.060664,9.818921,0.01442,-0.007708,-0.00715,-24.3,16.74,-19.26,52.1056,-6.2809,0.9851,55.567165,37.55927,210.1212,0,449
-0.189148,0.998413,9.759064,0.025416,-0.013206,0.001403,-24.3,16.74,-19.26,52.1056,-6.2809,0.9851,55.567165,37.55927,210.1212,0,458
-0.126897,1.010384,9.658504,0.016253,-0.010762,-0.00043,-24.6,16.26,-19.14,52.1056,-6.2809,0.9851,55.567165,37.55927,210.1212,0,468
-0.146051,1.079818,9.73991,0.00709,-0.008319,0.000181,-24.6,16.26,-19.14,52.1056,-6.2809,0.9851,55.567165,37.55927,210.1212,0,478
-0.093377,1.089395,9.725544,0.005257,-0.002821,-0.00043,-24.78,16.44,-18.96,54.7137,-6.2442,0.9997,55.567165,37.55927,210.1212,0,488
-0.093377,1.089395,9.725544,0.005257,-0.002821,-0.00043,-24.78,16.44,-18.96,54.7137,-6.2442,0.9997,55.567165,37.55927,210.1212,0,499
-0.090982,1.118126,9.701602,-0.009404,0.008175,0.000792,-24.9,16.5,-18.6,54.7137,-6.2442,0.9997,55.567165,37.55927,210.1212,0,508
-0.205908,1.137281,9.749487,-0.022843,0.010618,-0.002263,-24.9,16.5,-18.6,54.7137,-6.2442,0.9997,55.567165,37.55927,210.1212,0,518
-0.172388,1.154041,9.854836,-0.00696,-0.004654,0.002624,-24.72,16.32,-18.84,54.717,-6.2172,0.9791,55.567165,37.55927,210.1212,0,529
-0.107742,1.137281,9.656111,0.004646,-0.000988,0.0069,-24.72,16.32,-18.84,54.717,-6.2172,0.9791,55.567165,37.55927,210.1212,0,538
-0.107742,1.137281,9.656111,-0.00696,0.000844,-0.00043,-24.66,16.26,-19.32,54.717,-6.2172,0.9791,55.567165,37.55927,210.1212,0,549
-0.162811,1.110944,9.627379,-0.017956,0.008175,-0.002874,-24.66,16.26,-19.32,54.717,-6.2172,0.9791,55.567165,37.55927,210.1212,0,558
-0.160416,1.084607,9.797373,-0.00696,0.006953,0.003235,-24.66,16.62,-18.78,53.2219,-6.2547,0.9603,55.567165,37.55927,210.1212,0,568
-0.090982,1.046298,9.735122,-0.003906,0.01184,0.000792,-24.66,16.62,-18.78,53.2219,-6.2547,0.9603,55.567165,37.55927,210.1212,0,578
-0.093377,1.087001,9.713573,-0.010015,0.010618,-0.002874,-24.6,16.8,-18.3,53.2219,-6.2547,0.9603,55.567165,37.55927,210.1212,0,589
-0.093377,1.087001,9.713573,-0.010015,0.010618,-0.002874,-24.6,16.8,-18.3,53.2219,-6.2547,0.9603,55.567165,37.55927,210.1212,0,599
-0.174782,1.087001,9.799767,-0.008182,0.002677,-0.010204,-24.72,16.86,-18.48,53.3395,-6.3012,0.9497,55.567165,37.55927,210.1212,0,608
-0.184359,1.019961,9.73991,0.007701,-0.007708,-0.003484,-24.72,16.86,-18.48,53.3395,-6.3012,0.9497,55.567165,37.55927,210.1212,0,618
-0.232245,1.04151,9.653716,-0.005738,-0.000378,-0.004095,-24.48,16.62,-18.72,53.3395,-6.3012,0.9497,55.567165,37.55927,210.1212,0,628
-0.232245,1.04151,9.653716,-0.018567,0.002677,-0.005317,-24.6,16.86,-18.36,53.3395,-6.3012,0.9497,55.567165,37.55927,210.1212,0,638
-0.215485,1.053481,9.751882,-0.018567,0.002677,-0.005317,-24.6,16.86,-18.36,53.3395,-6.3012,0.9497,55.567165,37.55927,210.1212,0,648
-0.167599,1.010384,9.79019,-0.009404,-0.000988,-0.001652,-24.42,17.04,-18.48,52.2113,-6.3023,0.9208,55.567165,37.55927,210.1212,0,658
-0.222668,1.067847,9.775824,-0.003906,-0.012595,0.002624,-24.42,17.04,-18.48,52.2113,-6.3023,0.9208,55.567165,37.55927,210.1212,0,668
-0.222668,1.067847,9.775824,-0.003295,-0.005875,-0.001652,-24.3,16.74,-18.6,52.2113,-6.3023,0.9208,55.567165,37.55927,210.1212,0,678
-0.165205,1.106155,9.804555,-0.005128,0.000844,-0.003484,-24.3,16.74,-18.6,52.2113,-6.3023,0.9208,55.567165,37.55927,210.1212,0,688
-0.146051,1.04151,9.77343,-0.00696,0.007564,-0.001041,-24.18,16.38,-18.9,53.5974,-6.2448,0.9585,55.567165,37.55927,210.1212,0,698
-0.172388,1.055875,9.761458,-0.002684,0.001455,0.006289,-24.18,16.38,-18.9,53.5974,-6.2448,0.9585,55.567165,37.55927,210.1212,0,709
-0.155628,1.067847,9.804555,-0.002684,-0.008319,-0.004706,-24.06,16.68,-18.96,53.5974,-6.2448,0.9585,55.567165,37.55927,210.1212,0,718
-0.155628,1.067847,9.804555,0.010144,-0.007097,-0.005317,-24.06,16.68,-18.96,53.5974,-6.2448,0.9585,55.567165,37.55927,210.1212,0,728
-0.167599,1.046298,9.759064,0.010144,-0.005875,0.000792,-24.66,16.86,-18.96,53.2535,-6.2176,0.9982,55.567165,37.55927,210.1212,0,738
-0.237033,0.988836,9.689631,0.010144,-0.005875,0.000792,-24.66,16.86,-18.96,53.2535,-6.2176,0.9982,55.567165,37.55927,210.1212,0,748
-0.208302,1.091789,9.771035,-0.005738,0.004509,0.003235,-25.14,16.5,-18.96,53.2535,-6.2176,0.9982,55.567165,37.55927,210.1212,0,759
-0.134079,1.094184,9.79019,-0.010015,0.014894,-0.001041,-25.14,16.5,-18.96,53.2535,-6.2176,0.9982,55.567165,37.55927,210.1212,0,768
