Keuwl Accelerometer Data File
2021-04-25 17-41-08

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
4.8015647,0.031126,0.055068,9.888355,9.888557,0.366375,60.524113
4.8035645,0.033520,0.062251,9.893144,9.893396,0.409739,61.699242
4.8055639,0.033520,0.064645,9.878778,9.879046,0.422899,62.592422
4.8075638,0.023943,0.059857,9.878778,9.878988,0.374300,68.198593
4.8095636,0.045491,0.057463,9.888355,9.888627,0.424746,51.632515
4.8115635,0.033520,0.059857,9.895537,9.895775,0.397129,60.751171
4.8135629,0.038308,0.062251,9.888355,9.888625,0.423362,58.392498
4.8155627,0.040703,0.062251,9.881172,9.881453,0.431601,56.821487
4.8175626,0.033520,0.052674,9.878778,9.878975,0.362077,57.528809
4.8195624,0.016760,0.055068,9.881172,9.881340,0.333965,73.072487
4.8215618,0.028731,0.059857,9.890749,9.890972,0.385122,64.358994
4.8235617,0.031126,0.064645,9.897932,9.898192,0.415430,64.290047
4.8255615,0.026337,0.055068,9.888355,9.888544,0.353878,64.440033
4.8275614,0.026337,0.059857,9.871595,9.871812,0.379492,66.250504
4.8295608,0.026337,0.055068,9.876384,9.876572,0.353324,64.440033
4.8315606,0.031126,0.043097,9.881172,9.881315,0.308377,54.162346
4.8335605,0.023943,0.050280,9.890749,9.890905,0.322034,64.536652
4.8355603,0.023943,0.055068,9.881172,9.881355,0.348866,66.501434
4.8375597,0.038308,0.052674,9.883567,9.883781,0.377424,53.972626
4.8395596,0.045491,0.052674,9.893144,9.893389,0.403483,49.184917
4.8415594,0.043097,0.052674,9.876384,9.876618,0.395153,50.710594
4.8435593,0.047885,0.047885,9.885961,9.886192,0.392170,45.000000
4.8455586,0.050280,0.045491,9.883567,9.883800,0.393167,42.137596
4.8475585,0.038308,0.055068,9.873989,9.874217,0.389165,55.175510
4.8495584,0.035914,0.052674,9.869201,9.869407,0.370094,55.713123
4.8515582,0.043097,0.059857,9.864412,9.864688,0.428415,54.246113
4.8535576,0.035914,0.038308,9.864412,9.864552,0.305187,46.847607
4.8555574,0.050280,0.050280,9.873989,9.874245,0.412120,45.000000
4.8575573,0.043097,0.043097,9.873989,9.874177,0.353324,45.000000
4.8595572,0.038308,0.026337,9.859624,9.859734,0.270520,34.508522
4.8615565,0.028731,0.035914,9.866806,9.866913,0.266879,51.340191
4.8635564,0.028731,0.059857,9.873989,9.874212,0.385122,64.358994
4.8655562,0.028731,0.062251,9.883567,9.883804,0.397129,65.224861
4.8675556,0.031126,0.064645,9.888355,9.888616,0.415901,64.290047
4.8695555,0.043097,0.069434,9.876384,9.876721,0.473540,58.172558
4.8715553,0.033520,0.059857,9.900327,9.900564,0.396636,60.751171
4.8735552,0.031126,0.062251,9.907509,9.907753,0.402025,63.434948
4.8755550,0.047885,0.055068,9.907509,9.907778,0.421973,48.990913
4.8775544,0.035914,0.045491,9.890749,9.890919,0.335718,51.709835
4.8795543,0.033520,0.040703,9.888355,9.888495,0.305187,50.527538
4.8815541,0.038308,0.047885,9.871595,9.871786,0.356083,51.340191
4.8835540,0.045491,0.055068,9.866806,9.867064,0.414487,50.440334
4.8855534,0.047885,0.074223,9.890749,9.891144,0.512055,57.171459
4.8875532,0.035914,0.057463,9.895537,9.895769,0.392170,57.994614
4.8895531,0.016760,0.050280,9.888355,9.888497,0.307105,71.565048
4.8915529,0.019154,0.045491,9.883567,9.883690,0.285990,67.166344
4.8935523,0.028731,0.050280,9.890749,9.890919,0.335718,60.255119
4.8955522,0.038308,0.057463,9.885961,9.886202,0.400074,56.309933
4.8975520,0.052674,0.067040,9.885961,9.886329,0.494560,51.842773
4.8995523,0.045491,0.059857,9.888355,9.888641,0.435662,52.765167
4.9015512,0.026337,0.067040,9.883567,9.883829,0.417310,68.552261
4.9035516,0.038308,0.064645,9.890749,9.891034,0.435213,59.349331
4.9055514,0.028731,0.059857,9.888355,9.888578,0.385122,64.358994
4.9075513,0.023943,0.045491,9.885961,9.886094,0.298051,62.241459
4.9095507,0.031126,0.052674,9.893144,9.893332,0.353878,59.420776
4.9115505,0.043097,0.052674,9.888355,9.888590,0.394657,50.710594
4.9135504,0.045491,0.047885,9.890749,9.890969,0.382573,46.468803
4.9155502,0.028731,0.052674,9.902720,9.902903,0.347742,61.389542
4.9175496,0.023943,0.064645,9.902720,9.902961,0.399095,69.676865
4.9195495,0.023943,0.064645,9.883567,9.883807,0.399585,69.676865
4.9215493,0.031126,0.067040,9.878778,9.879054,0.428872,65.095230
4.9235492,0.028731,0.059857,9.862018,9.862241,0.385630,64.358994
4.9255486,0.035914,0.062251,9.859624,9.859886,0.417778,60.018360
4.9275484,0.028731,0.064645,9.869201,9.869454,0.410693,66.037514
4.9295483,0.023943,0.062251,9.881172,9.881397,0.386643,68.962486
4.9315481,0.035914,0.059857,9.881172,9.881419,0.404935,59.036243
4.9335475,0.043097,0.067040,9.883567,9.883888,0.462248,57.264774
4.9355474,0.035914,0.052674,9.897932,9.898137,0.369035,55.713123
4.9375472,0.038308,0.055068,9.900327,9.900555,0.388662,55.175510
4.9395471,0.038308,0.052674,9.881172,9.881387,0.377424,53.972626
4.9415469,0.026337,0.052674,9.873989,9.874165,0.341497,63.434948
4.9435463,0.014366,0.057463,9.871595,9.871773,0.343211,75.963753
4.9455462,0.028731,0.067040,9.885961,9.886230,0.422436,66.801414
4.9475460,0.023943,0.069434,9.881172,9.881445,0.425666,70.974396
4.9495459,0.033520,0.059857,9.902720,9.902958,0.396636,60.751171
4.9515457,0.028731,0.059857,9.902720,9.902944,0.384613,64.358994
4.9535451,0.031126,0.067040,9.900327,9.900602,0.427501,65.095230
4.9555449,0.040703,0.069434,9.900327,9.900654,0.465622,59.620876
4.9575448,0.040703,0.057463,9.888355,9.888606,0.408304,54.688786
4.9595447,0.035914,0.052674,9.888355,9.888561,0.369565,55.713123
