ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),,,,GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms 
-0.01676,-0.019154,9.967366,,,,-0.0004,-0.000345,-0.002307,-19.32,-13.86,-48.36,126.3855,0.128,0.1726,32
-0.026337,-0.028731,9.967366,,,,0.000822,-0.000345,0.000748,-19.32,-13.86,-48.36,126.3855,0.128,0.1726,42
-0.038308,-0.01676,9.979338,,,,-0.0004,-0.000345,0.001969,-18.6,-14.34,-47.94,126.3855,0.128,0.1726,52
-0.03352,-0.014366,9.974549,,,,0.000211,-0.000345,0.003191,-18.42,-14.52,-47.88,126.3855,0.128,0.1726,62
-0.03352,-0.014366,9.974549,,,,0.001433,0.002099,0.004413,-18.42,-14.52,-47.88,126.3855,0.128,0.1726,71
-0.038308,-0.035914,9.962578,,,,0.000211,-0.001566,0.000748,-18.84,-14.34,-46.86,126.3821,0.1255,0.1721,82
-0.03352,-0.038308,9.974549,,,,0.000211,-0.001566,0.000748,-18.84,-14.34,-46.86,126.3821,0.1255,0.1721,91
-0.03352,-0.038308,9.974549,,,,0.001433,-0.001566,0.003191,-18.84,-14.1,-46.98,126.3821,0.1255,0.1721,101
-0.026337,-0.040703,9.967366,,,,0.000211,0.000266,0.000137,-18.84,-14.1,-46.98,126.3821,0.1255,0.1721,112
-0.035914,-0.028731,9.962578,,,,-0.00101,0.000877,0.00258,-19.38,-13.8,-47.76,126.3775,0.128,0.1794,121
-0.047885,-0.021548,9.974549,,,,0.000211,0.00271,0.001359,-19.38,-13.8,-47.76,126.3775,0.128,0.1794,131
-0.03352,-0.03352,9.962578,,,,0.000822,0.003932,0.000748,-19.44,-13.56,-48.18,126.3775,0.128,0.1794,142
-0.03352,-0.03352,9.962578,,,,-0.001621,-0.004621,0.000137,-19.44,-13.56,-48.18,126.3775,0.128,0.1794,151
-0.035914,-0.023943,9.953,,,,-0.004065,0.000266,0.000137,-19.2,-13.44,-48,124.3947,0.1342,0.1836,162
-0.026337,-0.026337,9.96976,,,,0.001433,0.000877,0.001359,-19.2,-13.44,-48,124.3947,0.1342,0.1836,171
-0.035914,-0.021548,9.960183,,,,-0.00101,-0.000955,0.001969,-19.08,-13.26,-48.66,124.3947,0.1342,0.1836,182
-0.026337,0.002394,9.953,,,,-0.0004,-0.000345,0.000748,-19.08,-13.26,-48.66,124.3947,0.1342,0.1836,191
-0.026337,0.002394,9.953,,,,0.002044,-0.000345,0.004413,-19.08,-13.38,-48.78,124.4027,0.1459,0.1943,202
-0.040703,-0.03352,9.964972,,,,0.002655,0.002099,0.004413,-19.08,-13.38,-48.78,124.4027,0.1459,0.1943,212
-0.05028,-0.021548,9.96976,,,,-0.002232,-0.000345,0.001359,-19.2,-13.5,-47.76,124.4027,0.1459,0.1943,221
-0.031126,-0.023943,9.981731,,,,0.002044,0.000877,0.001359,-19.2,-13.5,-47.76,124.4027,0.1459,0.1943,231
-0.031126,-0.023943,9.981731,,,,-0.0004,0.002099,0.000748,-19.02,-14.1,-47.22,126.3815,0.1419,0.1949,241
-0.031126,-0.023943,9.950606,,,,-0.0004,0.000266,0.006245,-19.02,-14.1,-47.22,126.3815,0.1419,0.1949,252
-0.028731,-0.031126,9.972155,,,,0.000822,-0.001566,-0.000474,-19.26,-14.64,-47.34,126.3815,0.1419,0.1949,262
-0.019154,-0.021548,9.964972,,,,0.000211,0.000877,0.000748,-19.26,-14.34,-47.34,126.3815,0.1419,0.1949,272
-0.019154,-0.021548,9.964972,,,,0.001433,0.004542,0.000137,-19.26,-14.34,-47.34,126.3815,0.1419,0.1949,282
-0.028731,-0.038308,9.964972,,,,0.001433,0.004542,0.000137,-18.96,-14.46,-48.42,126.3823,0.141,0.1928,291
-0.038308,-0.045491,9.955395,,,,0.003877,-0.000345,0.000137,-18.96,-14.46,-48.42,126.3823,0.141,0.1928,302
-0.03352,-0.014366,9.962578,,,,-0.00101,0.002099,-0.001085,-18.72,-14.82,-48.24,126.3823,0.141,0.1928,311
-0.03352,-0.014366,9.962578,,,,0.000822,0.003321,0.001359,-18.72,-14.82,-48.24,126.3823,0.141,0.1928,322
-0.047885,-0.021548,9.955395,,,,0.003877,0.00271,0.001969,-19.08,-13.68,-47.7,126.3822,0.1415,0.1936,332
-0.038308,-0.026337,9.955395,,,,0.002044,0.000266,0.006245,-19.08,-13.68,-47.7,126.3822,0.1415,0.1936,342
-0.019154,-0.014366,9.979338,,,,-0.0004,0.00271,0.001359,-19.08,-13.32,-48.12,126.3822,0.1415,0.1936,352
-0.019154,-0.014366,9.979338,,,,-0.0004,-0.000955,-0.001696,-19.08,-13.32,-48.12,126.3822,0.1415,0.1936,361
-0.043097,-0.019154,9.945818,,,,0.001433,0.002099,0.001359,-19.14,-14.1,-48.36,126.375,0.1388,0.196,372
-0.035914,-0.019154,9.96976,,,,-0.00101,-0.000345,0.001969,-19.14,-14.1,-48.36,126.375,0.1388,0.196,382
-0.023943,-0.021548,9.984126,,,,0.000211,0.002099,0.000137,-19.08,-14.04,-48.54,126.375,0.1388,0.196,391
-0.023943,-0.021548,9.981731,,,,-0.00101,-0.000345,-0.001696,-19.08,-14.04,-48.54,126.375,0.1388,0.196,402
-0.023943,-0.021548,9.981731,,,,-0.001621,0.000877,0.000748,-18.54,-13.56,-49.08,126.3804,0.1401,0.1931,411
-0.026337,-0.019154,9.953,,,,0.000822,0.000877,0.003191,-18.54,-13.56,-49.08,126.3804,0.1401,0.1931,422
-0.023943,-0.026337,9.972155,,,,-0.003454,-0.000955,-0.001085,-18.54,-13.56,-48.72,126.3804,0.1401,0.1931,432
-0.011971,-0.014366,9.964972,,,,0.003877,-0.003399,0.003191,-18.54,-13.56,-48.72,126.3804,0.1401,0.1931,441
-0.05028,-0.011971,9.967366,,,,-0.002232,0.000877,0.001359,-19.26,-13.74,-47.88,126.3847,0.1361,0.1843,452
-0.05028,-0.011971,9.967366,,,,0.000822,0.000877,-0.001085,-19.26,-13.74,-47.88,126.3847,0.1361,0.1843,461
-0.035914,-0.01676,9.964972,,,,0.000822,0.000877,-0.001085,-19.08,-14.1,-47.58,126.3847,0.1361,0.1843,471
-0.035914,-0.023943,9.972155,,,,0.002655,-0.001566,-0.000474,-19.08,-14.1,-47.58,126.3847,0.1361,0.1843,482
-0.026337,-0.011971,9.967366,,,,0.002655,-0.001566,-0.000474,-19.2,-13.56,-47.4,126.3908,0.1372,0.1805,491
-0.03352,-0.026337,9.972155,,,,0.000822,0.000266,0.001969,-19.2,-13.56,-47.4,126.3908,0.1372,0.1805,501
-0.03352,-0.026337,9.972155,,,,-0.0004,0.000266,0.001969,-19.44,-13.2,-47.94,126.3908,0.1372,0.1805,512
-0.026337,-0.004789,9.955395,,,,-0.0004,-0.000955,0.000748,-19.44,-13.2,-47.94,126.3908,0.1372,0.1805,522
-0.028731,-0.01676,9.945818,,,,-0.002232,0.00271,0.000137,-18.9,-14.1,-48.24,126.3853,0.1343,0.1813,532
-0.035914,-0.028731,9.955395,,,,-0.00101,-0.000955,-0.000474,-18.9,-14.1,-48.24,126.3853,0.1343,0.1813,542
-0.028731,-0.004789,9.948212,,,,-0.00101,-0.001566,0.000748,-18.42,-13.5,-47.88,126.3853,0.1343,0.1813,551
-0.023943,-0.007183,9.955395,,,,0.001433,0.000266,0.000137,-19.02,-13.14,-47.76,126.3853,0.1343,0.1813,562
-0.023943,-0.007183,9.955395,,,,0.003266,0.002099,0.003802,-19.02,-13.14,-47.76,126.3853,0.1343,0.1813,571
-0.040703,-0.019154,9.962578,,,,0.003266,0.002099,0.003802,-19.2,-13.44,-48.42,124.3961,0.1313,0.1782,581
-0.014366,-0.031126,9.960183,,,,0.001433,0.003321,0.001359,-19.2,-13.44,-48.42,124.3961,0.1313,0.1782,591
-0.03352,-0.019154,9.953,,,,0.000822,-0.002788,0.000748,-18.6,-14.46,-48.72,124.3961,0.1313,0.1782,602
-0.03352,-0.019154,9.953,,,,-0.0004,-0.000955,0.00258,-18.6,-14.46,-48.72,124.3961,0.1313,0.1782,612
-0.028731,-0.01676,9.953,,,,-0.00101,0.000877,0.001969,-18.54,-14.34,-48.48,126.373,0.1255,0.1797,622
-0.035914,-0.019154,9.962578,,,,0.000822,-0.002788,0.000748,-18.54,-14.34,-48.48,126.373,0.1255,0.1797,631
-0.019154,-0.021548,9.943423,,,,-0.0004,0.000266,0.000137,-18.84,-14.04,-47.94,126.373,0.1255,0.1797,642
-0.03352,-0.021548,9.955395,,,,0.002044,0.000266,0.000748,-18.84,-14.04,-47.94,126.373,0.1255,0.1797,653
-0.03352,-0.021548,9.955395,,,,-0.00101,0.000266,-0.000474,-19.08,-14.34,-47.58,126.3773,0.126,0.1768,662
-0.035914,-0.03352,9.953,,,,-0.0004,0.000877,0.000748,-19.08,-14.34,-47.58,126.3773,0.126,0.1768,671
-0.01676,-0.028731,9.945818,,,,0.001433,0.000877,0.001969,-18.96,-14.22,-47.64,126.3773,0.126,0.1768,682
-0.028731,-0.019154,9.950606,,,,-0.00101,0.000877,0.001359,-18.96,-14.22,-47.64,126.3773,0.126,0.1768,692
-0.01676,-0.023943,9.960183,,,,-0.00101,0.000877,0.001359,-19.14,-13.74,-48.06,126.378,0.1234,0.1726,701
-0.01676,-0.023943,9.960183,,,,-0.0004,-0.000955,0.001359,-19.14,-13.74,-48.06,126.378,0.1234,0.1726,711
-0.028731,-0.011971,9.948212,,,,-0.002232,0.000877,0.001359,-19.2,-13.5,-47.94,126.378,0.1234,0.1726,722
-0.019154,-0.009577,9.960183,,,,0.002655,-0.002177,0.000748,-19.2,-13.98,-47.88,126.378,0.1234,0.1726,731
-0.035914,-0.028731,9.950606,,,,-0.001621,-0.00401,0.00258,-19.2,-13.98,-47.88,126.378,0.1234,0.1726,741
-0.028731,-0.019154,9.93624,,,,0.000211,0.001488,0.003802,-19.08,-13.98,-48.6,126.3748,0.1235,0.1753,752
-0.028731,-0.019154,9.93624,,,,0.000211,-0.000345,0.000137,-19.08,-13.98,-48.6,126.3748,0.1235,0.1753,762
-0.031126,-0.03352,9.955395,,,,0.000211,0.00271,0.001969,-18.84,-13.38,-48.9,126.3748,0.1235,0.1753,771
-0.05028,-0.021548,9.962578,,,,-0.002843,-0.000955,-0.000474,-18.84,-13.38,-48.9,126.3748,0.1235,0.1753,782
-0.028731,-0.023943,9.945818,,,,-0.002843,-0.000955,-0.000474,-19.02,-13.68,-48.24,126.3858,0.1265,0.1704,791
-0.028731,-0.023943,9.945818,,,,-0.003454,-0.002177,0.00258,-19.02,-13.68,-48.24,126.3858,0.1265,0.1704,802
-0.040703,-0.031126,9.945818,,,,0.001433,-0.000345,0.003191,-19.26,-14.28,-48.48,126.3858,0.1265,0.1704,812
-0.031126,0.004789,9.938635,,,,0.000822,0.000877,0.001359,-19.26,-14.28,-48.48,126.3858,0.1265,0.1704,822
-0.023943,-0.031126,9.955395,,,,-0.00101,-0.002177,0.001359,-19.44,-13.86,-48.54,126.3744,0.129,0.1831,832
-0.023943,-0.031126,9.955395,,,,0.000822,0.000266,0.001359,-19.44,-13.86,-48.54,126.3744,0.129,0.1831,841
-0.03352,-0.021548,9.945818,,,,-0.001621,-0.005231,0.00258,-19.38,-13.44,-48.84,126.3744,0.129,0.1831,851
-0.038308,-0.01676,9.938635,,,,0.004487,0.003932,0.00258,-19.26,-13.44,-49.26,126.3744,0.129,0.1831,862
-0.035914,-0.026337,9.967366,,,,-0.00101,-0.000955,0.000748,-19.26,-13.44,-49.26,126.3744,0.129,0.1831,871
-0.040703,-0.019154,9.943423,,,,-0.00101,-0.000955,0.000748,-18.54,-13.26,-48.84,124.3906,0.1299,0.1812,882
-0.040703,-0.007183,9.967366,,,,0.002044,0.001488,-0.001696,-18.54,-13.26,-48.84,124.3906,0.1299,0.1812,892
-0.028731,-0.007183,9.967366,,,,0.002044,0.001488,-0.001696,-19.26,-13.74,-47.82,124.3906,0.1299,0.1812,901
-0.05028,-0.03352,9.943423,,,,0.002044,-0.002177,0.001969,-19.26,-13.74,-47.82,124.3906,0.1299,0.1812,912
