ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Speed ( m/s),Time since start in ms 
-0.040703,-0.023943,9.893144,-0.000375,0.002861,0.000213,-19.5,-12.9,-49.08,122.888,0.0689,0.2284,55.81406,37.500443,210.6,0,39
-0.038308,-0.021548,9.862018,0.001458,0.000418,0.002657,-19.44,-12.6,-49.38,122.888,0.0689,0.2284,55.81406,37.500443,210.6,0,49
-0.040703,-0.007183,9.854836,0.002679,0.002861,0.003268,-19.44,-12.6,-49.38,122.888,0.0689,0.2284,55.81406,37.500443,210.6,0,58
-0.055068,-0.019154,9.888355,0.000236,0.00164,-0.001009,-19.74,-12.9,-49.02,122.8799,0.0655,0.2304,55.81406,37.500443,210.6,0,69
-0.055068,-0.019154,9.888355,0.000236,0.00164,-0.001009,-19.74,-12.9,-49.02,122.8799,0.0655,0.2304,55.81406,37.500443,210.6,0,79
-0.023943,-0.011971,9.873989,-0.001597,0.00164,-0.00223,-20.1,-13.08,-48.96,122.8799,0.0655,0.2304,55.81406,37.500443,210.6,0,89
-0.023943,-0.011971,9.873989,-0.001597,-0.000193,-0.001619,-20.1,-13.08,-48.96,122.8799,0.0655,0.2304,55.81406,37.500443,210.6,0,98
-0.03352,-0.009577,9.893144,0.002068,-0.000193,0.001435,-20.1,-12.54,-48.96,122.8799,0.0655,0.2304,55.81406,37.500443,210.6,0,108
-0.038308,-0.021548,9.878778,-0.002208,-0.003858,0.002046,-20.1,-12.6,-48.84,122.8729,0.064,0.2345,55.81406,37.500443,210.6,0,119
-0.038308,-0.021548,9.878778,0.004512,-0.001415,0.004489,-20.1,-12.6,-48.84,122.8729,0.064,0.2345,55.81406,37.500443,210.6,0,129
-0.035914,-0.009577,9.864412,-0.002819,0.000418,0.000824,-19.8,-13.74,-48.78,122.8729,0.064,0.2345,55.81406,37.500443,210.6,0,138
-0.031126,0,9.883567,-0.000986,-0.001415,-0.001009,-19.8,-13.74,-48.78,122.8729,0.064,0.2345,55.81406,37.500443,210.6,0,148
-0.028731,-0.014366,9.885961,0.000847,-0.001415,-0.000398,-19.68,-13.68,-48.96,124.8317,0.0644,0.2323,55.81406,37.500443,210.6,0,159
-0.038308,-0.023943,9.854836,0.000847,0.000418,0.002046,-19.68,-13.68,-48.96,124.8317,0.0644,0.2323,55.81406,37.500443,210.6,0,169
-0.038308,-0.023943,9.854836,0.000236,0.000418,0.000824,-19.86,-12.72,-48.6,124.8317,0.0644,0.2323,55.81406,37.500443,210.6,0,179
-0.035914,-0.026337,9.866806,0.000847,0.002861,-0.000398,-19.86,-12.72,-48.6,124.8317,0.0644,0.2323,55.81406,37.500443,210.6,0,189
-0.03352,-0.004789,9.878778,-0.002819,-0.001415,0.000213,-20.1,-13.38,-48.66,122.8987,0.072,0.2235,55.81406,37.500443,210.6,0,199
-0.035914,0,9.888355,0.002068,0.001029,-0.000398,-20.1,-13.38,-48.66,122.8987,0.072,0.2235,55.81406,37.500443,210.6,0,208
-0.035914,0,9.888355,0.002679,0.000418,0.000213,-20.22,-13.26,-48.72,122.8987,0.072,0.2235,55.81406,37.500443,210.6,0,218
-0.052674,-0.009577,9.857229,-0.002208,-0.001415,-0.000398,-20.22,-13.26,-48.72,122.8987,0.072,0.2235,55.81406,37.500443,210.6,0,229
-0.038308,-0.002394,9.854836,0.002068,0.003472,0.000824,-19.86,-12.84,-48.36,122.9146,0.0753,0.2162,55.81406,37.500443,210.6,0,239
-0.035914,-0.014366,9.881172,0.002068,0.003472,0.000824,-19.86,-12.84,-48.36,122.9146,0.0753,0.2162,55.81406,37.500443,210.6,0,249
-0.03352,0,9.883567,0.000236,-0.000804,-0.001009,-19.56,-12.78,-47.82,122.9146,0.0753,0.2162,55.81406,37.500443,210.6,0,258
-0.03352,0,9.883567,-0.002819,-0.000804,-0.000398,-19.8,-12.36,-48.72,122.9146,0.0753,0.2162,55.81406,37.500443,210.6,0,269
-0.05028,0.002394,9.873989,-0.000986,0.000418,-0.003452,-19.8,-12.36,-48.72,122.9146,0.0753,0.2162,55.81406,37.500443,210.6,0,278
-0.040703,-0.009577,9.864412,-0.000375,-0.001415,-0.001009,-19.68,-12.6,-48.96,122.9237,0.0773,0.2092,55.81406,37.500443,210.6,0,288
