LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Speed ( m/s),Time since start in ms 
55.855625,37.480362,165.2274,0.0689,15
55.855625,37.480362,165.2274,0.0689,25
55.855625,37.480362,165.2274,0.0689,35
55.855625,37.480362,165.2274,0.0689,45
55.855625,37.480362,165.2274,0.0689,55
55.855625,37.480362,165.2274,0.0689,65
55.855625,37.480362,165.2274,0.0689,75
55.855625,37.480362,165.2274,0.0689,86
55.855625,37.480362,165.2274,0.0689,96
55.855625,37.480362,165.2274,0.0689,105
55.855625,37.480362,165.2274,0.0689,116
55.855625,37.480362,165.2274,0.0689,125
55.855625,37.480362,165.2274,0.0689,135
55.855625,37.480362,165.2274,0.0689,145
55.855625,37.480362,165.2274,0.0689,156
55.855625,37.480362,165.2274,0.0689,165
55.855625,37.480362,165.2274,0.0689,175
55.855625,37.480362,165.2274,0.0689,185
55.855625,37.480362,165.2274,0.0689,195
55.855625,37.480362,165.2274,0.0689,205
55.855625,37.480362,165.2274,0.0689,216
55.855625,37.480362,165.2274,0.0689,225
55.855625,37.480362,165.2274,0.0689,235
55.855625,37.480362,165.2274,0.0689,245
55.855625,37.480362,165.2274,0.0689,256
55.855625,37.480362,165.2274,0.0689,265
55.855625,37.480362,165.2274,0.0689,275
55.855625,37.480362,165.2274,0.0689,285
55.855625,37.480362,165.2274,0.0689,295
55.855625,37.480362,165.2274,0.0689,305
55.855625,37.480362,165.2274,0.0689,316
55.85565,37.48031,165.4242,0.0188,325
55.85565,37.48031,165.4242,0.0188,335
55.85565,37.48031,165.4242,0.0188,345
55.85565,37.48031,165.4242,0.0188,355
55.85565,37.48031,165.4242,0.0188,365
55.85565,37.48031,165.4242,0.0188,376
55.85565,37.48031,165.4242,0.0188,385
55.85565,37.48031,165.4242,0.0188,395
55.85565,37.48031,165.4242,0.0188,406
55.85565,37.48031,165.4242,0.0188,415
55.85565,37.48031,165.4242,0.0188,425
55.85565,37.48031,165.4242,0.0188,435
55.85565,37.48031,165.4242,0.0188,445
55.85565,37.48031,165.4242,0.0188,455
55.85565,37.48031,165.4242,0.0188,465
55.85565,37.48031,165.4242,0.0188,475
55.85565,37.48031,165.4242,0.0188,485
55.85565,37.48031,165.4242,0.0188,495
55.85565,37.48031,165.4242,0.0188,505
55.85565,37.48031,165.4242,0.0188,516
55.85565,37.48031,165.4242,0.0188,526
55.85565,37.48031,165.4242,0.0188,535
55.85565,37.48031,165.4242,0.0188,546
55.85565,37.48031,165.4242,0.0188,555
55.85565,37.48031,165.4242,0.0188,565
55.85565,37.48031,165.4242,0.0188,575
55.85565,37.48031,165.4242,0.0188,586
55.85565,37.48031,165.4242,0.0188,595
55.85565,37.48031,165.4242,0.0188,605
55.85565,37.48031,165.4242,0.0188,616
55.85565,37.48031,165.4242,0.0188,626
55.85565,37.48031,165.4242,0.0188,636
55.85565,37.48031,165.4242,0.0188,645
55.85565,37.48031,165.4242,0.0188,655
55.85565,37.48031,165.4242,0.0188,665
55.85565,37.48031,165.4242,0.0188,676
55.85565,37.48031,165.4242,0.0188,686
55.85565,37.48031,165.4242,0.0188,695
55.85565,37.48031,165.4242,0.0188,705
55.85565,37.48031,165.4242,0.0188,715
55.85565,37.48031,165.4242,0.0188,725
55.85565,37.48031,165.4242,0.0188,735
55.85565,37.48031,165.4242,0.0188,745
55.85565,37.48031,165.4242,0.0188,755
55.85565,37.48031,165.4242,0.0188,765
55.85565,37.48031,165.4242,0.0188,776
55.85565,37.48031,165.4242,0.0188,785
55.85565,37.48031,165.4242,0.0188,795
55.85565,37.48031,165.4242,0.0188,806
55.85565,37.48031,165.4242,0.0188,816
55.85565,37.48031,165.4242,0.0188,825
55.85565,37.48031,165.4242,0.0188,835
55.85565,37.48031,165.4242,0.0188,845
55.85565,37.48031,165.4242,0.0188,855
55.85565,37.48031,165.4242,0.0188,865
55.85565,37.48031,165.4242,0.0188,875
55.85565,37.48031,165.4242,0.0188,885
55.85565,37.48031,165.4242,0.0188,895
55.85565,37.48031,165.4242,0.0188,905
55.85565,37.48031,165.4242,0.0188,915
55.85565,37.48031,165.4242,0.0188,925
55.85565,37.48031,165.4242,0.0188,935
55.85565,37.48031,165.4242,0.0188,945
55.85565,37.48031,165.4242,0.0188,955
55.85565,37.48031,165.4242,0.0188,965
55.85565,37.48031,165.4242,0.0188,975
55.85565,37.48031,165.4242,0.0188,985
55.85565,37.48031,165.4242,0.0188,995
55.85565,37.48031,165.4242,0.0188,1005
55.85565,37.48031,165.4242,0.0188,1015
55.85565,37.48031,165.4242,0.0188,1025
55.85565,37.48031,165.4242,0.0188,1036
55.85565,37.48031,165.4242,0.0188,1045
55.85565,37.48031,165.4242,0.0188,1055
55.85565,37.48031,165.4242,0.0188,1065
55.85565,37.48031,165.4242,0.0188,1075
55.85565,37.48031,165.4242,0.0188,1085
55.85565,37.48031,165.4242,0.0188,1095
55.85565,37.48031,165.4242,0.0188,1105
55.85565,37.48031,165.4242,0.0188,1115
55.85565,37.48031,165.4242,0.0188,1125
55.85565,37.48031,165.4242,0.0188,1136
55.85565,37.48031,165.4242,0.0188,1145
55.85565,37.48031,165.4242,0.0188,1156
55.85565,37.48031,165.4242,0.0188,1165
55.85565,37.48031,165.4242,0.0188,1176
55.85565,37.48031,165.4242,0.0188,1185
55.85565,37.48031,165.4242,0.0188,1196
55.85565,37.48031,165.4242,0.0188,1205
55.85565,37.48031,165.4242,0.0188,1215
55.85565,37.48031,165.4242,0.0188,1226
55.85565,37.48031,165.4242,0.0188,1235
55.85565,37.48031,165.4242,0.0188,1245
55.85565,37.48031,165.4242,0.0188,1255
55.85565,37.48031,165.4242,0.0188,1265
55.85565,37.48031,165.4242,0.0188,1276
55.85565,37.48031,165.4242,0.0188,1285
55.85565,37.48031,165.4242,0.0188,1296
55.855625,37.480396,176.2746,0,1306
55.855625,37.480396,176.2746,0,1316
55.855625,37.480396,176.2746,0,1325
55.855625,37.480396,176.2746,0,1335
55.855625,37.480396,176.2746,0,1345
55.855625,37.480396,176.2746,0,1355
55.855625,37.480396,176.2746,0,1365
55.855625,37.480396,176.2746,0,1376
55.855625,37.480396,176.2746,0,1385
55.855625,37.480396,176.2746,0,1395
55.855625,37.480396,176.2746,0,1405
55.855625,37.480396,176.2746,0,1415
55.855625,37.480396,176.2746,0,1426
55.855625,37.480396,176.2746,0,1436
55.855625,37.480396,176.2746,0,1445
55.855625,37.480396,176.2746,0,1455
55.855625,37.480396,176.2746,0,1465
55.855625,37.480396,176.2746,0,1475
55.855625,37.480396,176.2746,0,1485
55.855625,37.480396,176.2746,0,1495
55.855625,37.480396,176.2746,0,1506
55.855625,37.480396,176.2746,0,1515
55.855625,37.480396,176.2746,0,1526
55.855625,37.480396,176.2746,0,1536
55.855625,37.480396,176.2746,0,1545
55.855625,37.480396,176.2746,0,1555
55.855625,37.480396,176.2746,0,1565
55.855625,37.480396,176.2746,0,1575
55.855625,37.480396,176.2746,0,1585
55.855625,37.480396,176.2746,0,1595
55.855625,37.480396,176.2746,0,1605
55.855625,37.480396,176.2746,0,1615
55.855625,37.480396,176.2746,0,1625
55.855625,37.480396,176.2746,0,1636
55.855625,37.480396,176.2746,0,1646
55.855625,37.480396,176.2746,0,1655
55.855625,37.480396,176.2746,0,1665
55.855625,37.480396,176.2746,0,1675
55.855625,37.480396,176.2746,0,1686
55.855625,37.480396,176.2746,0,1696
55.855625,37.480396,176.2746,0,1705
55.855625,37.480396,176.2746,0,1715
55.855625,37.480396,176.2746,0,1725
55.855625,37.480396,176.2746,0,1735
55.855625,37.480396,176.2746,0,1745
55.855625,37.480396,176.2746,0,1755
55.855625,37.480396,176.2746,0,1766
55.855625,37.480396,176.2746,0,1775
55.855625,37.480396,176.2746,0,1786
55.855625,37.480396,176.2746,0,1796
55.855625,37.480396,176.2746,0,1805
55.855625,37.480396,176.2746,0,1816
55.855625,37.480396,176.2746,0,1826
55.855625,37.480396,176.2746,0,1835
55.855625,37.480396,176.2746,0,1846
55.855625,37.480396,176.2746,0,1856
55.855625,37.480396,176.2746,0,1865
55.855625,37.480396,176.2746,0,1875
55.855625,37.480396,176.2746,0,1885
55.855625,37.480396,176.2746,0,1895
55.855625,37.480396,176.2746,0,1905
55.855625,37.480396,176.2746,0,1915
55.855625,37.480396,176.2746,0,1925
55.855625,37.480396,176.2746,0,1935
55.855625,37.480396,176.2746,0,1945
55.855625,37.480396,176.2746,0,1955
55.855625,37.480396,176.2746,0,1965
55.855625,37.480396,176.2746,0,1975
55.855625,37.480396,176.2746,0,1985
55.855625,37.480396,176.2746,0,1995
55.855625,37.480396,176.2746,0,2005
55.855625,37.480396,176.2746,0,2016
55.855625,37.480396,176.2746,0,2025
55.855625,37.480396,176.2746,0,2036
55.855625,37.480396,176.2746,0,2045
55.855625,37.480396,176.2746,0,2055
55.855625,37.480396,176.2746,0,2065
55.855625,37.480396,176.2746,0,2075
55.855625,37.480396,176.2746,0,2086
55.855625,37.480396,176.2746,0,2095
55.855625,37.480396,176.2746,0,2105
55.855625,37.480396,176.2746,0,2115
55.855625,37.480396,176.2746,0,2125
55.855625,37.480396,176.2746,0,2135
55.855625,37.480396,176.2746,0,2145
55.855625,37.480396,176.2746,0,2156
55.855625,37.480396,176.2746,0,2165
55.855625,37.480396,176.2746,0,2175
55.855625,37.480396,176.2746,0,2185
55.855625,37.480396,176.2746,0,2195
55.855625,37.480396,176.2746,0,2205
55.855625,37.480396,176.2746,0,2215
55.855625,37.480396,176.2746,0,2225
55.855625,37.480396,176.2746,0,2236
55.855625,37.480396,176.2746,0,2247
55.855625,37.480396,176.2746,0,2255
55.855625,37.480396,176.2746,0,2265
55.855625,37.480396,176.2746,0,2275
55.855625,37.480396,176.2746,0,2286
55.855625,37.480396,176.2746,0,2295
55.855618,37.48045,178.0868,0,2306
