ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),ATMOSPHERIC PRESSURE (hPa),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.586597,0.385478,10.106234,0.487206,0.40571,9.786134,-0.005704,0.03231,0.0516,-14.1,-3.36,-43.02,95.8228,-2.3573,-2.93,984.7075,55.855694,37.480854,174.5599,NaN,,0.0244,3.0,85.4569,28 / 30,,10,2021-05-20 22:06:41:543
0.586597,0.385478,10.106234,0.475505,0.405244,9.786729,0.026061,0.027423,0.03083,-13.8,-3.0,-42.84,95.7462,-2.3711,-2.8501,984.7075,55.855694,37.480854,174.5599,NaN,,0.0244,3.0,85.4569,28 / 30,,19,2021-05-20 22:06:41:552
0.679974,0.421392,10.094262,0.475505,0.405244,9.786729,0.043776,0.027423,0.01678,-13.8,-3.0,-42.84,95.7462,-2.3711,-2.8501,984.7075,55.855694,37.480854,174.5599,NaN,,0.0244,3.0,85.4569,28 / 30,,30,2021-05-20 22:06:41:563
0.588992,0.421392,10.039194,0.477395,0.411981,9.786356,0.043776,0.027423,0.01678,-13.86,-2.64,-42.36,95.7462,-2.3711,-2.8501,984.7075,55.855694,37.480854,174.5599,NaN,,0.0244,3.0,85.4569,28 / 30,,39,2021-05-20 22:06:41:572
0.512375,0.418998,9.976943,0.477395,0.411981,9.786356,0.049274,0.037808,0.013115,-13.86,-2.64,-42.36,95.7462,-2.3711,-2.8501,984.7075,55.855694,37.480854,174.5599,NaN,,0.0244,3.0,85.4569,28 / 30,,49,2021-05-20 22:06:41:582
0.512375,0.418998,9.976943,0.480882,0.420501,9.785823,0.052939,0.045749,0.01617,-14.1,-2.64,-42.24,95.7707,-2.4077,-2.7928,984.7075,55.855694,37.480854,174.5599,NaN,,0.0244,3.0,85.4569,28 / 30,,59,2021-05-20 22:06:41:592
0.509981,0.41421,9.830893,0.480882,0.420501,9.785823,0.048663,0.049414,0.028387,-14.1,-2.64,-42.24,95.7707,-2.4077,-2.7928,984.7075,55.855694,37.480854,174.5599,NaN,,0.0244,3.0,85.4569,28 / 30,,70,2021-05-20 22:06:41:603
0.517163,0.445335,9.735122,0.471817,0.430013,9.785851,0.040111,0.047582,0.03083,-13.74,-2.94,-42.42,95.7707,-2.4077,-2.7928,984.7075,55.855694,37.480854,174.5599,NaN,,0.0244,3.0,85.4569,28 / 30,,79,2021-05-20 22:06:41:612
0.612934,0.488432,9.70639,0.471817,0.430013,9.785851,0.030948,0.050025,0.020446,-13.74,-2.94,-42.42,95.7707,-2.4077,-2.7928,984.7075,55.855694,37.480854,174.5599,NaN,,0.0244,3.0,85.4569,28 / 30,,89,2021-05-20 22:06:41:622
0.574626,0.483644,9.670476,0.462315,0.437007,9.785994,0.024229,0.048803,0.011283,-13.86,-3.18,-43.02,95.2003,-2.5132,-2.7603,984.7129,55.855694,37.480854,174.5599,NaN,,0.0244,3.0,85.4569,28 / 30,,99,2021-05-20 22:06:41:632
0.574626,0.474066,9.794978,0.462315,0.437007,9.785994,0.027283,0.080568,-0.002767,-13.86,-3.18,-43.02,95.2003,-2.5132,-2.7603,984.7129,55.855694,37.480854,174.5599,NaN,,0.0244,3.0,85.4569,28 / 30,,109,2021-05-20 22:06:41:642
