ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),ATMOSPHERIC PRESSURE (hPa),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.861939,-2.47568,9.024022,0.486116,-0.85821,9.756924,-0.084505,-0.516858,-0.274602,-1958.7,-1930.8,1858.14,131.2071,4.6409,-2.362,984.9932,55.855835,37.485283,177.0575,NaN,,0.0,8.0,275.5635,23 / 23,,21,2021-05-20 21:42:20:479
-0.33041,-2.16203,9.670476,0.529446,-0.864352,9.754126,-0.044188,-0.245023,-0.29415,-1958.64,-1930.92,1857.78,131.2071,4.6409,-2.362,984.9932,55.855835,37.485283,177.0575,NaN,,0.0,8.0,275.5635,23 / 23,,32,2021-05-20 21:42:20:490
-0.33041,-2.16203,9.670476,0.529446,-0.864352,9.754126,-0.00998,0.064686,-0.278878,-1958.64,-1930.92,1857.78,131.2071,4.6409,-2.362,984.9961,55.855835,37.485283,177.0575,NaN,,0.0,8.0,275.5635,23 / 23,,42,2021-05-20 21:42:20:500
-0.002394,-1.654444,10.118205,0.533815,-0.866508,9.753696,0.026672,0.395164,-0.225122,-1959.06,-1930.38,1857.42,130.689,5.0566,-3.1069,984.9961,55.855835,37.485283,177.0575,NaN,,0.0,8.0,275.5635,23 / 23,,52,2021-05-20 21:42:20:510
0.184359,-1.101366,10.192428,0.494067,-0.863245,9.75608,0.058437,0.556432,-0.185416,-1959.24,-1930.5,1857.42,130.689,5.0566,-3.1069,984.9961,55.855835,37.485283,177.0575,NaN,,0.0,8.0,275.5635,23 / 23,,62,2021-05-20 21:42:20:520
0.299284,-0.6273,10.38397,0.494067,-0.863245,9.75608,0.098754,0.616297,-0.173809,-1959.24,-1930.5,1857.42,130.689,5.0566,-3.1069,984.9961,55.855835,37.485283,177.0575,NaN,,0.0,8.0,275.5635,23 / 23,,72,2021-05-20 21:42:20:530
0.05028,-0.160416,10.515655,0.380885,-0.846644,9.762608,0.15251,0.582089,-0.169533,-1959.6,-1930.62,1857.96,130.689,5.0566,-3.1069,984.9961,55.855835,37.485283,177.0575,NaN,,0.0,8.0,275.5635,23 / 23,,81,2021-05-20 21:42:20:539
-0.189148,-0.01676,10.59706,0.380885,-0.846644,9.762608,0.280181,0.574758,-0.171366,-1959.6,-1930.62,1857.96,130.689,5.0566,-3.1069,984.9961,55.855835,37.485283,177.0575,NaN,,0.0,8.0,275.5635,23 / 23,,92,2021-05-20 21:42:20:550
-0.189148,-0.01676,10.59706,0.271571,-0.801537,9.770065,0.37792,0.635234,-0.196411,-1958.94,-1930.74,1858.32,131.0882,4.9527,-2.2342,984.9961,55.855835,37.485283,177.0575,NaN,,0.0,8.0,275.5635,23 / 23,,101,2021-05-20 21:42:20:559
0.095771,-0.445335,10.374393,0.271571,-0.801537,9.770065,0.471382,0.613854,-0.277046,-1958.94,-1930.74,1858.32,131.0882,4.9527,-2.2342,984.9961,55.855835,37.485283,177.0575,NaN,,0.0,8.0,275.5635,23 / 23,,112,2021-05-20 21:42:20:570
0.299284,-1.465296,10.000886,0.152782,-0.717713,9.779158,0.584392,0.44892,-0.397386,-1957.8,-1930.68,1857.84,131.0882,4.9527,-2.2342,984.9961,55.855835,37.485283,177.0575,NaN,,0.0,8.0,275.5635,23 / 23,,122,2021-05-20 21:42:20:580
0.035914,-1.901054,9.921875,0.152782,-0.717713,9.779158,0.685185,0.290095,-0.457862,-1957.8,-1930.68,1857.84,131.0882,4.9527,-2.2342,984.9961,55.855835,37.485283,177.0575,NaN,,0.0,8.0,275.5635,23 / 23,,131,2021-05-20 21:42:20:589
0.035914,-1.901054,9.921875,0.078189,-0.597972,9.78809,0.796973,0.169144,-0.467025,-1957.44,-1930.98,1857.42,132.0664,4.197,-0.8951,984.9905,55.855835,37.485283,177.0575,NaN,,0.0,8.0,275.5635,23 / 23,,141,2021-05-20 21:42:20:599
-0.452518,-2.092596,10.166091,0.078189,-0.597972,9.78809,0.94969,0.057966,-0.376006,-1957.44,-1930.98,1857.42,132.0664,4.197,-0.8951,984.9905,55.855835,37.485283,177.0575,NaN,,0.0,8.0,275.5635,23 / 23,,151,2021-05-20 21:42:20:609
-0.993624,-2.006402,10.348056,0.054799,-0.436622,9.796772,1.067587,0.058577,-0.226955,-1957.26,-1931.16,1857.9,132.0664,4.197,-0.8951,984.9905,55.855835,37.485283,177.0575,NaN,,0.0,8.0,275.5635,23 / 23,,162,2021-05-20 21:42:20:620
-1.168406,-1.747821,10.046377,0.054799,-0.436622,9.796772,1.067587,0.058577,-0.226955,-1957.26,-1931.16,1857.9,132.0664,4.197,-0.8951,984.9905,55.855835,37.485283,177.0575,NaN,,0.0,8.0,275.5635,23 / 23,,172,2021-05-20 21:42:20:630
-0.418998,-0.007183,10.00328,0.042015,-0.227009,9.803932,1.190371,0.133103,-0.038197,-1957.74,-1931.7,1858.0198,133.1912,2.5518,-0.3205,984.9905,55.855835,37.485283,177.0575,NaN,,0.0,8.0,275.5635,23 / 23,,181,2021-05-20 21:42:20:639
-0.418998,-0.007183,10.00328,0.042015,-0.227009,9.803932,1.280779,0.207628,-0.032089,-1957.74,-1931.7,1858.0198,133.1912,2.5518,-0.3205,984.9905,55.855835,37.485283,177.0575,NaN,,0.0,8.0,275.5635,23 / 23,,191,2021-05-20 21:42:20:649
-0.181965,0.119714,10.08708,0.001927,0.018626,9.806632,1.311933,0.34996,-0.129827,-1957.26,-1933.14,1858.2,133.1912,2.5518,-0.3205,984.9905,55.855835,37.485283,177.0575,NaN,,0.0,8.0,275.5635,23 / 23,,201,2021-05-20 21:42:20:659
0.031126,-0.284919,8.976136,-0.040236,0.145529,9.805488,1.269783,0.503898,-0.24467,-1957.08,-1933.62,1858.2,133.1912,2.5518,-0.3205,984.9905,55.855835,37.485283,177.0575,NaN,,0.0,8.0,275.5635,23 / 23,,211,2021-05-20 21:42:20:669
0.031126,-0.284919,8.976136,-0.040236,0.145529,9.805488,1.157384,0.488626,-0.353404,-1957.08,-1933.62,1858.2,133.1912,2.5518,-0.3205,984.9905,55.855835,37.485283,177.0575,NaN,,0.0,8.0,275.5635,23 / 23,,221,2021-05-20 21:42:20:679
-0.5435,-0.162811,8.906702,-0.140105,0.370633,9.798642,0.857449,0.542993,-0.419988,-1956.72,-1934.82,1858.38,135.1922,-0.8503,0.2351,984.9905,55.855835,37.485283,177.0575,NaN,,0.0,8.0,275.5635,23 / 23,,231,2021-05-20 21:42:20:689
-1.297697,-0.019154,8.734315,-0.140105,0.370633,9.798642,0.463441,0.571704,-0.390667,-1956.72,-1934.82,1858.38,135.1922,-0.8503,0.2351,984.9939,55.855835,37.485283,177.0575,NaN,,0.0,8.0,275.5635,23 / 23,,241,2021-05-20 21:42:20:699
-1.884294,0.088588,8.564321,-0.255741,0.488579,9.791132,0.193438,0.386001,-0.286209,-1955.58,-1935.96,1858.92,135.1922,-0.8503,0.2351,984.9939,55.855835,37.485283,177.0575,NaN,,0.0,8.0,275.5635,23 / 23,,251,2021-05-20 21:42:20:709
-2.267378,0.131685,8.571504,-0.255741,0.488579,9.791132,0.019342,0.188081,-0.148764,-1955.58,-1935.96,1858.92,135.1922,-0.8503,0.2351,984.9939,55.855835,37.485283,177.0575,NaN,,0.0,8.0,275.5635,23 / 23,,261,2021-05-20 21:42:20:719
-2.116539,0.086194,8.806143,-0.315361,0.506348,9.78849,-0.05946,0.007875,-0.020482,-1955.04,-1936.74,1859.46,136.8037,-2.8557,1.4962,984.9939,55.855835,37.485283,177.0575,NaN,,0.0,8.0,275.5635,23 / 23,,272,2021-05-20 21:42:20:730
-2.116539,0.086194,8.806143,-0.315361,0.506348,9.78849,-0.075953,-0.108189,0.061985,-1955.04,-1936.74,1859.46,136.8037,-2.8557,1.4962,984.9939,55.855835,37.485283,177.0575,NaN,,0.0,8.0,275.5635,23 / 23,,281,2021-05-20 21:42:20:739
-1.640078,0.21309,9.454991,-0.307362,0.491704,9.789492,-0.050908,-0.111854,0.062595,-1954.8,-1936.56,1859.58,136.8037,-2.8557,1.4962,984.9939,55.855835,37.485283,177.0575,NaN,,0.0,8.0,275.5635,23 / 23,,291,2021-05-20 21:42:20:749
-0.94095,0.550683,10.058349,-0.307362,0.491704,9.789492,-0.014867,-0.027555,-0.013152,-1954.8,-1936.56,1859.58,136.8037,-2.8557,1.4962,984.9939,55.855835,37.485283,177.0575,NaN,,0.0,8.0,275.5635,23 / 23,,301,2021-05-20 21:42:20:759
-0.191542,0.641666,10.182851,-0.291949,0.483069,9.790393,-8.17E-4,0.087288,-0.145099,-1955.04,-1936.32,1859.28,136.9566,-2.874,1.7983,984.9939,55.855835,37.485283,177.0575,NaN,,0.0,8.0,275.5635,23 / 23,,311,2021-05-20 21:42:20:769
-0.191542,0.641666,10.182851,-0.291949,0.483069,9.790393,-0.06679,0.182583,-0.258109,-1955.04,-1936.32,1859.28,136.9566,-2.874,1.7983,984.9939,55.855835,37.485283,177.0575,NaN,,0.0,8.0,275.5635,23 / 23,,321,2021-05-20 21:42:20:779
-0.055068,0.114925,9.62259,-0.318249,0.478144,9.789815,-0.173692,0.158759,-0.292928,-1956.0,-1936.68,1858.86,136.9566,-2.874,1.7983,984.9939,55.855835,37.485283,177.0575,NaN,,0.0,8.0,275.5635,23 / 23,,331,2021-05-20 21:42:20:789
-0.294496,-0.253793,9.273026,-0.318249,0.478144,9.789815,-0.302584,0.072627,-0.262996,-1956.0,-1936.68,1858.86,136.9566,-2.874,1.7983,984.988,55.855835,37.485283,177.0575,NaN,,0.0,8.0,275.5635,23 / 23,,341,2021-05-20 21:42:20:799
-0.663214,-0.390267,9.483723,-0.349455,0.437958,9.790631,-0.415594,0.026201,-0.190914,-1956.36,-1936.44,1858.92,136.9396,-2.7947,1.8619,984.988,55.855835,37.48528,176.9591,NaN,,0.0,8.0,275.5635,22 / 23,,351,2021-05-20 21:42:20:809
