LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Speed ( m/s),Time since start in ms 
55.855846,37.484257,176.3944,0.7513,24
55.855846,37.484257,176.3944,0.7513,35
55.855846,37.484257,176.3944,0.7513,45
55.855846,37.484257,176.3944,0.7513,54
55.855846,37.484257,176.3944,0.7513,64
55.855846,37.484257,176.3944,0.7513,74
55.855846,37.484257,176.3944,0.7513,84
55.855846,37.484257,176.3944,0.7513,94
55.855846,37.484257,176.3944,0.7513,104
55.855846,37.484257,176.3944,0.7513,114
55.855846,37.484257,176.3944,0.7513,124
55.855846,37.484257,176.3944,0.7513,134
55.855846,37.484257,176.3944,0.7513,144
55.855846,37.484257,176.3944,0.7513,155
55.855846,37.484257,176.3944,0.7513,165
55.855846,37.484257,176.3944,0.7513,174
55.855846,37.484257,176.3944,0.7513,185
55.855846,37.484257,176.3944,0.7513,194
55.855846,37.484257,176.3944,0.7513,204
55.855846,37.484257,176.3944,0.7513,214
55.855846,37.484257,176.3944,0.7513,224
55.855846,37.484257,176.3944,0.7513,234
55.855846,37.484257,176.3944,0.7513,244
55.855846,37.484257,176.3944,0.7513,254
55.855846,37.484257,176.3944,0.7513,264
55.855846,37.484257,176.3944,0.7513,274
55.855846,37.484257,176.3944,0.7513,285
55.855846,37.484257,176.3944,0.7513,295
55.855846,37.484257,176.3944,0.7513,304
55.855846,37.484257,176.3944,0.7513,314
55.855846,37.484257,176.3944,0.7513,324
55.855846,37.484257,176.3944,0.7513,334
55.855846,37.484257,176.3944,0.7513,344
55.855846,37.484257,176.3944,0.7513,355
55.855846,37.484257,176.3944,0.7513,364
55.855846,37.484257,176.3944,0.7513,374
55.855846,37.484257,176.3944,0.7513,384
55.855846,37.484257,176.3944,0.7513,395
55.855846,37.484257,176.3944,0.7513,404
55.855846,37.484257,176.3944,0.7513,414
55.855846,37.484257,176.3944,0.7513,424
55.855846,37.484257,176.3944,0.7513,435
55.855846,37.484257,176.3944,0.7513,444
55.855846,37.484257,176.3944,0.7513,454
55.855846,37.484257,176.3944,0.7513,464
55.855846,37.484257,176.3944,0.7513,474
55.855846,37.484257,176.3944,0.7513,484
55.855846,37.484257,176.3944,0.7513,494
55.855846,37.484257,176.3944,0.7513,504
55.855846,37.484257,176.3944,0.7513,515
55.855846,37.484257,176.3944,0.7513,524
55.855846,37.484257,176.3944,0.7513,534
55.855846,37.484257,176.3944,0.7513,544
55.855846,37.484257,176.3944,0.7513,554
55.855846,37.484257,176.3944,0.7513,564
55.855846,37.484257,176.3944,0.7513,574
55.855846,37.484257,176.3944,0.7513,585
55.855846,37.484257,176.3944,0.7513,594
55.855846,37.484257,176.3944,0.7513,605
55.855846,37.484257,176.3944,0.7513,614
55.855846,37.48426,176.4263,0.0422,624
55.855846,37.48426,176.4263,0.0422,634
55.855846,37.48426,176.4263,0.0422,644
55.855846,37.48426,176.4263,0.0422,654
