ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Speed ( m/s),Time since start in ms 
-0.148445,0.002394,9.823709,-0.007464,0.002082,-0.002803,4.74,-2.22,-48.42,247.5995,-0.2146,0.6973,55.814037,37.500305,219.5765,0,37
-0.129291,-0.023943,9.833286,-0.000744,-0.000361,0.000251,4.56,-1.68,-47.58,247.5995,-0.2146,0.6973,55.814037,37.500305,219.5765,0,47
-0.129291,-0.023943,9.833286,0.003532,-0.001583,0.002695,4.56,-1.68,-47.58,247.5995,-0.2146,0.6973,55.814037,37.500305,219.5765,0,58
-0.126897,0.021548,9.850046,0.004143,-0.002194,-0.00036,5.16,-1.86,-48.24,247.7026,-0.2222,0.6888,55.814037,37.500305,219.5765,0,67
-0.126897,0.043097,9.792584,0.006586,0.001472,-0.000971,5.16,-1.86,-48.24,247.7026,-0.2222,0.6888,55.814037,37.500305,219.5765,0,78
-0.10056,0.071828,9.787795,0.001699,-0.002804,-0.00036,5.7,-2.76,-48.6,247.7026,-0.2222,0.6888,55.814037,37.500305,219.5765,0,88
-0.107742,0.076617,9.816526,-0.001355,-0.000972,-0.000971,5.7,-2.76,-48.6,247.7026,-0.2222,0.6888,55.814037,37.500305,219.5765,0,98
-0.107742,0.076617,9.816526,-0.000133,0.001472,-0.00036,5.7,-2.76,-48.6,247.7026,-0.2222,0.6888,55.814037,37.500305,219.5765,0,108
-0.129291,0.062251,9.814133,-0.002577,0.003915,-0.000971,5.52,-2.76,-48.42,242.4745,-0.2109,0.6953,55.814037,37.500305,219.5765,0,117
-0.122108,0.05028,9.816526,-0.003798,-0.000361,0.000862,5.28,-3.18,-48.12,242.4745,-0.2109,0.6953,55.814037,37.500305,219.5765,0,128
-0.122108,0.011971,9.799767,-0.003187,-0.000361,0.000251,5.28,-3.18,-48.12,242.4745,-0.2109,0.6953,55.814037,37.500305,219.5765,0,138
-0.105348,0.009577,9.814133,-0.001966,-0.000361,-0.00036,5.16,-2.88,-47.58,237.4841,-0.2206,0.6969,55.814037,37.500305,219.5765,0,147
-0.105348,0.009577,9.814133,-0.001966,-0.000361,-0.00036,5.16,-2.88,-47.58,237.4841,-0.2206,0.6969,55.814037,37.500305,219.5765,0,158
-0.114925,0.03352,9.821315,0.001089,-0.004026,-0.001582,5.52,-2.46,-47.58,237.4841,-0.2206,0.6969,55.814037,37.500305,219.5765,0,167
-0.124502,0.03352,9.80695,0.002921,-0.000361,0.001473,5.52,-2.46,-47.58,237.4841,-0.2206,0.6969,55.814037,37.500305,219.5765,0,178
-0.110137,0.057463,9.821315,0.003532,0.001472,0.002084,5.34,-2.76,-48,237.4755,-0.2183,0.6949,55.814037,37.500305,219.5765,0,188
-0.129291,0.0838,9.80695,0.00231,-0.001583,0.000251,5.34,-2.76,-48,237.4755,-0.2183,0.6949,55.814037,37.500305,219.5765,0,197
-0.129291,0.0838,9.80695,-0.000133,-0.002194,0.000862,5.28,-2.7,-49.02,237.4755,-0.2183,0.6949,55.814037,37.500305,219.5765,0,208
-0.117319,0.06704,9.811738,-0.000744,0.00025,-0.00036,5.28,-2.7,-49.02,237.4755,-0.2183,0.6949,55.814037,37.500305,219.5765,0,217
-0.117319,0.045491,9.818921,-0.004409,-0.002804,-0.001582,5.28,-2.7,-49.02,237.4755,-0.2183,0.6949,55.814037,37.500305,219.5765,0,228
