Keuwl Accelerometer Data File
2021-04-25 21-53-59

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,0.385478,1.393468,9.213169,9.325923,8.918591,74.536835
0.0019998,0.428575,1.403045,9.170073,9.286681,9.089256,73.014145
0.0039995,0.447729,1.405439,9.155706,9.273763,9.151994,72.329735
0.0059993,0.471672,1.415016,9.179649,9.300038,9.229075,71.565048
0.0079991,0.488432,1.417411,9.213169,9.334351,9.242395,70.986328
0.0099989,0.500403,1.410228,9.313729,9.433170,9.127355,70.463348
0.0119987,0.517163,1.395862,9.402317,9.519425,8.996476,69.670464
0.0139984,0.509981,1.395862,9.443020,9.559243,8.943624,69.930138
0.0159982,0.488432,1.374314,9.510059,9.621254,8.719316,70.434753
0.0179980,0.430969,1.347977,9.567522,9.671621,8.413982,72.270096
0.0199977,0.399844,1.319245,9.603436,9.701870,8.168636,73.138718
0.0219975,0.342381,1.245023,9.677659,9.763421,7.599799,74.623749
0.0239973,0.311256,1.211503,9.730332,9.810402,7.325283,75.591362
0.0259971,0.260976,1.118126,9.857229,9.923875,6.643961,76.862099
0.0279968,0.239427,1.041510,9.984126,10.041158,6.109552,77.053490
0.0299965,0.241822,1.027144,10.063137,10.118312,5.986218,76.752037
0.0319963,0.246610,1.024750,10.182851,10.237255,5.909561,76.468834
0.0339960,0.270553,1.058270,10.288198,10.346022,6.060454,75.659157
0.0359957,0.287313,1.087001,10.331296,10.392295,6.210914,75.194336
0.0379955,0.316044,1.144463,10.379181,10.446869,6.525822,74.562477
0.0399953,0.330410,1.168406,10.386364,10.457098,6.667945,74.209793
0.0419950,0.366324,1.201926,10.410307,10.485863,6.882249,73.049782
0.0439947,0.378295,1.204320,10.407912,10.484185,6.915429,72.561699
0.0459945,0.385478,1.216292,10.395941,10.473946,6.997034,72.415070
0.0479942,0.416604,1.211503,10.403124,10.481711,7.020544,71.023262
0.0499939,0.462095,1.211503,10.383970,10.464612,7.117641,69.122002
0.0519937,0.481249,1.216292,10.371999,10.454154,7.187800,68.412811
0.0539935,0.531529,1.218686,10.340873,10.425995,7.326488,66.435608
0.0559932,0.550683,1.213897,10.319324,10.405059,7.360234,65.598633
0.0579929,0.562655,1.206715,10.312141,10.397740,7.357008,65.001778
0.0599927,0.593780,1.233052,10.283410,10.374079,7.580692,64.286705
