Keuwl Accelerometer Data File
2021-04-25 17-52-10

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,0.270553,0.713494,10.096657,10.125451,4.322006,69.233543
0.0020000,0.272947,0.706311,10.039194,10.067710,4.313387,68.871437
0.0040000,0.256187,0.660820,9.931452,9.956709,4.081927,68.809624
0.0060000,0.249005,0.646454,9.881172,9.905426,4.010344,68.934052
0.0080000,0.237033,0.617723,9.790190,9.812522,3.866296,69.007149
0.0100000,0.258582,0.598569,9.742304,9.764099,3.828992,66.635658
0.0120000,0.268159,0.596174,9.725544,9.747489,3.845373,65.781822
0.0140000,0.253793,0.632089,9.715967,9.739813,4.010099,68.123795
0.0160000,0.249005,0.658426,9.727939,9.753375,4.138863,69.284294
0.0180000,0.237033,0.701523,9.735122,9.763243,4.349696,71.330711
0.0200000,0.220273,0.725465,9.742304,9.771761,4.449946,73.110115
0.0219999,0.205908,0.742225,9.751882,9.782254,4.516182,74.494957
0.0239999,0.198725,0.763774,9.768641,9.800469,4.618891,75.415688
0.0259999,0.193936,0.794899,9.790190,9.824322,4.777416,76.289063
0.0279999,0.189148,0.792505,9.794978,9.828807,4.755057,76.576302
0.0299999,0.172388,0.785322,9.811738,9.844625,4.684625,77.619247
0.0319999,0.158022,0.794899,9.823709,9.857084,4.716215,78.756462
0.0339999,0.146051,0.799688,9.838076,9.871604,4.723602,79.649872
0.0360000,0.136474,0.790111,9.857229,9.889786,4.650337,80.200150
0.0380000,0.107742,0.770957,9.838076,9.868825,4.524156,82.044350
0.0400000,0.098165,0.749408,9.823709,9.852742,4.399572,82.537292
0.0420000,0.095771,0.727860,9.802161,9.829615,4.283223,82.504143
0.0440000,0.095771,0.718282,9.792584,9.819359,4.232071,82.405357
0.0460000,0.071828,0.718282,9.756670,9.783338,4.231423,84.289406
0.0480000,0.083800,0.713494,9.727939,9.754429,4.223548,83.301323
0.0500000,0.081405,0.701523,9.713573,9.739212,4.158406,83.380943
0.0520000,0.083800,0.696734,9.696813,9.722173,4.139288,83.141701
0.0540000,0.067040,0.691945,9.692024,9.716925,4.102696,84.466125
0.0560000,0.062251,0.699128,9.699207,9.724570,4.139004,84.911743
0.0580000,0.083800,0.711100,9.699207,9.725601,4.222110,83.278969
0.0600000,0.083800,0.723071,9.701602,9.728871,4.290853,83.389252
0.0620000,0.086194,0.751802,9.701602,9.731070,4.460059,83.459618
0.0640000,0.081405,0.770957,9.708784,9.739686,4.565316,83.972473
0.0660000,0.083800,0.766168,9.715967,9.746490,4.535614,83.758087
0.0680000,0.088588,0.775745,9.737515,9.768768,4.584369,83.485184
0.0700000,0.079011,0.799688,9.739910,9.773004,4.716464,84.357353
0.0720000,0.069434,0.818842,9.756670,9.791217,4.814505,85.153183
0.0740001,0.033520,0.828419,9.766247,9.801376,4.852441,87.682938
0.0760001,0.023943,0.821236,9.763853,9.798358,4.809824,88.330040
0.0780001,0.023943,0.849968,9.766247,9.803193,4.975947,88.386459
0.0800002,0.023943,0.859545,9.761458,9.799258,5.034155,88.404427
0.0820002,0.023943,0.866727,9.756670,9.795121,5.078444,88.417648
0.0840002,0.035914,0.864333,9.761458,9.799716,5.064421,87.620659
0.0860002,0.057463,0.854756,9.761458,9.798979,5.015556,86.153969
0.0880001,0.069434,0.840390,9.766247,9.802584,4.934870,85.276886
0.0900001,0.059857,0.826025,9.778218,9.813229,4.841286,85.855377
0.0920001,0.074223,0.802082,9.792584,9.825658,4.702405,84.713058
0.0940000,0.086194,0.799688,9.802161,9.835105,4.690893,83.848160
0.0960000,0.117319,0.797293,9.833286,9.866254,4.685169,81.629158
0.0980000,0.122108,0.794899,9.850046,9.882823,4.667659,81.266808
0.1000000,0.114925,0.799688,9.847652,9.880737,4.690058,81.821869
0.1020000,0.119714,0.818842,9.826104,9.860890,4.814057,81.682350
0.1040000,0.124502,0.816448,9.809344,9.844050,4.812633,81.329613
0.1060000,0.124502,0.835602,9.771035,9.807490,4.941654,81.525436
0.1080000,0.102954,0.837996,9.771035,9.807445,4.938560,82.995903
0.1100000,0.090982,0.828419,9.756670,9.792199,4.882266,83.732521
0.1120000,0.093377,0.845179,9.723150,9.760261,4.997947,83.695442
0.1140000,0.090982,0.854756,9.723150,9.761072,5.052142,83.924164
0.1160001,0.081405,0.842785,9.744699,9.781414,4.965897,84.482864
0.1180001,0.069434,0.852362,9.759064,9.796462,5.008051,85.342934
0.1200001,0.074223,0.861939,9.768641,9.806875,5.061015,85.078339
0.1220002,0.086194,0.897853,9.756670,9.798274,5.281828,84.516411
0.1240002,0.102954,0.890670,9.751882,9.793013,5.253110,83.406364
0.1260002,0.105348,0.885882,9.749487,9.790218,5.228247,83.218292
0.1280003,0.124502,0.900247,9.775824,9.817977,5.311277,82.126060
0.1300002,0.160416,0.900247,9.768641,9.811347,5.347787,79.896423
0.1320002,0.160416,0.893064,9.751882,9.794003,5.315739,79.816856
0.1340002,0.153234,0.900247,9.751882,9.794545,5.349729,80.340103
0.1360002,0.155628,0.888276,9.756670,9.798259,5.280864,80.062515
0.1380001,0.169994,0.854756,9.790190,9.828902,5.086886,78.751808
0.1400001,0.167599,0.842785,9.806950,9.844523,5.007503,78.752686
0.1420000,0.177176,0.833208,9.821315,9.858187,4.957052,77.995224
0.1440000,0.162811,0.814053,9.838076,9.873040,4.823408,78.690071
0.1460000,0.172388,0.792505,9.854836,9.888153,4.704779,77.728043
0.1480000,0.172388,0.780534,9.859624,9.891973,4.634937,77.545654
0.1500000,0.184359,0.770957,9.897932,9.929624,4.578854,76.551384
0.1520000,0.189148,0.763774,9.917087,9.948253,4.536478,76.090614
0.1540000,0.198725,0.775745,9.938635,9.970844,4.606576,75.631371
0.1560000,0.210696,0.766168,9.950606,9.982283,4.565659,74.623749
0.1580000,0.227456,0.756591,9.955395,9.986694,4.537428,73.267494
0.1600000,0.241822,0.751802,9.967366,9.998604,4.530213,72.169296
0.1620000,0.246610,0.739831,9.962578,9.993054,4.475928,71.565048
0.1640000,0.246610,0.742225,9.962578,9.993232,4.488906,71.620514
0.1660000,0.268159,0.763774,9.955395,9.988251,4.648567,70.653969
