Keuwl Accelerometer Data File
2021-04-23 02-18-31

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
0.0000000,0.015376,0.044176,0.982360,0.983473,2.726060,70.808716
0.0019998,0.013179,0.043932,0.983337,0.984406,2.670491,73.300758
0.0039995,0.009519,0.045884,0.990903,0.992010,2.707615,78.280403
0.0059993,0.008298,0.047104,0.996516,0.997663,2.747944,80.008957
0.0079990,0.008054,0.047104,0.999445,1.000587,2.737525,80.297142
0.0099987,0.009763,0.049301,1.004570,1.005827,2.864164,78.799202
0.0119985,0.009519,0.050033,1.007499,1.008786,2.893944,79.228546
0.0139982,0.009763,0.047104,1.013601,1.014742,2.717286,78.291000
0.0159979,0.009763,0.045396,1.018726,1.019784,2.609846,77.863174
0.0179977,0.009274,0.043444,1.020190,1.021157,2.493400,77.949219
0.0199975,0.009763,0.041979,1.019214,1.020125,2.421477,76.908104
0.0219972,0.007078,0.040271,1.015797,1.016620,2.304947,80.031647
0.0239969,0.005125,0.040759,1.012380,1.013214,2.323721,82.832764
0.0259967,0.001220,0.041735,1.008963,1.009827,2.369677,88.325165
0.0279964,0.000000,0.043199,1.006279,1.007206,2.458219,90.000000
0.0299961,-0.003173,0.045152,0.999689,1.000713,2.592387,94.019585
0.0319959,-0.006590,0.046128,0.994808,0.995898,2.681683,98.130104
0.0339957,-0.010007,0.046128,0.992123,0.993245,2.723833,102.239601
0.0359954,-0.010495,0.046860,0.990659,0.991822,2.775163,102.623566
0.0379951,-0.010251,0.048569,0.986510,0.987758,2.880588,101.917679
0.0399949,-0.009030,0.048569,0.985045,0.986283,2.871058,100.532715
0.0419946,-0.005858,0.049057,0.983825,0.985065,2.874874,96.809052
0.0439943,-0.003417,0.048569,0.984069,0.985273,2.832551,94.024231
0.0459941,0.001220,0.049545,0.986021,0.987266,2.877392,88.589058
0.0479939,0.005369,0.050033,0.986021,0.987305,2.921479,83.874626
0.0499937,0.007810,0.050277,0.986754,0.988064,2.951743,81.170258
0.0519934,0.011959,0.051986,0.988218,0.989657,3.089778,77.044685
0.0539931,0.014888,0.052474,0.987242,0.988747,3.162360,74.160248
0.0559929,0.016352,0.052474,0.987486,0.989014,3.185736,72.691505
