ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),ATMOSPHERIC PRESSURE (hPa),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.122108,0.409421,9.953,4.058279,2.804698,8.475516,-0.104709,-0.030098,0.017123,6.36,4.68,-42.54,302.2681,-16.6186,-25.5862,994.2422,,,,NaN,,,,,0 / 10,,26,2021-05-16 17:47:49:489
0.122108,0.409421,9.953,4.058279,2.804698,8.475516,-0.108374,-0.021546,0.020788,6.36,4.68,-42.54,302.2681,-16.6186,-25.5862,994.2422,,,,NaN,,,,,0 / 10,,36,2021-05-16 17:47:49:499
0.090982,0.337593,10.00328,4.057621,2.782761,8.48306,-0.097379,-0.020935,0.026286,5.52,4.5,-42.06,302.2681,-16.6186,-25.5862,994.2397,,,,NaN,,,,,0 / 10,,45,2021-05-16 17:47:49:508
0.026337,0.342381,9.93624,4.057621,2.782761,8.48306,-0.070501,-0.028876,0.033616,5.52,4.5,-42.06,302.2681,-16.6186,-25.5862,994.2397,,,,NaN,,,,,0 / 10,,56,2021-05-16 17:47:49:519
0.05028,0.390267,9.943423,4.055496,2.760218,8.491437,-0.027129,-0.033152,0.034838,5.46,4.62,-42.12,303.3089,-16.3476,-25.5291,994.2397,,,,NaN,,,,,0 / 10,,66,2021-05-16 17:47:49:529
0.0838,0.533923,9.850046,4.055496,2.760218,8.491437,0.015631,-0.033763,0.033616,5.46,4.62,-42.12,303.3089,-16.3476,-25.5291,994.2397,,,,NaN,,,,,0 / 10,,76,2021-05-16 17:47:49:539
0.06704,0.553077,9.684841,4.05555,2.748445,8.495229,0.026016,-0.03132,0.027507,5.82,4.74,-42.66,303.3089,-16.3476,-25.5291,994.2397,,,,NaN,,,,,0 / 10,,86,2021-05-16 17:47:49:549
0.06704,0.553077,9.684841,4.05555,2.748445,8.495229,0.016242,-0.031931,0.033616,5.82,4.74,-42.66,303.3089,-16.3476,-25.5291,994.2397,,,,NaN,,,,,0 / 10,,95,2021-05-16 17:47:49:558
0.093377,0.5435,9.586677,4.054946,2.745765,8.496382,-8.62E-4,-0.049646,0.040335,6.3,4.44,-41.76,300.2893,-16.2596,-25.5131,994.2397,,,,NaN,,,,,0 / 10,,106,2021-05-16 17:47:49:569
0.215485,0.591386,9.699207,4.054946,2.745765,8.496382,-0.011247,-0.061863,0.040946,6.3,4.44,-41.76,300.2893,-16.2596,-25.5131,994.2397,,,,NaN,,,,,0 / 10,,115,2021-05-16 17:47:49:578
0.308861,0.675186,9.850046,4.057819,2.738514,8.497352,-0.001473,-0.067972,0.025064,6.0,4.14,-41.22,300.2893,-16.2596,-25.5131,994.2397,,,,NaN,,,,,0 / 10,,126,2021-05-16 17:47:49:589
0.308861,0.675186,9.850046,4.057819,2.738514,8.497352,0.019907,-0.07408,0.025675,6.0,4.14,-41.22,300.2893,-16.2596,-25.5131,994.2397,,,,NaN,,,,,0 / 10,,136,2021-05-16 17:47:49:599
0.28013,0.718282,9.943423,4.063395,2.73185,8.496833,0.046175,-0.06675,0.029951,6.12,4.2,-41.22,300.1611,-16.1749,-25.5583,994.2397,,,,NaN,,,,,0 / 10,,145,2021-05-16 17:47:49:608
0.217879,0.715888,10.024829,4.063395,2.73185,8.496833,0.075496,-0.055143,0.037892,6.12,4.2,-41.22,300.1611,-16.1749,-25.5583,994.2397,,,,NaN,,,,,0 / 10,,156,2021-05-16 17:47:49:619
0.172388,0.615329,10.077502,4.070155,2.73238,8.493424,0.105429,-0.040483,0.042168,6.06,4.8,-42.12,300.1611,-16.1749,-25.5583,994.2397,,,,NaN,,,,,0 / 10,,166,2021-05-16 17:47:49:629
0.172388,0.615329,10.077502,4.070155,2.73238,8.493424,0.119479,-0.022768,0.046444,6.06,4.8,-42.12,300.1611,-16.1749,-25.5583,994.2397,,,,NaN,,,,,0 / 10,,176,2021-05-16 17:47:49:639
