ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Speed ( m/s),Time since start in ms 
0.304073,0.90743,9.818921,-0.01369,-0.037428,-0.035412,-11.04,-23.4,-39.72,152.5659,-5.1257,-1.3924,55.85471,37.46927,186.1261,0.1032,26
0.304073,0.90743,9.818921,-0.01369,-0.037428,-0.035412,-10.74,-23.52,-39.54,152.5659,-5.1257,-1.3924,55.85471,37.46927,186.1261,0.1032,36
0.201119,0.871516,9.737515,-0.000251,-0.04537,-0.047629,-10.74,-23.52,-39.54,152.5659,-5.1257,-1.3924,55.85471,37.46927,186.1261,0.1032,46
0.167599,0.876305,9.77343,-0.005138,-0.058198,-0.054349,-11.22,-22.8,-38.76,152.7584,-5.069,-1.4509,55.85471,37.46927,186.1261,0.1032,56
0.167599,0.876305,9.77343,-0.025907,-0.041094,-0.054349,-11.22,-22.8,-38.76,152.7584,-5.069,-1.4509,55.85471,37.46927,186.1261,0.1032,67
0.112531,0.835602,9.850046,-0.038125,-0.034985,-0.052516,-10.86,-22.98,-38.58,152.7584,-5.069,-1.4509,55.85471,37.46927,186.1261,0.1032,76
0.107742,0.751802,9.981731,-0.047899,-0.012383,-0.035412,-10.86,-22.98,-38.58,152.7584,-5.069,-1.4509,55.85471,37.46927,186.1261,0.1032,87
0.193936,0.658426,10.048771,-0.055229,0.000445,-0.02014,-10.56,-23.16,-38.7,152.9296,-5.0443,-1.5458,55.85471,37.46927,186.1261,0.1032,96
0.253793,0.639271,10.180456,-0.046066,0.01755,-0.004258,-10.56,-23.16,-38.7,152.9296,-5.0443,-1.5458,55.85471,37.46927,186.1261,0.1032,106
0.253793,0.639271,10.180456,-0.016134,0.042595,0.009792,-10.98,-22.62,-39.3,152.9296,-5.0443,-1.5458,55.854706,37.469345,176.2834,0,116
