ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),Time since start in ms 
0.148445,0.102954,9.771035,-0.019652,0.027432,-0.003914,141.36,-18.6,142.08,261.5385,-0.6755,-0.7576,55.81396,37.500267,210.3566,28
0.114925,0.081405,9.845258,-0.008656,0.018879,-0.002082,141.36,-18.6,142.08,261.5385,-0.6755,-0.7576,55.81396,37.500267,210.3566,38
0.117319,0.052674,9.842864,0.006005,0.003608,-0.006969,141.48,-18.3,142.2,261.5385,-0.6755,-0.7576,55.81396,37.500267,210.3566,49
0.136474,0.098165,9.905115,0.021276,-0.006777,-0.006358,141.48,-18.3,142.2,261.5385,-0.6755,-0.7576,55.81396,37.500267,210.3566,58
0.136474,0.098165,9.905115,0.021276,-0.006777,-0.006358,141.48,-17.94,142.2,261.9732,-0.6591,-0.6621,55.81396,37.500267,210.3566,67
0.126897,0.112531,9.780613,0.023109,-0.010442,-0.009412,141.48,-17.94,142.2,261.9732,-0.6591,-0.6621,55.81396,37.500267,210.3566,77
0.134079,0.112531,9.699207,0.019444,-0.009831,-0.006969,141.24,-17.88,142.08,261.9732,-0.6591,-0.6621,55.81396,37.500267,210.3566,88
0.131685,0.117319,9.711179,-0.001326,-0.00189,-0.002082,141.24,-17.88,142.08,261.9732,-0.6591,-0.6621,55.81396,37.500267,210.3566,98
0.136474,0.117319,9.80695,-0.011099,0.001775,0.002194,141.12,-18.6,141.9,261.5788,-0.6495,-0.6699,55.81396,37.500267,210.3566,108
0.136474,0.117319,9.80695,-0.013543,0.006662,0.001583,141.12,-18.6,141.9,261.5788,-0.6495,-0.6699,55.81396,37.500267,210.3566,118
0.114925,0.119714,9.809344,-0.006823,0.007884,0.000362,141.48,-18.6,142.14,261.5788,-0.6495,-0.6699,55.81396,37.500267,210.3566,128
0.098165,0.155628,9.747093,-0.001936,0.000553,0.000362,141.48,-18.6,142.14,261.5788,-0.6495,-0.6699,55.81396,37.500267,210.3566,137
0.126897,0.143657,9.70639,-0.006823,-0.004333,-0.003914,141.54,-18.3,142.44,262.0586,-0.6289,-0.6699,55.81396,37.500267,210.3566,148
0.126897,0.143657,9.70639,-0.012932,-0.009831,-0.00758,141.54,-18.3,142.44,262.0586,-0.6289,-0.6699,55.81396,37.500267,210.3566,158
0.090982,0.114925,9.749487,-0.020873,-0.00922,-0.005747,141.3,-18.42,142.44,262.0586,-0.6289,-0.6699,55.81396,37.500267,210.3566,168
0.110137,0.079011,9.888355,-0.026982,-0.004944,-0.004525,141.3,-18.42,142.44,262.0586,-0.6289,-0.6699,55.81396,37.500267,210.3566,178
0.134079,0.047885,9.948212,-0.023317,-5.7E-05,-0.002082,140.94,-18.24,142.68,261.9891,-0.6355,-0.6799,55.81396,37.500267,210.3566,188
0.134079,0.047885,9.948212,-0.009878,-0.003112,0.001583,141,-18.36,142.68,261.9891,-0.6355,-0.6799,55.81396,37.500267,210.3566,198
0.098165,0.074223,9.96976,0.006616,-0.011664,0.003416,141,-18.36,142.68,261.9891,-0.6355,-0.6799,55.81396,37.500267,210.3566,208
0.119714,0.117319,9.907509,0.020666,-0.024492,0.002194,141.36,-18,142.62,261.9891,-0.6355,-0.6799,55.81396,37.500267,210.3566,219
0.126897,0.165205,9.818921,0.028607,-0.030601,-0.000249,141.36,-18,142.62,261.9891,-0.6355,-0.6799,55.81396,37.500267,210.3566,228
0.148445,0.158022,9.694419,0.019444,-0.026325,-0.003304,141.9,-17.58,141.84,262.0911,-0.5944,-0.6844,55.81396,37.500267,210.3566,238
0.148445,0.158022,9.694419,-0.000104,-0.012275,-0.004525,141.9,-17.58,141.84,262.0911,-0.5944,-0.6844,55.81396,37.500267,210.3566,248
0.117319,0.150839,9.730332,-0.013543,-0.000668,-0.005747,141.3,-17.7,141.6,262.0911,-0.5944,-0.6844,55.81396,37.500267,210.3566,259
