ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),ATMOSPHERIC PRESSURE (hPa),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.009577,0.24661,9.895537,0.069683,0.268952,9.802714,-0.034312,0.04026,0.015633,135.72,-36.72,149.34,253.0976,-1.4973,-0.521,1002.8914,55.814,37.500267,207.832,NaN,,0.0,6.0,,20 / 25,,7,2021-05-11 18:52:31:598
0.122108,0.268159,9.991309,0.049074,0.262361,9.803018,-0.02576,0.015825,0.008303,135.54,-36.36,149.4,253.4497,-1.5716,-0.4073,1002.8914,55.814,37.500267,207.832,NaN,,0.0,6.0,,20 / 25,,18,2021-05-11 18:52:31:609
0.122108,0.268159,9.991309,0.049074,0.262361,9.803018,-0.013543,-0.003723,0.002805,135.54,-36.36,149.4,253.4497,-1.5716,-0.4073,1002.8914,55.814,37.500267,207.832,NaN,,0.0,6.0,,20 / 25,,28,2021-05-11 18:52:31:619
0.150839,0.308861,9.941029,0.045386,0.261814,9.803049,0.019444,-0.014718,-0.009412,135.84,-36.42,148.86,253.4497,-1.5716,-0.4073,1002.8914,55.814,37.500267,207.832,NaN,,0.0,6.0,,20 / 25,,38,2021-05-11 18:52:31:629
0.119714,0.337593,9.809344,0.045386,0.261814,9.803049,0.027385,-0.015329,-0.00819,135.84,-36.42,148.86,253.4497,-1.5716,-0.4073,1002.8887,55.814,37.500267,207.832,NaN,,0.0,6.0,,20 / 25,,48,2021-05-11 18:52:31:639
0.023943,0.294496,9.670476,0.050076,0.270288,9.802797,0.018222,-0.003723,-0.005747,136.08,-36.66,148.74,253.1498,-1.5298,-0.2653,1002.8887,55.814,37.500267,207.832,NaN,,0.0,6.0,,20 / 25,,58,2021-05-11 18:52:31:649
0.023943,0.294496,9.670476,0.050076,0.270288,9.802797,0.018222,-0.003723,-0.005747,136.08,-36.66,148.74,253.1498,-1.5298,-0.2653,1002.8887,55.814,37.500267,207.832,NaN,,0.0,6.0,,20 / 25,,68,2021-05-11 18:52:31:659
-0.009577,0.241822,9.703996,0.051562,0.273167,9.80271,-0.004991,-0.006166,3.62E-4,135.72,-36.78,148.74,253.1498,-1.5298,-0.2653,1002.8887,55.814,37.500267,207.832,NaN,,0.0,6.0,,20 / 25,,78,2021-05-11 18:52:31:669
0.031126,0.186753,9.833286,0.049729,0.271125,9.802775,-0.01843,0.015214,0.007692,135.54,-37.08,149.16,253.1498,-1.5298,-0.2653,1002.8887,55.814,37.500267,207.832,NaN,,0.0,6.0,,20 / 25,,89,2021-05-11 18:52:31:680
0.045491,0.189148,9.876384,0.049729,0.271125,9.802775,-0.011099,0.015214,0.005859,135.54,-37.08,149.16,253.1498,-1.5298,-0.2653,1002.8887,55.814,37.500267,207.832,NaN,,0.0,6.0,,20 / 25,,97,2021-05-11 18:52:31:688
0.047885,0.172388,9.900327,0.045487,0.265316,9.802955,5.07E-4,0.007884,0.005859,136.26,-37.32,148.74,253.0866,-1.5843,-0.2907,1002.8887,55.814,37.500267,207.832,NaN,,0.0,6.0,,20 / 25,,108,2021-05-11 18:52:31:699
0.047885,0.172388,9.900327,0.045487,0.265316,9.802955,5.07E-4,0.007884,0.005859,136.26,-37.32,148.74,253.0866,-1.5843,-0.2907,1002.8887,55.814,37.500267,207.832,NaN,,0.0,6.0,,20 / 25,,118,2021-05-11 18:52:31:709
0.047885,0.172388,9.900327,0.045487,0.265316,9.802955,5.07E-4,0.007884,0.005859,136.26,-37.32,148.74,253.0866,-1.5843,-0.2907,1002.8887,55.814,37.500267,207.832,NaN,,0.0,6.0,,20 / 25,,128,2021-05-11 18:52:31:719
0.062251,0.172388,9.900327,0.044506,0.2624,9.803039,0.007837,0.009106,0.004638,136.8,-37.2,148.44,253.0866,-1.5843,-0.2907,1002.8887,55.814,37.500267,207.832,NaN,,0.0,6.0,,20 / 25,,138,2021-05-11 18:52:31:729
0.093377,0.28013,9.658504,0.046873,0.261407,9.803053,0.018833,-0.004944,-0.002082,136.92,-35.82,148.38,253.6617,-1.5333,-0.2601,1002.8887,55.814,37.500267,207.832,NaN,,0.0,6.0,,20 / 25,,148,2021-05-11 18:52:31:739
0.093377,0.28013,9.658504,0.046873,0.261407,9.803053,0.018833,-0.004944,-0.002082,136.92,-35.82,148.38,253.6617,-1.5333,-0.2601,1002.8887,55.814,37.500267,207.832,NaN,,0.0,6.0,,20 / 25,,158,2021-05-11 18:52:31:749
