ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.090982,-0.069434,9.732727,0.085544,-0.037312,9.806206,8.52E-4,-0.001709,-6.64E-4,2.22,-17.58,-23.94,186.9612,0.2182,-0.4989,55.81396,37.50024,211.491,NaN,0.0,6.0,,20 / 24,,33,2021-05-01 19:30:38:752
0.069434,-0.021548,9.732727,0.085667,-0.036498,9.806208,2.41E-4,-0.002319,-0.002497,2.64,-17.7,-24.66,186.9612,0.2182,-0.4989,55.81396,37.50024,211.491,NaN,0.0,6.0,,20 / 24,,42,2021-05-01 19:30:38:761
0.095771,-0.057463,9.797373,0.085667,-0.036498,9.806208,-9.8E-4,-0.003541,-5.3E-5,2.64,-17.7,-24.66,186.9612,0.2182,-0.4989,55.81396,37.50024,211.491,NaN,0.0,6.0,,20 / 24,,52,2021-05-01 19:30:38:771
0.095771,-0.057463,9.797373,0.086054,-0.03621,9.806206,-9.8E-4,7.35E-4,0.001779,3.12,-17.64,-24.6,190.0861,0.2132,-0.5005,55.81396,37.50024,211.491,NaN,0.0,6.0,,20 / 24,,62,2021-05-01 19:30:38:781
0.088588,-0.026337,9.75667,0.086054,-0.03621,9.806206,-3.7E-4,1.24E-4,-5.3E-5,3.12,-17.64,-24.6,190.0861,0.2132,-0.5005,55.81396,37.50024,211.491,NaN,0.0,6.0,,20 / 24,,73,2021-05-01 19:30:38:792
0.0838,-0.021548,9.742304,0.085589,-0.03675,9.806208,-9.8E-4,1.24E-4,-6.64E-4,3.6,-17.88,-24.36,190.0861,0.2132,-0.5005,55.81396,37.50024,211.491,NaN,0.0,6.0,,20 / 24,,82,2021-05-01 19:30:38:801
0.0838,-0.021548,9.742304,0.085589,-0.03675,9.806208,-3.7E-4,-0.001098,-0.002497,3.6,-17.88,-24.36,190.0861,0.2132,-0.5005,55.81396,37.50024,211.491,NaN,0.0,6.0,,20 / 24,,92,2021-05-01 19:30:38:811
0.095771,-0.026337,9.759064,0.08569,-0.036875,9.806207,-0.002813,-0.002319,-0.001886,3.72,-18.0,-24.42,193.0991,0.2147,-0.5001,55.81396,37.50024,211.491,NaN,0.0,6.0,,18 / 23,,102,2021-05-01 19:30:38:821
0.095771,-0.026337,9.759064,0.08569,-0.036875,9.806207,-0.002813,-0.002319,-0.001886,3.72,-18.0,-24.42,193.0991,0.2147,-0.5001,55.81396,37.50024,211.491,NaN,0.0,6.0,,18 / 23,,112,2021-05-01 19:30:38:831
0.098165,-0.040703,9.761458,0.085308,-0.03703,9.806209,-0.001591,7.35E-4,-5.3E-5,3.72,-18.06,-24.42,193.0991,0.2147,-0.5001,55.81396,37.50024,211.491,NaN,0.0,6.0,,18 / 23,,123,2021-05-01 19:30:38:842
