ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.013796,0.04728,9.73886,9.63E-4,-5.93E-4,9.80665,6.29E-4,1.25E-4,0.001448,1.56,-15.12,-24.78,189.0586,0.1633,-0.9238,55.813847,37.500088,187.5595,NaN,0.0925,8.0,28.1794,12 / 19,,31,2021-05-01 19:20:58:129
-0.014445,0.010669,9.703183,0.001699,-0.001394,9.806649,0.003072,0.003179,2.26E-4,1.56,-15.78,-23.88,189.0586,0.1633,-0.9238,55.813847,37.500088,187.5595,NaN,0.0925,8.0,28.1794,12 / 19,,42,2021-05-01 19:20:58:140
-0.014445,0.010669,9.703183,0.001699,-0.001394,9.806649,0.00185,0.003179,0.001448,1.56,-15.78,-23.88,189.0586,0.1633,-0.9238,55.813847,37.500088,187.5595,NaN,0.0925,8.0,28.1794,12 / 19,,52,2021-05-01 19:20:58:150
-0.003394,-0.012961,9.mak719647,5.51E-4,-4.33E-4,9.806648,0.002461,0.001346,0.006335,1.68,-15.54,-24.42,188.4339,0.1568,-0.9127,55.813847,37.500088,187.5595,NaN,0.0925,8.0,28.1794,12 / 19,,61,2021-05-01 19:20:58:159
-0.003394,-0.012961,9.719647,5.51E-4,-4.33E-4,9.806648,0.002461,0.001346,0.006335,1.68,-15.54,-24.42,188.4339,0.1568,-0.9127,55.813847,37.500088,187.5595,NaN,0.0925,8.0,28.1794,12 / 19,,71,2021-05-01 19:20:58:169
0.020172,-0.005683,9.721685,0.001204,-7.07E-4,9.806647,0.00185,7.35E-4,0.005113,1.5,-15.6,-24.84,188.4339,0.1568,-0.9127,55.813847,37.500088,187.5595,NaN,0.0925,8.0,28.1794,12 / 19,,82,2021-05-01 19:20:58:180
0.010843,0.029592,9.719612,0.001204,-7.07E-4,9.806647,0.002461,-0.001097,0.002059,1.5,-15.6,-24.84,188.4339,0.1568,-0.9127,55.813847,37.500088,187.5595,NaN,0.0925,8.0,28.1794,12 / 19,,91,2021-05-01 19:20:58:189
-0.004886,0.053575,9.70793,-3.56E-4,4.11E-4,9.806652,0.00185,-4.86E-4,0.002669,0.96,-15.84,-24.12,184.9065,0.1537,-0.9052,55.813847,37.500088,187.5595,NaN,0.0925,8.0,28.1794,12 / 19,,101,2021-05-01 19:20:58:199
-0.004886,0.053575,9.70793,-3.56E-4,4.11E-4,9.806652,-0.001204,0.002568,0.001448,0.96,-15.84,-24.12,184.9065,0.1537,-0.9052,55.813847,37.500088,187.5595,NaN,0.0925,8.0,28.1794,12 / 19,,112,2021-05-01 19:20:58:210
-0.018409,-0.022195,9.719808,-0.001196,0.002122,9.806652,0.002461,0.002568,8.37E-4,1.02,-15.66,-24.54,184.9065,0.1537,-0.9052,55.813847,37.500088,187.5595,NaN,0.0925,8.0,28.1794,12 / 19,,121,2021-05-01 19:20:58:219
