ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.088588,-0.028731,9.761458,0.07833,-0.022882,9.806311,-0.001829,-0.001863,-9.84E-4,3.78,-16.5,-24.78,191.2876,0.127,-0.4691,55.813915,37.500175,190.8462,NaN,0.0,16.0,,20 / 23,,20,2021-05-01 19:30:08:954
0.088588,-0.028731,9.761458,0.07833,-0.022882,9.806311,-0.001829,-0.001863,-9.84E-4,3.78,-16.5,-24.78,191.2876,0.127,-0.4691,55.813915,37.500175,190.8462,NaN,0.0,16.0,,20 / 23,,30,2021-05-01 19:30:08:964
0.074223,-0.03352,9.759064,0.077754,-0.023836,9.806313,6.15E-4,5.81E-4,2.38E-4,4.02,-16.74,-24.84,193.8306,0.1337,-0.4577,55.813915,37.500175,190.8462,NaN,0.0,16.0,,20 / 23,,40,2021-05-01 19:30:08:974
0.074223,-0.03352,9.759064,0.077754,-0.023836,9.806313,0.001225,-0.001863,-3.73E-4,4.02,-16.74,-24.84,193.8306,0.1337,-0.4577,55.813915,37.500175,190.8462,NaN,0.0,16.0,,20 / 23,,52,2021-05-01 19:30:08:986
0.069434,-0.035914,9.754275,0.076551,-0.024883,9.80632,-6.07E-4,0.001192,-3.73E-4,3.78,-16.5,-25.08,193.8306,0.1337,-0.4577,55.813915,37.500175,190.8462,NaN,0.0,16.0,,20 / 23,,61,2021-05-01 19:30:08:995
0.064645,-0.014366,9.747093,0.076551,-0.024883,9.80632,-6.07E-4,0.001192,-3.73E-4,3.78,-16.5,-25.08,193.8306,0.1337,-0.4577,55.813915,37.500175,190.8462,NaN,0.0,16.0,,20 / 23,,70,2021-05-01 19:30:09:004
0.06704,-0.028731,9.747093,0.07645,-0.024993,9.80632,-0.001829,5.81E-4,-3.73E-4,3.0,-16.86,-25.5,190.6057,0.1454,-0.4473,55.813915,37.500175,190.8462,NaN,0.0,16.0,,20 / 23,,80,2021-05-01 19:30:09:014
0.086194,-0.019154,9.727939,0.076688,-0.024993,9.806318,-0.001829,5.81E-4,0.001459,2.7,-17.04,-25.86,190.6057,0.1454,-0.4473,55.813915,37.500175,190.8462,NaN,0.0,16.0,,20 / 23,,90,2021-05-01 19:30:09:024
0.086194,-0.019154,9.727939,0.076688,-0.024993,9.806318,-0.00244,-0.001252,-0.003428,2.7,-17.04,-25.86,190.6057,0.1454,-0.4473,55.813915,37.500175,190.8462,NaN,0.0,16.0,,20 / 23,,100,2021-05-01 19:30:09:034
0.06704,-0.023943,9.768641,0.07799,-0.024633,9.806309,-0.001218,-3.0E-5,2.38E-4,3.3,-17.22,-25.62,190.6057,0.1454,-0.4473,55.813915,37.500175,190.8462,NaN,0.0,16.0,,20 / 23,,110,2021-05-01 19:30:09:044
0.06704,-0.023943,9.768641,0.07799,-0.024633,9.806309,-0.001218,-3.0E-5,2.38E-4,3.3,-17.22,-25.62,190.6057,0.1454,-0.4473,55.813915,37.500175,190.8462,NaN,0.0,16.0,,20 / 23,,120,2021-05-01 19:30:09:054
0.090982,-0.031126,9.771035,0.07782,-0.024452,9.806312,-0.001829,0.001192,-9.84E-4,3.78,-17.76,-25.5,193.0861,0.1439,-0.4557,55.813915,37.500175,190.8462,NaN,0.0,16.0,,20 / 23,,131,2021-05-01 19:30:09:065
0.064645,-0.03352,9.768641,0.077237,-0.02431,9.806315,4.0E-6,-0.001252,8.48E-4,3.9,-17.7,-25.44,193.0861,0.1439,-0.4557,55.813915,37.500175,190.8462,NaN,0.0,16.0,,20 / 23,,141,2021-05-01 19:30:09:075
0.074223,-0.035914,9.75667,0.077237,-0.02431,9.806315,0.001836,-0.001863,2.38E-4,3.9,-17.7,-25.44,193.0861,0.1439,-0.4557,55.813915,37.500175,190.8462,NaN,0.0,16.0,,20 / 23,,150,2021-05-01 19:30:09:084
0.074223,-0.035914,9.75667,0.076969,-0.024475,9.806317,0.001225,5.81E-4,-3.73E-4,3.54,-17.76,-25.74,193.0861,0.1439,-0.4557,55.813915,37.500175,190.8462,NaN,0.0,16.0,,20 / 23,,161,2021-05-01 19:30:09:095
0.088588,-0.028731,9.725544,0.076969,-0.024475,9.806317,-0.00244,-6.41E-4,-0.002817,3.54,-17.76,-25.74,193.0861,0.1439,-0.4557,55.813915,37.500175,190.8462,NaN,0.0,16.0,,20 / 23,,171,2021-05-01 19:30:09:105
0.074223,-0.038308,9.713573,0.07694,-0.026342,9.806313,6.15E-4,-0.001863,-3.73E-4,3.24,-16.8,-25.2,190.6098,0.143,-0.4497,55.813915,37.500175,190.8462,NaN,0.0,16.0,,20 / 23,,181,2021-05-01 19:30:09:115
0.081405,-0.028731,9.715967,0.077035,-0.027161,9.80631,0.001225,-0.001252,-9.84E-4,3.0,-16.86,-25.2,190.6098,0.143,-0.4497,55.813915,37.500175,190.8462,NaN,0.0,16.0,,20 / 23,,190,2021-05-01 19:30:09:124
0.064645,-0.021548,9.775824,0.077035,-0.027161,9.80631,6.15E-4,-6.41E-4,2.38E-4,3.0,-16.86,-25.2,190.6098,0.143,-0.4497,55.813915,37.500175,190.8462,NaN,0.0,16.0,,20 / 23,,201,2021-05-01 19:30:09:135
0.064645,-0.021548,9.775824,0.07713,-0.027744,9.806308,-0.001218,5.81E-4,2.38E-4,2.88,-16.68,-25.2,190.6098,0.143,-0.4497,55.813915,37.500175,190.8462,NaN,0.0,16.0,,20 / 23,,211,2021-05-01 19:30:09:145
0.076617,-0.028731,9.77343,0.07713,-0.027744,9.806308,-0.001218,5.81E-4,2.38E-4,2.88,-16.68,-25.2,190.6098,0.143,-0.4497,55.813915,37.500175,190.8462,NaN,0.0,16.0,,20 / 23,,221,2021-05-01 19:30:09:155
0.062251,-0.031126,9.763853,0.077199,-0.027756,9.806307,0.001225,-0.003695,0.00207,2.82,-16.62,-25.5,190.6061,0.1621,-0.4506,55.813915,37.500175,190.8462,NaN,0.0,16.0,,20 / 23,,231,2021-05-01 19:30:09:165
0.079011,-0.035914,9.775824,0.076736,-0.028206,9.80631,-6.07E-4,-0.001863,0.004514,3.18,-16.44,-25.68,190.6061,0.1621,-0.4506,55.813915,37.500175,190.8462,NaN,0.0,16.0,,20 / 23,,240,2021-05-01 19:30:09:174
0.079011,-0.021548,9.761458,0.076736,-0.028206,9.80631,-6.07E-4,5.81E-4,2.38E-4,3.18,-16.44,-25.68,190.6061,0.1621,-0.4506,55.813915,37.500175,190.8462,NaN,0.0,16.0,,20 / 23,,251,2021-05-01 19:30:09:185
0.079011,-0.021548,9.761458,0.076798,-0.028675,9.806308,0.001225,-6.41E-4,2.38E-4,2.64,-16.98,-25.38,190.6061,0.1621,-0.4506,55.813915,37.500175,190.8462,NaN,0.0,16.0,,20 / 23,,261,2021-05-01 19:30:09:195
0.076617,-0.01676,9.785401,0.076798,-0.028675,9.806308,4.0E-6,-0.001863,2.38E-4,2.64,-16.98,-25.38,190.6061,0.1621,-0.4506,55.813915,37.500175,190.8462,NaN,0.0,16.0,,20 / 23,,271,2021-05-01 19:30:09:205
0.086194,-0.019154,9.749487,0.076431,-0.02839,9.806312,4.0E-6,-0.001863,2.38E-4,2.82,-17.04,-25.2,190.6019,0.1675,-0.4487,55.813915,37.500175,190.8462,NaN,0.0,16.0,,20 / 23,,280,2021-05-01 19:30:09:214
0.055068,0.002394,9.754275,0.076539,-0.02806,9.806312,-6.07E-4,5.81E-4,2.38E-4,3.42,-17.22,-25.68,190.6019,0.1675,-0.4487,55.813915,37.500175,190.8462,NaN,0.0,16.0,,20 / 23,,290,2021-05-01 19:30:09:224
0.079011,-0.021548,9.715967,0.076539,-0.02806,9.806312,4.0E-6,-0.001252,-9.84E-4,3.42,-17.22,-25.68,190.6019,0.1675,-0.4487,55.813915,37.500175,190.8462,NaN,0.0,16.0,,20 / 23,,301,2021-05-01 19:30:09:235
0.079011,-0.021548,9.715967,0.075987,-0.026759,9.806319,4.0E-6,5.81E-4,2.38E-4,3.3,-17.22,-26.34,190.6019,0.1675,-0.4487,55.813915,37.500175,190.8462,NaN,0.0,16.0,,20 / 23,,310,2021-05-01 19:30:09:244
0.071828,-0.026337,9.708784,0.075987,-0.026759,9.806319,4.0E-6,-6.41E-4,-0.002817,3.3,-17.22,-26.34,190.6019,0.1675,-0.4487,55.813915,37.500175,190.8462,NaN,0.0,16.0,,20 / 23,,321,2021-05-01 19:30:09:255
0.088588,-0.019154,9.744699,0.075935,-0.025704,9.806322,4.0E-6,-6.41E-4,-3.73E-4,2.7,-17.1,-25.98,190.6216,0.1563,-0.444,55.813915,37.500175,190.8462,NaN,0.0,16.0,,20 / 23,,331,2021-05-01 19:30:09:265
0.086194,-0.040703,9.737515,0.075829,-0.025472,9.806324,-0.001218,-6.41E-4,8.48E-4,3.18,-16.68,-25.86,190.6216,0.1563,-0.444,55.813915,37.500175,190.8462,NaN,0.0,16.0,,20 / 23,,341,2021-05-01 19:30:09:275
