ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.001939,0.009164,9.78051,3.45E-4,-0.001005,9.806652,0.002461,-0.003541,2.26E-4,1.26,-15.12,-26.64,185.972,0.1698,-1.2261,55.813835,37.50017,181.0538,NaN,0.0,12.0,,21 / 23,,15,2021-05-01 19:21:13:084
-0.001245,0.009611,9.742261,3.45E-4,-0.001005,9.806652,1.8E-5,0.004401,0.00328,1.26,-15.12,-26.64,185.972,0.1698,-1.2261,55.813835,37.50017,181.0538,NaN,0.0,12.0,,21 / 23,,25,2021-05-01 19:21:13:094
-0.003326,0.012229,9.744714,1.88E-4,-9.9E-4,9.806652,6.29E-4,0.002568,0.002669,1.8,-15.12,-26.58,185.972,0.1698,-1.2261,55.813835,37.50017,181.0538,NaN,0.0,12.0,,21 / 23,,35,2021-05-01 19:21:13:104
-0.006306,0.00774,9.739963,9.45E-4,-5.74E-4,9.80665,0.001239,0.005622,0.005724,2.04,-15.12,-26.52,189.6974,0.1642,-1.2244,55.813835,37.50017,181.0538,NaN,0.0,12.0,,21 / 23,,45,2021-05-01 19:21:13:114
-0.006306,0.00774,9.739963,9.45E-4,-5.74E-4,9.80665,0.002461,0.001957,0.002059,2.04,-15.12,-26.52,189.6974,0.1642,-1.2244,55.813835,37.50017,181.0538,NaN,0.0,12.0,,21 / 23,,55,2021-05-01 19:21:13:124
-0.00899,-0.009799,9.747086,9.45E-4,-5.74E-4,9.80665,0.002461,0.001957,0.002059,2.04,-15.12,-26.52,189.6974,0.1642,-1.2244,55.813835,37.50017,181.0538,NaN,0.0,12.0,,21 / 23,,65,2021-05-01 19:21:13:134
-0.00899,-0.009799,9.747086,0.001618,-9.37E-4,9.80665,0.001239,1.25E-4,0.002669,1.92,-14.58,-26.22,189.6974,0.1642,-1.2244,55.813835,37.50017,181.0538,NaN,0.0,12.0,,21 / 23,,76,2021-05-01 19:21:13:145
0.011631,-0.010314,9.77536,0.001042,-5.59E-4,9.806649,0.002461,0.004401,0.003891,1.86,-14.52,-26.58,189.6807,0.1604,-1.2141,55.813835,37.50017,181.0538,NaN,0.0,12.0,,21 / 23,,85,2021-05-01 19:21:13:154
0.013591,0.0136,9.78984,0.002138,-0.001027,9.806649,0.003072,0.004401,0.006335,2.46,-15.24,-26.76,189.6807,0.1604,-1.2141,55.813835,37.50017,181.0538,NaN,0.0,12.0,,21 / 23,,96,2021-05-01 19:21:13:165
0.013591,0.0136,9.78984,0.002138,-0.001027,9.806649,0.001239,0.002568,8.37E-4,2.46,-15.24,-26.76,189.6807,0.1604,-1.2141,55.813835,37.50017,181.0538,NaN,0.0,12.0,,21 / 23,,105,2021-05-01 19:21:13:174
0.022684,-0.01458,9.758344,0.003083,-0.001497,9.806649,1.8E-5,0.001346,0.002059,2.04,-14.76,-26.58,189.6807,0.1604,-1.2141,55.813835,37.50017,181.0538,NaN,0.0,12.0,,21 / 23,,115,2021-05-01 19:21:13:184
-0.002502,0.023739,9.751915,1.39E-4,-2.8E-5,9.806651,6.29E-4,-4.86E-4,8.37E-4,1.62,-15.18,-26.76,189.649,0.1548,-1.1949,55.813835,37.50017,181.0538,NaN,0.0,12.0,,21 / 23,,126,2021-05-01 19:21:13:195
-0.00709,0.001175,9.758978,1.39E-4,-2.8E-5,9.806651,6.29E-4,-4.86E-4,8.37E-4,1.62,-15.18,-26.76,189.649,0.1548,-1.1949,55.813835,37.50017,181.0538,NaN,0.0,12.0,,21 / 23,,135,2021-05-01 19:21:13:204
-0.00709,0.001175,9.758978,0.001473,-8.88E-4,9.80665,-0.001204,-0.002319,0.00328,1.92,-15.0,-26.58,189.649,0.1548,-1.1949,55.813835,37.50017,181.0538,NaN,0.0,12.0,,21 / 23,,145,2021-05-01 19:21:13:214
0.002703,0.001946,9.75639,0.001473,-8.88E-4,9.80665,6.29E-4,-0.002319,0.00328,1.92,-15.0,-26.58,189.649,0.1548,-1.1949,55.813835,37.50017,181.0538,NaN,0.0,12.0,,21 / 23,,155,2021-05-01 19:21:13:224
0.004259,0.025981,9.751717,7.74E-4,-2.6E-5,9.80665,0.001239,-0.00293,-9.96E-4,2.22,-14.82,-27.06,189.6338,0.1511,-1.1856,55.813835,37.50017,181.0538,NaN,0.0,12.0,,21 / 23,,165,2021-05-01 19:21:13:234
-0.014273,0.012773,9.747182,7.74E-4,-2.6E-5,9.80665,-0.001815,-0.004151,0.002059,2.22,-14.82,-27.06,189.6338,0.1511,-1.1856,55.813835,37.50017,181.0538,NaN,0.0,12.0,,21 / 23,,176,2021-05-01 19:21:13:245
-0.014273,0.012773,9.747182,0.00119,9.7E-5,9.80665,0.002461,0.003179,0.002669,1.86,-14.64,-26.52,189.6338,0.1511,-1.1856,55.813835,37.50017,181.0538,NaN,0.0,12.0,,21 / 23,,186,2021-05-01 19:21:13:255
0.004593,-0.007486,9.768235,0.001757,-3.74E-4,9.806651,-5.93E-4,-0.00293,8.37E-4,1.98,-14.76,-26.34,189.6338,0.1511,-1.1856,55.813835,37.50017,181.0538,NaN,0.0,12.0,,21 / 23,,195,2021-05-01 19:21:13:264
-0.002664,0.010828,9.73736,0.001757,-3.74E-4,9.806651,-0.001204,-0.003541,8.37E-4,1.98,-14.76,-26.34,189.6338,0.1511,-1.1856,55.813835,37.50017,181.0538,NaN,0.0,12.0,,21 / 23,,206,2021-05-01 19:21:13:275
-0.009998,-0.004952,9.746989,7.26E-4,-6.7E-5,9.806649,0.001239,0.001346,0.004502,1.62,-15.36,-27.3,189.6157,0.1507,-1.1751,55.813835,37.50017,181.0538,NaN,0.0,12.0,,21 / 23,,215,2021-05-01 19:21:13:284
5.45E-4,0.010327,9.749228,8.24E-4,-2.58E-4,9.80665,0.001239,1.25E-4,-9.96E-4,1.62,-15.6,-27.66,189.6157,0.1507,-1.1751,55.813835,37.50017,181.0538,NaN,0.0,12.0,,21 / 23,,226,2021-05-01 19:21:13:295
5.45E-4,0.010327,9.749228,8.24E-4,-2.58E-4,9.80665,0.001239,0.001957,0.00328,1.62,-15.6,-27.66,189.6157,0.1507,-1.1751,55.813835,37.50017,181.0538,NaN,0.0,12.0,,21 / 23,,235,2021-05-01 19:21:13:304
0.004397,0.002345,9.765867,8.24E-4,-2.58E-4,9.80665,6.29E-4,-0.00293,0.004502,1.62,-15.6,-27.66,189.6157,0.1507,-1.1751,55.813835,37.50017,181.0538,NaN,0.0,12.0,,21 / 23,,245,2021-05-01 19:21:13:314
