ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Speed ( m/s),Time since start in ms 
0.059857,0.086194,9.873989,-0.000664,-0.000708,-0.000751,-23.34,-7.02,7.62,107.0477,-0.4606,-0.2481,55.81397,37.50027,181.1981,0.2471,17
0.059857,0.086194,9.873989,-5.3E-05,0.004179,0.002914,-23.34,-7.02,7.62,107.0477,-0.4606,-0.2481,55.81397,37.50027,181.1981,0.2471,26
0.035914,0.069434,9.878778,0.001169,-0.00193,0.000471,-22.86,-7.08,7.5,107.048,-0.461,-0.2456,55.81397,37.50027,181.1981,0.2471,37
0.03352,0.062251,9.852441,-0.002497,-0.00193,0.001082,-22.86,-7.08,7.5,107.048,-0.461,-0.2456,55.81397,37.50027,181.1981,0.2471,46
0.040703,0.079011,9.852441,-5.3E-05,-9.7E-05,0.002914,-22.5,-7.26,7.5,107.048,-0.461,-0.2456,55.81397,37.50027,181.1981,0.2471,57
0.040703,0.079011,9.852441,0.001169,-0.001319,0.000471,-22.5,-7.26,7.5,107.048,-0.461,-0.2456,55.81397,37.50027,181.1981,0.2471,67
0.05028,0.090982,9.838076,-0.000664,-0.002541,0.001082,-22.86,-7.68,8.4,109.2908,-0.4546,-0.2492,55.81397,37.50027,181.1981,0.2471,76
0.05028,0.0838,9.845258,-5.3E-05,-0.001319,-0.000751,-22.86,-7.68,8.4,109.2908,-0.4546,-0.2492,55.81397,37.50027,181.1981,0.2471,87
0.035914,0.069434,9.842864,0.001169,-0.000708,0.000471,-22.74,-6.78,7.86,109.2908,-0.4546,-0.2492,55.81397,37.50027,181.1981,0.2471,97
0.035914,0.069434,9.842864,-0.000664,0.000514,0.001082,-22.92,-6.78,7.56,109.2908,-0.4546,-0.2492,55.81397,37.50027,181.1981,0.2471,107
0.043097,0.088588,9.850046,0.001169,0.001125,0.001082,-22.92,-6.78,7.56,109.2908,-0.4546,-0.2492,55.81397,37.50027,181.1981,0.2471,117
0.035914,0.071828,9.828498,0.00239,0.000514,0.000471,-23.16,-7.02,7.44,107.0311,-0.4559,-0.2487,55.81397,37.50027,181.1981,0.2471,127
0.028731,0.095771,9.818921,0.001169,-0.00193,-0.000751,-23.16,-7.02,7.44,107.0311,-0.4559,-0.2487,55.81397,37.50027,181.1981,0.2471,136
0.045491,0.074223,9.814133,0.000558,-0.000708,0.000471,-23.04,-7.14,7.86,107.0311,-0.4559,-0.2487,55.81397,37.50027,181.1981,0.2471,147
0.045491,0.074223,9.814133,-5.3E-05,0.001735,0.002304,-23.04,-7.14,7.86,107.0311,-0.4559,-0.2487,55.81397,37.50027,181.1981,0.2471,157
0.038308,0.074223,9.838076,-0.001275,-0.002541,-0.00014,-22.38,-6.96,8.1,107.7721,-0.4558,-0.2483,55.81397,37.50027,181.1981,0.2471,166
0.05028,0.071828,9.845258,-5.3E-05,-0.003151,-0.000751,-22.38,-6.96,8.1,107.7721,-0.4558,-0.2483,55.81397,37.50027,181.1981,0.2471,177
0.031126,0.081405,9.823709,-0.002497,-9.7E-05,0.002914,-22.44,-6.9,7.92,107.7721,-0.4558,-0.2483,55.81397,37.50027,181.1981,0.2471,186
0.031126,0.081405,9.823709,0.000558,-0.00193,0.003525,-22.44,-6.9,7.92,107.7721,-0.4558,-0.2483,55.81397,37.50027,181.1981,0.2471,197
0.045491,0.071828,9.814133,-0.001275,-0.003151,-0.00014,-22.56,-6.72,7.44,107.0317,-0.4564,-0.2428,55.81397,37.50027,181.1981,0.2471,206
0.035914,0.098165,9.80695,-0.002497,-0.002541,0.000471,-22.56,-6.72,7.44,107.0317,-0.4564,-0.2428,55.81397,37.50027,181.1981,0.2471,216
0.035914,0.071828,9.826104,-0.002497,-0.002541,0.000471,-22.44,-6.6,7.92,107.0317,-0.4564,-0.2428,55.81397,37.50027,181.1981,0.2471,226
0.045491,0.074223,9.840469,-0.000664,0.001125,0.001082,-22.44,-6.6,7.92,107.0317,-0.4564,-0.2428,55.81397,37.50027,181.1981,0.2471,237
0.045491,0.074223,9.840469,-0.000664,-0.001319,0.005358,-22.38,-6.84,8.82,107.7888,-0.4546,-0.2351,55.81397,37.50027,181.1981,0.2471,246
0.052674,0.074223,9.816526,-0.001886,-9.7E-05,-0.00014,-22.38,-6.84,8.82,107.7888,-0.4546,-0.2351,55.81397,37.50027,181.1981,0.2471,257
0.026337,0.095771,9.830893,0.001169,0.002346,0.002914,-22.8,-7.38,8.34,107.7888,-0.4546,-0.2351,55.81397,37.50027,181.1981,0.2471,266
