ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Accuracy ( m),Time since start in ms 
0.021548,0.052674,9.883567,0.001021,-0.001728,2.5E-05,28.56,-22.08,-5.94,232.8814,-0.437,-0.2263,55.814102,37.500412,208.2,20.585,21
0.045491,0.069434,9.859624,-0.002033,0.000716,-0.001808,28.08,-22.26,-5.64,231.9244,-0.4406,-0.2275,55.814102,37.500412,208.2,20.585,31
0.045491,0.069434,9.859624,-0.002033,0.000716,-0.001808,28.08,-22.26,-5.64,231.9244,-0.4406,-0.2275,55.814102,37.500412,208.2,20.585,41
0.055068,0.102954,9.866806,0.001021,-0.000506,-0.001808,28.26,-21.84,-5.34,231.9244,-0.4406,-0.2275,55.814102,37.500412,208.2,20.585,50
0.023943,0.076617,9.871595,-0.0002,0.002549,0.001858,28.5,-21.12,-4.62,231.9244,-0.4406,-0.2275,55.814102,37.500412,208.2,20.585,61
0.023943,0.076617,9.871595,-0.0002,0.001327,0.001858,28.5,-21.12,-4.62,231.9244,-0.4406,-0.2275,55.814102,37.500412,208.2,20.585,71
0.040703,0.071828,9.857229,-0.000811,-0.000506,0.000636,28.56,-20.88,-5.04,234.1578,-0.4401,-0.2224,55.814102,37.500412,208.2,20.585,80
0.038308,0.079011,9.873989,-0.0002,0.000716,-0.001808,28.8,-20.7,-5.4,234.1578,-0.4401,-0.2224,55.814102,37.500412,208.2,20.585,91
0.038308,0.079011,9.873989,-0.0002,0.001327,0.001858,28.8,-20.7,-5.4,234.1578,-0.4401,-0.2224,55.814102,37.500412,208.2,20.585,101
0.028731,0.062251,9.871595,-0.001422,-0.001117,0.001858,28.86,-20.82,-5.22,234.1578,-0.4401,-0.2224,55.814102,37.500412,208.2,20.585,111
0.021548,0.093377,9.895537,0.001021,-0.000506,-0.000586,28.86,-20.82,-5.22,234.1578,-0.4401,-0.2224,55.814102,37.500412,208.2,20.585,121
0.035914,0.095771,9.890749,-0.002033,-0.002949,0.000636,28.8,-21.66,-5.1,232.8808,-0.4395,-0.2141,55.814102,37.500412,208.2,20.585,131
0.026337,0.086194,9.890749,0.002243,-0.001728,-0.001808,28.8,-21.66,-5.1,232.8808,-0.4395,-0.2141,55.814102,37.500412,208.2,20.585,141
0.026337,0.086194,9.890749,0.002243,0.001327,0.00369,29.22,-22.02,-4.68,232.8808,-0.4395,-0.2141,55.814102,37.500412,208.2,20.585,151
0.035914,0.074223,9.881172,-0.000811,-0.001117,2.5E-05,29.22,-22.02,-4.68,232.8808,-0.4395,-0.2141,55.814102,37.500412,208.2,20.585,161
0.01676,0.062251,9.888355,0.001632,0.000716,2.5E-05,29.58,-21.78,-4.5,233.7974,-0.4439,-0.2073,55.814102,37.500412,208.2,20.585,171
0.03352,0.06704,9.881172,0.000411,0.000105,-0.001808,29.58,-21.78,-4.5,233.7974,-0.4439,-0.2073,55.814102,37.500412,208.2,20.585,180
0.035914,0.076617,9.883567,0.000411,-0.001728,-0.002418,28.68,-21.72,-4.92,233.7974,-0.4439,-0.2073,55.814102,37.500412,208.2,20.585,191
0.035914,0.076617,9.883567,-0.001422,-0.001728,-0.00364,28.68,-21.72,-4.92,233.7974,-0.4439,-0.2073,55.814102,37.500412,208.2,20.585,200
0.059857,0.069434,9.888355,-0.001422,0.001938,-0.002418,28.8,-21.06,-4.98,234.1567,-0.4446,-0.2012,55.814102,37.500412,208.2,20.585,211
0.035914,0.071828,9.897932,-0.001422,0.001327,0.001247,28.8,-21.06,-4.98,234.1567,-0.4446,-0.2012,55.814102,37.500412,208.2,20.585,221
0.031126,0.076617,9.876384,0.002243,-0.001117,0.000636,29.64,-20.64,-5.46,234.1567,-0.4446,-0.2012,55.814102,37.500412,208.2,20.585,230
0.031126,0.086194,9.881172,0.000411,0.000716,0.003079,29.4,-20.7,-5.22,234.1567,-0.4446,-0.2012,55.814102,37.500412,208.2,20.585,242
0.031126,0.086194,9.881172,-0.000811,-0.00356,-0.002418,29.4,-20.7,-5.22,234.1567,-0.4446,-0.2012,55.814102,37.500412,208.2,20.585,251
0.026337,0.088588,9.881172,-0.002033,-0.001117,-0.000586,29.1,-20.94,-5.46,234.1565,-0.4443,-0.1992,55.814102,37.500412,208.2,20.585,261
0.055068,0.076617,9.907509,0.000411,0.000105,0.000636,29.1,-20.94,-5.46,234.1565,-0.4443,-0.1992,55.814102,37.500412,208.2,20.585,271
0.03352,0.076617,9.912297,0.000411,0.00377,2.5E-05,29.22,-21.84,-4.98,234.1565,-0.4443,-0.1992,55.814102,37.500412,208.2,20.585,280
0.03352,0.074223,9.888355,0.000411,0.00377,2.5E-05,29.22,-21.84,-4.98,234.1565,-0.4443,-0.1992,55.814102,37.500412,208.2,20.585,291
0.03352,0.074223,9.888355,-0.000811,0.001327,-0.001197,28.68,-21.72,-5.04,232.8804,-0.4446,-0.2011,55.814102,37.500412,208.2,20.585,301
0.021548,0.090982,9.866806,0.004076,-0.000506,0.001858,28.68,-21.72,-5.04,232.8804,-0.4446,-0.2011,55.814102,37.500412,208.2,20.585,310
0.035914,0.071828,9.883567,0.002243,0.001938,-0.000586,28.62,-21.72,-5.46,232.8804,-0.4446,-0.2011,55.814102,37.500412,208.2,20.585,322
0.023943,0.076617,9.890749,-0.002033,0.000105,-0.001808,28.62,-21.72,-5.46,232.8804,-0.4446,-0.2011,55.814102,37.500412,208.2,20.585,331
0.023943,0.076617,9.890749,-0.002033,0.000105,-0.001808,29.34,-21.36,-5.46,234.1569,-0.4466,-0.2008,55.814102,37.500412,208.2,20.585,340
0.062251,0.059857,9.864412,-0.0002,-0.001728,-0.003029,29.34,-21.36,-5.46,234.1569,-0.4466,-0.2008,55.814102,37.500412,208.2,20.585,351
0.055068,0.069434,9.871595,0.001632,-0.00356,-0.000586,29.52,-21.36,-5.82,234.1569,-0.4466,-0.2008,55.814102,37.500412,208.2,20.585,361
0.035914,0.086194,9.869201,0.001021,-0.001728,0.001247,29.52,-21.36,-5.82,234.1569,-0.4466,-0.2008,55.814102,37.500412,208.2,20.585,371
0.035914,0.086194,9.869201,0.001632,-0.000506,-0.001808,29.28,-21.6,-5.4,232.8798,-0.4405,-0.2,55.814102,37.500412,208.2,20.585,381
0.035914,0.069434,9.881172,-0.002033,0.000105,0.000636,29.28,-21.6,-5.4,232.8798,-0.4405,-0.2,55.814102,37.500412,208.2,20.585,391
0.052674,0.076617,9.878778,0.001632,0.000716,2.5E-05,29.34,-21.72,-5.46,232.8798,-0.4405,-0.2,55.814102,37.500412,208.2,20.585,401
0.031126,0.071828,9.917087,0.000411,0.001327,-0.000586,29.34,-21.72,-5.46,232.8798,-0.4405,-0.2,55.814102,37.500412,208.2,20.585,411
0.035914,0.064645,9.869201,-0.000811,0.001327,-0.002418,29.04,-22.08,-5.28,232.88,-0.4342,-0.2121,55.814102,37.500412,208.2,20.585,420
0.035914,0.064645,9.869201,-0.002033,-0.002949,2.5E-05,29.04,-22.14,-5.1,232.88,-0.4342,-0.2121,55.814102,37.500412,208.2,20.585,431
0.040703,0.079011,9.864412,-0.002033,-0.002338,2.5E-05,29.04,-22.14,-5.1,232.88,-0.4342,-0.2121,55.814102,37.500412,208.2,20.585,441
0.026337,0.069434,9.890749,-0.002033,-0.002338,2.5E-05,28.56,-22.14,-4.74,232.88,-0.4342,-0.2121,55.814102,37.500412,208.2,20.585,451
0.047885,0.074223,9.883567,-0.001422,0.000105,-0.001808,28.44,-21.96,-5.04,231.9094,-0.4341,-0.2203,55.814102,37.500412,208.2,20.585,461
0.047885,0.074223,9.883567,0.000411,-0.000506,-0.001197,28.44,-21.96,-5.04,231.9094,-0.4341,-0.2203,55.814102,37.500412,208.2,20.585,471
0.043097,0.071828,9.866806,-0.001422,-0.001117,2.5E-05,28.68,-21.48,-5.46,231.9094,-0.4341,-0.2203,55.814102,37.500412,208.2,20.585,481
0.045491,0.074223,9.878778,0.001632,0.000716,2.5E-05,28.68,-21.48,-5.46,231.9094,-0.4341,-0.2203,55.814102,37.500412,208.2,20.585,490
0.031126,0.069434,9.850046,-0.001422,0.001327,2.5E-05,28.44,-21.36,-5.16,233.1977,-0.4286,-0.2233,55.814102,37.500412,208.2,20.585,501
0.035914,0.081405,9.857229,-0.000811,0.001327,-0.000586,28.56,-21.54,-5.16,233.1977,-0.4286,-0.2233,55.814102,37.500412,208.2,20.585,511
0.035914,0.081405,9.857229,-0.000811,0.001938,-0.000586,28.56,-21.54,-5.16,233.1977,-0.4286,-0.2233,55.814102,37.500412,208.2,20.585,522
0.026337,0.081405,9.866806,0.001021,0.001938,0.000636,28.86,-22.02,-5.1,233.1977,-0.4286,-0.2233,55.814102,37.500412,208.2,20.585,531
0.03352,0.069434,9.873989,0.000411,-0.000506,0.001247,28.86,-22.02,-5.1,233.1977,-0.4286,-0.2233,55.814102,37.500412,208.2,20.585,541
0.026337,0.081405,9.838076,0.000411,0.000716,0.001247,28.92,-22.08,-5.1,232.8801,-0.4238,-0.2288,55.814102,37.500412,208.2,20.585,551
0.026337,0.081405,9.838076,-0.000811,-0.001117,0.000636,29.22,-21.42,-5.1,232.8801,-0.4238,-0.2288,55.814102,37.500412,208.2,20.585,561
0.026337,0.06704,9.859624,0.001632,0.000105,-0.000586,29.22,-21.42,-5.1,232.8801,-0.4238,-0.2288,55.814102,37.500412,208.2,20.585,571
