ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.169994,0.126897,9.77343,0.165558,0.121488,9.8045,9.48E-4,-1.8E-5,-8.0E-4,20.88,3.6,-103.92,283.0731,-0.7098,-0.9674,55.81408,37.500366,210.7,NaN,,14.388,,0 / 4,,29,2021-05-02 16:13:36:029
0.150839,0.119714,9.763853,0.16594,0.121046,9.804499,0.002781,0.003647,0.005308,20.88,3.6,-103.92,283.0731,-0.7098,-0.9674,55.81408,37.500366,210.7,NaN,,14.388,,0 / 4,,37,2021-05-02 16:13:36:037
0.167599,0.122108,9.766247,0.16594,0.121046,9.804499,0.001559,0.002425,0.002254,20.82,3.96,-104.22,283.0731,-0.7098,-0.9674,55.81408,37.500366,210.7,NaN,,14.388,,0 / 4,,47,2021-05-02 16:13:36:047
0.167599,0.122108,9.766247,0.165492,0.120458,9.804514,9.48E-4,0.003647,4.21E-4,20.82,3.96,-104.22,283.0731,-0.7098,-0.9674,55.81408,37.500366,210.7,NaN,,14.388,,0 / 4,,57,2021-05-02 16:13:36:057
0.153234,0.138868,9.754275,0.165492,0.120458,9.804514,0.001559,-0.001851,0.001643,20.4,4.02,-103.86,283.6259,-0.7038,-0.967,55.81408,37.500366,210.7,NaN,,14.388,,0 / 4,,67,2021-05-02 16:13:36:067
0.158022,0.114925,9.75667,0.165442,0.120769,9.804511,3.37E-4,-0.00124,0.001643,20.4,4.02,-103.86,283.6259,-0.7038,-0.967,55.81408,37.500366,210.7,NaN,,14.388,,0 / 4,,78,2021-05-02 16:13:36:078
0.162811,0.136474,9.751882,0.165442,0.120769,9.804511,3.37E-4,-6.29E-4,0.002254,20.4,3.78,-103.8,283.6259,-0.7038,-0.967,55.81408,37.500366,210.7,NaN,,14.388,,0 / 4,,88,2021-05-02 16:13:36:088
0.162811,0.136474,9.751882,0.164714,0.121328,9.804516,-0.001495,-0.001851,-1.89E-4,20.4,3.78,-103.8,283.6259,-0.7038,-0.967,55.81408,37.500366,210.7,NaN,,14.388,,0 / 4,,97,2021-05-02 16:13:36:097
0.155628,0.114925,9.771035,0.164714,0.121328,9.804516,0.00217,5.93E-4,0.002254,19.98,3.18,-103.68,281.1409,-0.7089,-0.9625,55.81408,37.500366,210.7,NaN,,14.388,,0 / 4,,107,2021-05-02 16:13:36:107
0.160416,0.122108,9.79019,0.163854,0.121675,9.804526,-0.001495,-6.29E-4,-1.89E-4,19.98,3.18,-103.68,281.1409,-0.7089,-0.9625,55.81408,37.500366,210.7,NaN,,14.388,,0 / 4,,117,2021-05-02 16:13:36:117
