ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.153234,0.114925,9.77343,0.154624,0.121615,9.804677,6.29E-4,0.001368,-8.52E-4,11.16,0.96,-83.22,279.3762,-0.7149,-0.9076,55.814068,37.500385,210.7,NaN,,12.078001,,0 / 0,,20,2021-05-02 17:08:41:262
0.160416,0.114925,9.783007,0.154624,0.121615,9.804677,-0.002426,0.00259,-2.41E-4,11.16,0.96,-83.22,279.3762,-0.7149,-0.9076,55.814068,37.500385,210.7,NaN,,12.078001,,0 / 0,,30,2021-05-02 17:08:41:272
0.150839,0.131685,9.794978,0.154484,0.121736,9.804677,0.001239,0.001368,0.003425,10.62,1.08,-83.88,279.3762,-0.7149,-0.9076,55.814068,37.500385,210.7,NaN,,12.078001,,0 / 0,,40,2021-05-02 17:08:41:282
0.150839,0.131685,9.794978,0.154484,0.121736,9.804677,-0.001815,-4.64E-4,3.7E-4,10.62,1.08,-83.88,279.3762,-0.7149,-0.9076,55.814068,37.500385,210.7,NaN,,12.078001,,0 / 0,,50,2021-05-02 17:08:41:292
0.148445,0.119714,9.778218,0.154341,0.121343,9.804685,-5.93E-4,-4.64E-4,-0.001462,10.62,1.26,-83.82,279.4023,-0.7113,-0.9027,55.814068,37.500385,210.7,NaN,,12.078001,,0 / 0,,60,2021-05-02 17:08:41:302
0.141262,0.124502,9.787795,0.15438,0.121219,9.804686,-0.002426,-4.64E-4,-8.52E-4,11.28,1.56,-83.4,279.4023,-0.7113,-0.9027,55.814068,37.500385,210.7,NaN,,12.078001,,0 / 0,,70,2021-05-02 17:08:41:312
0.141262,0.114925,9.785401,0.15438,0.121219,9.804686,0.001239,1.47E-4,-2.41E-4,11.28,1.56,-83.4,279.4023,-0.7113,-0.9027,55.814068,37.500385,210.7,NaN,,12.078001,,0 / 0,,81,2021-05-02 17:08:41:323
0.141262,0.114925,9.785401,0.15438,0.121219,9.804686,0.003072,1.47E-4,-2.41E-4,11.28,1.56,-83.4,279.4023,-0.7113,-0.9027,55.814068,37.500385,210.7,NaN,,12.078001,,0 / 0,,90,2021-05-02 17:08:41:332
0.158022,0.117319,9.778218,0.154302,0.121327,9.804686,-5.93E-4,-0.001686,-0.003295,11.64,1.62,-83.46,282.8019,-0.7082,-0.9021,55.814068,37.500385,210.7,NaN,,12.078001,,0 / 0,,100,2021-05-02 17:08:41:342
0.138868,0.124502,9.785401,0.153897,0.121034,9.804695,-0.001204,-0.001075,-0.001462,11.52,1.14,-84.24,282.8019,-0.7082,-0.9021,55.814068,37.500385,210.7,NaN,,12.078001,,0 / 0,,111,2021-05-02 17:08:41:353
0.167599,0.122108,9.80695,0.153897,0.121034,9.804695,-0.001815,-4.64E-4,0.001592,11.52,1.14,-84.24,282.8019,-0.7082,-0.9021,55.814068,37.500385,210.7,NaN,,12.078001,,0 / 0,,120,2021-05-02 17:08:41:362
0.138868,0.124502,9.80695,0.153452,0.121246,9.8047,1.8E-5,0.003812,-0.002073,11.1,1.02,-85.02,279.423,-0.7072,-0.8993,55.814068,37.500385,210.7,NaN,,12.078001,,0 / 0,,130,2021-05-02 17:08:41:372
0.138868,0.124502,9.80695,0.153452,0.121246,9.8047,1.8E-5,0.003812,-0.002073,11.1,1.02,-85.02,279.423,-0.7072,-0.8993,55.814068,37.500385,210.7,NaN,,12.078001,,0 / 0,,140,2021-05-02 17:08:41:382
0.148445,0.117319,9.797373,0.153452,0.121246,9.8047,-0.002426,0.001979,-0.002684,11.1,1.02,-85.02,279.423,-0.7072,-0.8993,55.814068,37.500385,210.7,NaN,,12.078001,,0 / 0,,150,2021-05-02 17:08:41:392
0.172388,0.110137,9.792584,0.152532,0.120978,9.804717,-0.001204,7.57E-4,3.7E-4,10.92,1.08,-84.6,279.423,-0.7072,-0.8993,55.814068,37.500385,210.7,NaN,,12.078001,,0 / 0,,160,2021-05-02 17:08:41:402
0.167599,0.114925,9.794978,0.152434,0.120854,9.804721,-0.003037,1.47E-4,-8.52E-4,11.58,1.68,-84.24,282.8443,-0.7068,-0.8913,55.814068,37.500385,210.7,NaN,,12.078001,,0 / 0,,170,2021-05-02 17:08:41:412
0.172388,0.112531,9.768641,0.152434,0.120854,9.804721,-0.002426,7.57E-4,-8.52E-4,11.58,1.68,-84.24,282.8443,-0.7068,-0.8913,55.814068,37.500385,210.7,NaN,,12.078001,,0 / 0,,180,2021-05-02 17:08:41:422
0.172388,0.112531,9.768641,0.152716,0.120631,9.804719,-5.93E-4,-0.001075,-2.41E-4,11.46,1.32,-84.54,282.8443,-0.7068,-0.8913,55.814068,37.500385,210.7,NaN,,12.078001,,0 / 0,,190,2021-05-02 17:08:41:432
0.143657,0.126897,9.761458,0.152716,0.120631,9.804719,0.001239,1.47E-4,-0.001462,11.46,1.32,-84.54,282.8443,-0.7068,-0.8913,55.814068,37.500385,210.7,NaN,,12.078001,,0 / 0,,200,2021-05-02 17:08:41:442
