ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms 
0.304073,-0.253793,9.953,-0.014399,-0.002805,-0.005172,6.84,9.6,-12,320.0798,0.6876,-1.9878,24
0.284919,-0.093377,9.783007,0.025918,0.000249,0.003381,6.84,9.6,-12,320.0798,0.6876,-1.9878,33
0.284919,-0.093377,9.783007,0.042411,0.000249,0.000326,6.12,9.42,-11.88,324.078,0.7166,-1.9891,43
0.287313,0.045491,9.613013,0.049131,0.008801,0.005213,6.12,9.42,-11.88,324.078,0.7166,-1.9891,53
0.33041,0.150839,9.536397,0.028361,0.006969,0.002159,6.24,9.24,-12.36,324.078,0.7166,-1.9891,63
0.407027,0.081405,9.414289,-0.007069,-0.004638,0.000326,6.24,9.24,-12.36,324.078,0.7166,-1.9891,73
0.423787,-0.05028,9.45978,-0.047997,-0.011968,-0.004561,6.9,9.96,-12.42,323.0791,0.6628,-1.9842,84
0.407027,-0.270553,9.80695,-0.066323,-0.010746,-0.003339,6.9,9.96,-12.42,323.0791,0.6628,-1.9842,94
0.407027,-0.270553,9.80695,-0.059603,-0.010135,-0.003339,7.44,8.94,-12.18,323.0791,0.6628,-1.9842,103
0.407027,-0.36393,10.175668,-0.024173,-0.013801,-0.001506,7.44,8.94,-12.18,323.0791,0.6628,-1.9842,113
0.328016,-0.399844,10.115811,0.015533,0.006969,0.001548,7.14,8.76,-12.18,320.1055,0.6447,-1.9911,123
0.275342,-0.225062,9.744699,0.047909,0.027127,0.005824,7.14,8.76,-12.18,320.1055,0.6447,-1.9911,133
0.208302,-0.119714,9.526819,0.060126,0.025295,0.00277,6.06,9.48,-11.46,320.1055,0.6447,-1.9911,143
0.208302,-0.119714,9.526819,0.046076,0.006969,0.004602,6.06,9.48,-11.46,320.1055,0.6447,-1.9911,153
0.222668,0.028731,9.663293,0.016755,-0.010135,0.003381,6.12,9.24,-11.16,324.2784,0.6859,-1.9935,163
0.311256,0.026337,9.620196,0.016755,-0.010135,0.003381,6.12,9.24,-11.16,324.2784,0.6859,-1.9935,173
0.423787,-0.021548,9.581888,-0.019897,-0.018688,0.002159,7.14,9.3,-11.46,324.2784,0.6859,-1.9935,183
0.423787,-0.021548,9.581888,-0.044332,-0.021131,0.000326,7.14,9.3,-11.46,324.2784,0.6859,-1.9935,193
0.466884,-0.098165,9.727939,-0.033947,-0.004027,-0.002117,7.5,9.66,-11.82,319.5466,0.646,-1.9984,203
0.459701,-0.179571,9.893144,-0.005236,0.006969,0.000937,7.5,9.66,-11.82,319.5466,0.646,-1.9984,213
0.316044,-0.184359,9.893144,0.015533,0.016743,-0.002117,7.26,9.54,-12.12,319.5466,0.646,-1.9984,223
0.205908,-0.138868,9.749487,0.030194,0.02163,-0.001506,7.26,9.54,-12.12,319.5466,0.646,-1.9984,234
0.205908,-0.138868,9.749487,0.024696,0.013077,-0.001506,6.36,9.24,-12.42,324.0944,0.6768,-1.9994,243
0.189148,-0.110137,9.62259,-0.000349,-0.013801,0.005213,6.36,9.24,-12.42,324.0944,0.6768,-1.9994,253
0.28013,-0.105348,9.591465,-0.022951,-0.015633,0.00277,6.54,9.54,-12.9,324.0944,0.6768,-1.9994,263
0.373507,-0.122108,9.703996,-0.02906,-0.008914,-0.000285,6.54,9.54,-12.9,324.0944,0.6768,-1.9994,273
0.38069,-0.119714,9.828498,-0.024173,-0.012579,-0.001506,7.02,9.48,-12.84,319.9613,0.6345,-1.9718,284
0.390267,-0.155628,9.878778,-0.00768,-0.009525,0.005213,7.02,9.48,-12.84,319.9613,0.6345,-1.9718,294
0.390267,-0.155628,9.878778,0.01309,0.00819,-0.000285,6.72,9.48,-12.42,319.9613,0.6345,-1.9718,303
0.375901,-0.165205,9.73991,0.01309,0.00819,-0.000285,6.72,9.48,-12.42,319.9613,0.6345,-1.9718,313
0.323227,-0.110137,9.665688,0.009424,0.006358,-0.001506,6.96,9.12,-11.88,320.076,0.68,-1.9992,323
0.272947,-0.153234,9.684841,0.009424,0.006358,-0.001506,6.96,9.12,-11.88,320.076,0.68,-1.9992,333
0.272947,-0.153234,9.684841,-0.002793,-0.007692,-0.005172,6.6,8.82,-11.88,320.076,0.68,-1.9992,343
0.241822,-0.136474,9.742304,-0.015621,-0.008914,-0.004561,6.6,8.82,-11.88,320.076,0.68,-1.9992,353
0.258582,-0.081405,9.802161,-0.015621,-0.010746,-0.000896,6.48,9.3,-12.36,324.0882,0.6904,-1.9966,363
0.294496,-0.193936,9.845258,-0.006458,-0.013801,-0.000285,6.48,9.3,-12.36,324.0882,0.6904,-1.9966,373
0.371113,-0.342381,9.632168,0.005759,-0.010135,-0.000896,6.66,9.24,-11.58,324.0882,0.6904,-1.9966,384
0.440547,-0.237033,9.615408,0.005759,0.002693,0.003381,6.66,9.24,-11.58,324.0882,0.6904,-1.9966,393
0.440547,-0.237033,9.615408,0.005148,0.005136,0.000937,6.96,9.3,-11.1,320.237,0.7404,-1.9616,403
0.452518,-0.086194,10.079897,0.019809,0.00758,0.007046,6.96,9.3,-11.1,320.237,0.7404,-1.9616,413
0.328016,0.090982,10.122993,0.032026,0.00758,0.013765,7.26,9.66,-11.7,320.237,0.7404,-1.9616,423
0.373507,0.337593,9.371192,0.032026,0.00758,0.013765,7.26,9.66,-11.7,320.237,0.7404,-1.9616,433
0.26337,0.114925,8.779806,0.021642,0.009412,0.011933,6.84,9.9,-12.48,322.9856,0.8279,-1.9812,443
0.045491,-0.184359,9.431048,-0.018675,0.035679,0.011322,6.84,9.9,-12.48,322.9856,0.8279,-1.9812,453
0.045491,-0.184359,9.431048,-0.05716,0.02896,0.010711,6.6,9.96,-12.36,322.9856,0.8279,-1.9812,463
0.177176,-0.545895,10.374393,-0.073042,-0.043122,0.006435,6.6,9.96,-12.36,322.9856,0.8279,-1.9812,474
0.462095,-0.615329,10.702409,-0.054106,-0.074887,-0.002728,6.24,9.36,-11.7,324.1665,0.609,-1.9661,483
0.481249,-0.476461,10.096657,0.002094,-0.017466,-0.000285,6.24,9.36,-11.7,324.1665,0.609,-1.9661,493
0.567443,-0.004789,9.486116,0.050352,0.005136,-0.002728,6.06,9.18,-11.94,324.1665,0.609,-1.9661,504
0.567443,-0.004789,9.486116,0.090059,-0.012579,-0.005782,6.06,9.18,-11.94,324.1665,0.609,-1.9661,513
0.555472,0.205908,9.42626,0.098611,0.02163,-0.002117,6.72,9.78,-12.36,323.0328,0.821,-1.9243,524
0.354353,0.268159,9.395134,0.057072,0.074164,0.007657,6.72,9.78,-12.36,323.0328,0.821,-1.9243,533
