ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.122108,0.114925,9.787795,0.095062,0.117015,9.805491,0.001466,0.001526,0.295474,-2.16,-33.6,-8.94,176.7783,-0.6863,-0.5876,55.81407,37.500324,210.7,NaN,,12.883,,0 / 1,,21,2021-05-02 18:54:00:134
0.122108,0.114925,9.787795,0.093528,0.117705,9.805497,0.001466,0.001526,0.295474,-3.06,-33.72,-9.3,176.7783,-0.6863,-0.5876,55.81407,37.500324,210.7,NaN,,12.883,,0 / 1,,30,2021-05-02 18:54:00:143
0.114925,0.10056,9.778218,0.093528,0.117705,9.805497,-0.002199,-0.001528,0.317465,-3.06,-33.72,-9.3,176.7783,-0.6863,-0.5876,55.81407,37.500324,210.7,NaN,,12.883,,0 / 1,,40,2021-05-02 18:54:00:153
-0.03352,0.026337,9.780613,0.094455,0.116841,9.805499,-0.002199,-0.001528,0.317465,-3.9,-33.42,-8.16,173.1995,-0.6877,-0.5465,55.81407,37.500324,210.7,NaN,,12.883,,0 / 1,,50,2021-05-02 18:54:00:163
-0.076617,0.081405,9.823709,0.094455,0.116841,9.805499,-0.00281,-9.18E-4,0.366945,-3.9,-33.42,-8.16,173.1995,-0.6877,-0.5465,55.81407,37.500324,210.7,NaN,,12.883,,0 / 1,,60,2021-05-02 18:54:00:173
-0.007183,0.095771,9.792584,0.094874,0.116152,9.805503,-0.002199,3.04E-4,0.404819,-4.08,-33.6,-7.98,173.1995,-0.6877,-0.5465,55.81407,37.500324,210.7,NaN,,12.883,,0 / 1,,70,2021-05-02 18:54:00:183
-0.007183,0.095771,9.792584,0.095262,0.115636,9.805505,-0.003421,0.003969,0.42681,-4.56,-33.54,-8.64,173.1995,-0.6877,-0.5465,55.81407,37.500324,210.7,NaN,,12.883,,0 / 1,,80,2021-05-02 18:54:00:193
0.045491,0.119714,9.75667,0.095262,0.115636,9.805505,-0.002199,-0.001528,0.44086,-4.56,-33.54,-8.64,173.1995,-0.6877,-0.5465,55.81407,37.500324,210.7,NaN,,12.883,,0 / 1,,90,2021-05-02 18:54:00:203
0.088588,0.134079,9.783007,0.095735,0.114649,9.805512,-3.67E-4,0.002137,0.437194,-5.04,-33.24,-8.58,171.5056,-0.6756,-0.5566,55.81407,37.500324,210.7,NaN,,12.883,,0 / 1,,100,2021-05-02 18:54:00:213
0.088588,0.134079,9.783007,0.095735,0.114649,9.805512,-3.67E-4,0.003359,0.431086,-5.04,-33.24,-8.58,171.5056,-0.6756,-0.5566,55.81407,37.500324,210.7,NaN,,12.883,,0 / 1,,110,2021-05-02 18:54:00:223
0.198725,0.122108,9.768641,0.096098,0.113727,9.80552,-3.67E-4,0.002748,0.418868,-5.88,-33.12,-8.28,171.5056,-0.6756,-0.5566,55.81407,37.500324,210.7,NaN,,12.883,,0 / 1,,120,2021-05-02 18:54:00:233
0.134079,0.112531,9.780613,0.096098,0.113727,9.80552,-9.77E-4,-3.07E-4,0.412149,-5.88,-33.12,-8.28,171.5056,-0.6756,-0.5566,55.81407,37.500324,210.7,NaN,,12.883,,0 / 1,,130,2021-05-02 18:54:00:243
0.086194,0.124502,9.787795,0.096606,0.112917,9.805525,-9.77E-4,3.04E-4,0.409095,-6.0,-32.94,-8.82,169.8115,-0.6645,-0.5615,55.81407,37.500324,210.7,NaN,,12.883,,0 / 1,,140,2021-05-02 18:54:00:253
0.086194,0.124502,9.787795,0.096606,0.112917,9.805525,-3.67E-4,0.003359,0.413982,-6.0,-32.94,-8.82,169.8115,-0.6645,-0.5615,55.81407,37.500324,210.7,NaN,,12.883,,0 / 1,,150,2021-05-02 18:54:00:263
0.119714,0.119714,9.77343,0.097346,0.111986,9.805528,-3.67E-4,0.003359,0.413982,-6.54,-32.22,-8.64,169.8115,-0.6645,-0.5615,55.81407,37.500324,210.7,NaN,,12.883,,0 / 1,,160,2021-05-02 18:54:00:273
0.184359,0.124502,9.77343,0.097346,0.111986,9.805528,-0.003421,0.003969,0.405429,-6.54,-32.22,-8.64,169.8115,-0.6645,-0.5615,55.81407,37.500324,210.7,NaN,,12.883,,0 / 1,,170,2021-05-02 18:54:00:283
0.184359,0.124502,9.77343,0.097352,0.110881,9.805539,2.44E-4,0.003969,0.393823,-7.26,-32.76,-8.34,168.1235,-0.6543,-0.5688,55.81407,37.500324,210.7,NaN,,12.883,,0 / 1,,180,2021-05-02 18:54:00:293
0.201119,0.102954,9.761458,0.097352,0.110881,9.805539,-0.002199,9.15E-4,0.38466,-7.26,-32.76,-8.34,168.1235,-0.6543,-0.5688,55.81407,37.500324,210.7,NaN,,12.883,,0 / 1,,190,2021-05-02 18:54:00:303
0.071828,0.081405,9.780613,0.09743,0.110364,9.805546,2.44E-4,0.002137,0.388936,-8.1,-32.82,-8.22,168.1235,-0.6543,-0.5688,55.81407,37.500324,210.7,NaN,,12.883,,0 / 1,,200,2021-05-02 18:54:00:313
-0.052674,0.076617,9.785401,0.097788,0.109107,9.805556,2.44E-4,0.003969,0.413982,-9.3,-32.7,-8.28,168.1235,-0.6543,-0.5688,55.81407,37.500324,210.7,NaN,,12.883,,0 / 1,,210,2021-05-02 18:54:00:323
-0.088588,0.098165,9.780613,0.097788,0.109107,9.805556,-0.001588,-3.07E-4,0.443914,-9.3,-32.7,-8.28,168.1235,-0.6543,-0.5688,55.81407,37.500324,210.7,NaN,,12.883,,0 / 1,,220,2021-05-02 18:54:00:333
-0.088588,0.098165,9.780613,0.098278,0.108001,9.805563,-9.77E-4,-9.18E-4,0.471403,-8.82,-32.28,-7.8,164.3819,-0.6375,-0.5714,55.81407,37.500324,210.7,NaN,,12.883,,0 / 1,,230,2021-05-02 18:54:00:343
0.052674,0.177176,9.742304,0.098278,0.108001,9.805563,-0.002199,-0.020465,0.480566,-8.82,-32.28,-7.8,164.3819,-0.6375,-0.5714,55.81407,37.500324,210.7,NaN,,12.883,,0 / 1,,241,2021-05-02 18:54:00:354
0.110137,0.131685,9.768641,0.096787,0.107955,9.805579,-9.77E-4,-0.001528,0.485453,-8.7,-32.28,-8.22,164.3819,-0.6375,-0.5714,55.81407,37.500324,210.7,NaN,,12.883,,0 / 1,,250,2021-05-02 18:54:00:363
0.110137,0.131685,9.768641,0.096787,0.107955,9.805579,-9.77E-4,-0.001528,0.485453,-8.7,-32.28,-8.22,164.3819,-0.6375,-0.5714,55.81407,37.500324,210.7,NaN,,12.883,,0 / 1,,260,2021-05-02 18:54:00:373
0.210696,0.150839,9.747093,0.09489,0.108587,9.80559,0.002077,-0.008859,0.484231,-8.88,-31.68,-8.58,164.3819,-0.6375,-0.5714,55.81407,37.500324,210.7,NaN,,12.883,,0 / 1,,271,2021-05-02 18:54:00:384
0.155628,0.098165,9.703996,0.094579,0.109167,9.805586,2.44E-4,0.014965,0.479344,-9.78,-31.62,-8.52,162.7368,-0.6344,-0.5544,55.81407,37.500324,210.7,NaN,,12.883,,0 / 1,,280,2021-05-02 18:54:00:393
0.169994,0.122108,9.749487,0.095253,0.108703,9.805585,-0.004643,0.001526,0.462851,-9.9,-31.44,-7.98,162.7368,-0.6344,-0.5544,55.81407,37.500324,210.7,NaN,,12.883,,0 / 1,,290,2021-05-02 18:54:00:403
0.129291,0.122108,9.744699,0.095253,0.108703,9.805585,2.44E-4,0.002748,0.465905,-9.9,-31.44,-7.98,162.7368,-0.6344,-0.5544,55.81407,37.500324,210.7,NaN,,12.883,,0 / 1,,301,2021-05-02 18:54:00:414
0.129291,0.122108,9.744699,0.096788,0.107724,9.80558,0.001466,0.003359,0.462851,-10.62,-30.84,-7.98,162.7368,-0.6344,-0.5544,55.81407,37.500324,210.7,NaN,,12.883,,0 / 1,,310,2021-05-02 18:54:00:423
0.079011,0.105348,9.754275,0.096788,0.107724,9.80558,-0.002199,0.005191,0.467738,-10.62,-30.84,-7.98,162.7368,-0.6344,-0.5544,55.81407,37.500324,210.7,NaN,,12.883,,0 / 1,,321,2021-05-02 18:54:00:434
0.124502,0.098165,9.814133,0.097287,0.107354,9.80558,2.44E-4,0.003359,0.472625,-11.52,-30.24,-7.5,158.2616,-0.6272,-0.5684,55.81407,37.500324,210.7,NaN,,12.883,,0 / 1,,330,2021-05-02 18:54:00:443
0.055068,0.074223,9.77343,0.097675,0.106505,9.805585,-9.77E-4,0.006413,0.475679,-11.52,-30.24,-7.5,158.2616,-0.6272,-0.5684,55.81407,37.500324,210.7,NaN,,12.883,,0 / 1,,340,2021-05-02 18:54:00:453
0.055068,0.035914,9.763853,0.097675,0.106505,9.805585,0.001466,0.00458,0.494005,-11.76,-30.9,-7.26,158.2616,-0.6272,-0.5684,55.81407,37.500324,210.7,NaN,,12.883,,0 / 1,,351,2021-05-02 18:54:00:464
0.009577,0.035914,9.763853,0.097584,0.105113,9.805601,-9.77E-4,0.00458,0.501946,-12.06,-30.66,-7.56,158.2616,-0.6272,-0.5684,55.81407,37.500324,210.7,NaN,,12.883,,0 / 1,,360,2021-05-02 18:54:00:473
