ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.110137,0.131685,9.708784,0.113539,0.131067,9.805117,-0.001709,-0.001453,-0.001122,5.94,-32.28,-44.82,191.7316,-0.7655,-0.6627,55.813812,37.500263,220.903,NaN,0.0,48.0,,11 / 12,,36,2021-05-02 18:36:18:730
0.110137,0.131685,9.708784,0.113539,0.131067,9.805117,-0.001709,-2.31E-4,-0.001732,5.94,-32.28,-44.82,191.7316,-0.7655,-0.6627,55.813812,37.500263,220.903,NaN,0.0,48.0,,11 / 12,,42,2021-05-02 18:36:18:736
0.126897,0.141262,9.718362,0.113539,0.131067,9.805117,0.001346,-0.001453,7.11E-4,6.24,-31.5,-44.46,191.7316,-0.7655,-0.6627,55.813812,37.500263,220.903,NaN,0.0,48.0,,11 / 12,,53,2021-05-02 18:36:18:747
0.119714,0.129291,9.713573,0.114104,0.131006,9.805112,-0.001709,0.002213,-5.11E-4,6.48,-31.86,-44.34,191.7119,-0.7654,-0.6667,55.813812,37.500263,220.903,NaN,0.0,48.0,,11 / 12,,63,2021-05-02 18:36:18:757
0.107742,0.124502,9.727939,0.114104,0.131006,9.805112,-0.001709,0.002213,-5.11E-4,6.48,-31.86,-44.34,191.7119,-0.7654,-0.6667,55.813812,37.500263,220.903,NaN,0.0,48.0,,11 / 12,,72,2021-05-02 18:36:18:766
0.107742,0.124502,9.727939,0.114322,0.130845,9.805111,-0.001098,3.8E-4,-0.002343,7.02,-32.34,-44.82,191.7119,-0.7654,-0.6667,55.813812,37.500263,220.903,NaN,0.0,48.0,,11 / 12,,83,2021-05-02 18:36:18:777
0.119714,0.131685,9.70639,0.114322,0.130845,9.805111,1.24E-4,3.8E-4,-0.001122,7.02,-32.34,-44.82,191.7119,-0.7654,-0.6667,55.813812,37.500263,220.903,NaN,0.0,48.0,,11 / 12,,93,2021-05-02 18:36:18:787
0.107742,0.124502,9.72315,0.114473,0.131541,9.805099,-4.87E-4,-0.001453,0.001933,7.14,-32.34,-44.46,191.7119,-0.7654,-0.6667,55.813812,37.500263,220.903,NaN,0.0,48.0,,11 / 12,,103,2021-05-02 18:36:18:797
0.107742,0.117319,9.727939,0.114473,0.131541,9.805099,1.24E-4,-0.002064,-0.002343,6.66,-32.58,-44.1,193.0524,-0.7686,-0.6689,55.813812,37.500263,220.903,NaN,0.0,48.0,,11 / 12,,112,2021-05-02 18:36:18:806
0.105348,0.126897,9.713573,0.114615,0.131983,9.805092,7.35E-4,-0.001453,-0.001732,6.66,-32.58,-44.1,193.0524,-0.7686,-0.6689,55.813812,37.500263,220.903,NaN,0.0,48.0,,11 / 12,,122,2021-05-02 18:36:18:816
0.105348,0.126897,9.713573,0.114615,0.131983,9.805092,0.003178,-8.42E-4,7.11E-4,6.66,-32.28,-44.76,193.0524,-0.7686,-0.6689,55.813812,37.500263,220.903,NaN,0.0,48.0,,11 / 12,,132,2021-05-02 18:36:18:826
0.117319,0.129291,9.730332,0.114683,0.132054,9.80509,0.001346,3.8E-4,7.11E-4,5.4,-32.28,-44.76,193.0524,-0.7686,-0.6689,55.813812,37.500263,220.903,NaN,0.0,48.0,,11 / 12,,143,2021-05-02 18:36:18:837
0.122108,0.119714,9.708784,0.114683,0.132054,9.80509,-0.001098,-0.003285,-0.001732,5.4,-32.28,-44.76,193.0524,-0.7686,-0.6689,55.813812,37.500263,220.903,NaN,0.0,48.0,,11 / 12,,152,2021-05-02 18:36:18:846
0.122108,0.131685,9.713573,0.115044,0.132114,9.805085,-0.001709,-0.001453,-0.001122,5.52,-32.34,-44.58,191.7436,-0.7716,-0.6701,55.813812,37.500263,220.903,NaN,0.0,48.0,,11 / 12,,163,2021-05-02 18:36:18:857
