ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms 
0.021548,-0.019154,9.826104,-0.158788,0.069481,0.2753,8.16,1.98,-44.34,278.9923,0.7548,0.0338,23
0.021548,-0.019154,9.826104,-0.102589,0.079866,0.267359,8.16,1.98,-44.34,278.9923,0.7548,0.0338,33
0.337593,0.055068,9.663293,-0.072656,0.076201,0.208105,8.1,2.04,-44.22,277.2297,1.3024,0.1635,42
0.318439,-0.062251,9.282603,-0.072656,0.04749,0.096928,8.1,2.04,-44.22,277.2297,1.3024,0.1635,53
0.110137,-0.588992,9.253872,-0.105032,-0.005045,0.001633,8.28,1.74,-44.16,277.2297,1.3024,0.1635,63
0.146051,-0.885882,9.387952,-0.154512,-0.033144,-0.062508,8.28,1.74,-44.16,277.2297,1.3024,0.1635,73
0.146051,-0.885882,9.387952,-0.208268,-0.044751,-0.115653,8.28,1.74,-44.16,277.2297,1.3024,0.1635,83
0.272947,-0.797293,9.490906,-0.238201,-0.05147,-0.171242,8.28,1.62,-44.1,276.2118,1.5016,0.3055,93
0.019154,-0.390267,9.747093,-0.246142,-0.041696,-0.246989,7.68,2.28,-44.52,276.2118,1.5016,0.3055,102
-0.373507,-0.014366,9.627379,-0.226594,-0.025203,-0.250655,7.68,2.28,-44.52,276.2118,1.5016,0.3055,113
-0.682368,-0.028731,9.526819,-0.20949,-0.024592,-0.193844,7.92,2.88,-44.88,280.4408,1.9766,0.2005,122
-0.682368,-0.028731,9.526819,-0.210712,-0.00199,-0.064341,7.92,2.88,-44.88,280.4408,1.9766,0.2005,133
-0.725465,-0.299284,9.330489,-0.242477,0.005951,0.051724,8.76,3.54,-44.88,280.4408,1.9766,0.2005,143
-0.356747,-0.588992,9.105427,-0.30112,-0.000158,0.129915,8.76,3.54,-44.88,280.4408,1.9766,0.2005,153
-0.090982,-1.242629,9.067119,-0.377478,-0.028257,0.14763,8.28,3.72,-43.92,284.853,2.4808,0.1513,163
0.052674,-1.352765,9.328094,-0.455669,-0.053914,0.137856,8.28,3.72,-43.92,284.853,2.4808,0.1513,173
