Keuwl Accelerometer Data File
2021-04-25 22-14-07

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.275342,-0.043097,9.964972,9.968868,1.602055,188.895859
0.0020000,-0.280130,-0.035914,9.936240,9.940253,1.628107,187.305756
0.0040000,-0.289707,-0.028731,9.919480,9.923752,1.681094,185.663712
0.0060000,-0.282524,-0.038308,9.917087,9.921185,1.646870,187.721832
0.0080000,-0.280130,-0.052674,9.926663,9.930755,1.644729,190.649216
0.0100000,-0.265765,-0.047885,9.917087,9.920763,1.559845,190.213974
0.0120000,-0.263370,-0.050280,9.914692,9.918317,1.549145,190.808228
0.0140000,-0.251399,-0.043097,9.902720,9.906005,1.475517,189.727585
0.0160000,-0.246610,-0.040703,9.893144,9.896300,1.447127,189.372086
0.0180000,-0.251399,-0.050280,9.864412,9.867743,1.488852,191.309937
0.0200000,-0.253793,-0.050280,9.854836,9.858232,1.504022,191.205948
0.0220000,-0.239427,-0.050280,9.847652,9.850691,1.423128,191.859772
0.0240000,-0.241822,-0.081405,9.869201,9.872499,1.480945,198.604965
0.0260001,-0.239427,-0.088588,9.869201,9.872502,1.481869,200.304474
0.0280001,-0.239427,-0.093377,9.866806,9.870152,1.492003,201.305786
0.0300002,-0.256187,-0.098165,9.866806,9.870620,1.592745,200.965714
0.0320003,-0.272947,-0.110137,9.885961,9.890341,1.705250,201.974503
0.0340003,-0.289707,-0.114925,9.917087,9.921983,1.800050,201.637939
0.0360004,-0.323227,-0.114925,9.909904,9.915839,1.982582,199.573120
0.0380004,-0.328016,-0.124502,9.905115,9.911326,2.028544,200.784866
0.0400005,-0.342381,-0.134079,9.914692,9.921508,2.123938,201.385727
0.0420005,-0.373507,-0.138868,9.909904,9.917912,2.302568,200.394882
0.0440005,-0.378295,-0.150839,9.909904,9.918268,2.353266,201.738861
0.0460005,-0.399844,-0.177176,9.897932,9.907589,2.529948,203.898788
0.0480005,-0.414210,-0.184359,9.900327,9.910703,2.622042,203.993210
0.0500005,-0.418998,-0.181965,9.893144,9.903685,2.643750,203.474625
0.0520005,-0.423787,-0.181965,9.909904,9.920630,2.664548,203.237640
0.0540005,-0.426181,-0.193936,9.919480,9.930525,2.702478,204.468201
0.0560005,-0.435758,-0.208302,9.936240,9.947971,2.782841,205.548828
0.0580005,-0.430969,-0.225062,9.938635,9.950521,2.800720,207.574570
0.0600005,-0.423787,-0.222668,9.955395,9.966899,2.753139,207.718506
0.0620005,-0.438152,-0.215485,9.964972,9.976927,2.805190,206.188110
0.0640005,-0.414210,-0.191542,9.955395,9.965849,2.624579,204.817123
0.0660005,-0.404632,-0.184359,9.943423,9.953361,2.560479,204.495026
0.0680005,-0.371113,-0.191542,9.948212,9.956974,2.403873,207.299576
0.0700005,-0.356747,-0.189148,9.945818,9.954012,2.324984,207.932602
0.0720005,-0.330410,-0.191542,9.948212,9.955540,2.198468,210.101303
0.0740005,-0.313650,-0.184359,9.941029,9.947684,2.096018,210.446426
0.0760006,-0.304073,-0.181965,9.938635,9.944950,2.042006,210.897369
0.0780006,-0.256187,-0.172388,9.943423,9.948216,1.778613,213.936493
0.0800006,-0.229850,-0.162811,9.948212,9.952199,1.621965,215.311218
0.0820007,-0.229850,-0.155628,9.953000,9.956870,1.597529,214.101273
0.0840007,-0.184359,-0.134079,9.941029,9.943642,1.313582,216.027374
0.0860007,-0.172388,-0.143656,9.945818,9.948349,1.292406,219.805573
0.0880007,-0.162811,-0.134079,9.943423,9.945660,1.214987,219.472458
0.0900006,-0.124502,-0.129291,9.936240,9.937861,1.034954,226.080917
0.0920006,-0.122108,-0.131685,9.929058,9.930682,1.036276,227.161072
0.0940005,-0.114925,-0.112531,9.931452,9.932755,0.927884,224.396912
0.0960005,-0.107742,-0.105348,9.921875,9.923019,0.870207,224.356247
0.0980005,-0.098165,-0.112531,9.924269,9.925392,0.862073,228.900497
0.1000004,-0.071828,-0.102954,9.957788,9.958580,0.722534,235.097504
0.1020004,-0.055068,-0.081405,9.957788,9.958274,0.565791,235.922806
0.1040004,-0.050280,-0.074223,9.957788,9.958192,0.515862,235.885529
0.1060004,-0.045491,-0.064645,9.957788,9.958102,0.454995,234.865799
0.1080004,-0.047885,-0.052674,9.957788,9.958043,0.409739,227.726318
0.1100004,-0.055068,-0.050280,9.964972,9.965251,0.428872,222.397430
0.1120004,-0.107742,-0.043097,9.941029,9.941706,0.668811,201.801407
0.1140004,-0.119714,-0.040703,9.933846,9.934651,0.729273,198.778030
0.1160004,-0.153234,-0.014366,9.878778,9.879976,0.892629,185.355820
0.1180004,-0.179571,0.011971,9.847652,9.849297,1.046985,176.185928
0.1200005,-0.201119,0.021548,9.823709,9.825792,1.179685,173.884491
0.1220005,-0.265765,0.023943,9.799767,9.803399,1.559845,174.852112
0.1240005,-0.320833,0.031126,9.799767,9.805066,1.883879,174.458801
0.1260006,-0.344776,0.038308,9.821315,9.827439,2.022940,173.659805
0.1280006,-0.402238,0.043097,9.866806,9.875095,2.347771,173.884491
0.1300007,-0.416604,0.038308,9.873989,9.882848,2.426161,174.746201
0.1320007,-0.445335,0.043097,9.888355,9.898472,2.590650,174.472458
0.1340007,-0.471672,0.045491,9.878778,9.890136,2.746234,174.491043
0.1360006,-0.466884,0.035914,9.885961,9.897044,2.711877,175.601288
0.1380006,-0.464489,0.026337,9.869201,9.880160,2.698926,176.754745
0.1400006,-0.464489,0.016760,9.862018,9.872965,2.698419,177.933517
0.1420005,-0.457306,0.002394,9.847652,9.858265,2.658812,179.700027
0.1440005,-0.442941,-0.019154,9.835681,9.845669,2.580961,182.476120
0.1460005,-0.442941,-0.026337,9.838076,9.848078,2.582553,183.402771
0.1480005,-0.435758,-0.052674,9.830893,9.840686,2.556348,186.892426
0.1500005,-0.392661,-0.076617,9.845258,9.853383,2.327004,191.040939
0.1520005,-0.368718,-0.083800,9.869201,9.876442,2.194191,192.804260
0.1540005,-0.339987,-0.122108,9.893144,9.899737,2.091251,199.755997
0.1560005,-0.328016,-0.148445,9.912297,9.918834,2.080178,204.349350
0.1580005,-0.296890,-0.150839,9.929058,9.934641,1.920913,206.933502
0.1600005,-0.277736,-0.184359,9.974549,9.980118,1.914075,213.575928
0.1620005,-0.275342,-0.201119,9.979338,9.985161,1.956848,216.145691
0.1640005,-0.260976,-0.205908,9.974549,9.980087,1.908854,218.273117
0.1660005,-0.234639,-0.210696,9.988914,9.993891,1.808185,221.922546
0.1680005,-0.225062,-0.215485,10.003280,10.008131,1.784106,223.754639
0.1700006,-0.227456,-0.251399,9.988914,9.994666,1.943903,227.862411
0.1720006,-0.241822,-0.258582,9.981731,9.988008,2.031436,226.918274
0.1740006,-0.246610,-0.258582,9.981731,9.988125,2.050137,226.357468
0.1760007,-0.234639,-0.241822,9.993703,9.999382,1.931176,225.863693
0.1780007,-0.237033,-0.220273,9.996098,10.001333,1.854036,222.901093
0.1800007,-0.256187,-0.222668,10.003280,10.009037,1.943400,220.995819
0.1820007,-0.272947,-0.229850,9.998491,10.004857,2.044018,220.100906
0.1840006,-0.289707,-0.215485,9.996098,10.002616,2.068573,216.641937
0.1860006,-0.320833,-0.196331,9.979338,9.986423,2.158489,211.464142
0.1880006,-0.316044,-0.172388,9.974549,9.981044,2.067059,208.610458
0.1900005,-0.318439,-0.165205,9.964972,9.971427,2.061750,207.420151
0.1920005,-0.318439,-0.141262,9.941029,9.947131,2.007109,203.922501
0.1940005,-0.337593,-0.122108,9.917087,9.923582,2.073204,199.885162
0.1960005,-0.349564,-0.105348,9.900327,9.907056,2.111925,196.771225
0.1980005,-0.359141,-0.067040,9.895537,9.902280,2.114518,190.573517
0.2000005,-0.361535,-0.052674,9.897932,9.904673,2.113963,188.289398
0.2020005,-0.373507,-0.035914,9.890749,9.897864,2.172678,185.492325
0.2040005,-0.380690,-0.007183,9.893144,9.900468,2.204070,181.080917
0.2060005,-0.387873,0.009577,9.885961,9.893571,2.247422,178.585571
0.2080005,-0.395055,0.035914,9.850046,9.858030,2.306135,174.805573
0.2100005,-0.397450,0.038308,9.823709,9.831820,2.327508,174.494522
0.2120005,-0.385478,0.059857,9.821315,9.829059,2.274516,171.173630
0.2140005,-0.402238,0.090982,9.814133,9.822794,2.406233,167.254715
0.2160005,-0.435758,0.102954,9.842864,9.853044,2.604666,166.706848
0.2180005,-0.433364,0.112531,9.862018,9.872176,2.599475,165.443573
0.2200005,-0.395055,0.114925,9.866806,9.875381,2.387779,163.779800
0.2220005,-0.356747,0.100560,9.871595,9.878551,2.150313,164.257965
0.2240005,-0.349564,0.083800,9.864412,9.870960,2.087035,166.519104
0.2260004,-0.316044,0.076617,9.787795,9.793196,1.902898,166.373001
0.2280004,-0.284919,0.074223,9.790190,9.794616,1.722492,165.398727
0.2300004,-0.215485,0.052674,9.787795,9.790309,1.298449,166.263733
0.2320004,-0.208302,0.069434,9.804555,9.807014,1.282984,161.565048
0.2340004,-0.210696,0.079011,9.821315,9.823893,1.312539,159.443954
0.2360004,-0.225062,0.098165,9.847652,9.850713,1.428207,156.434601
0.2380004,-0.227456,0.090982,9.883567,9.886602,1.419824,158.198593
0.2400004,-0.268159,0.074223,9.883567,9.887483,1.612526,164.528671
0.2420004,-0.272947,0.055068,9.897932,9.901848,1.611434,168.593445
0.2440004,-0.265765,0.052674,9.905115,9.908820,1.566855,168.789368
0.2460005,-0.237033,0.023943,9.914692,9.917554,1.376577,174.232117
0.2480005,-0.272947,-0.011971,9.921875,9.925636,1.577436,182.511368
0.2500004,-0.287313,-0.019154,9.919480,9.923658,1.662717,183.814072
0.2520005,-0.323227,-0.038308,9.905115,9.910461,1.882112,186.759079
0.2540005,-0.368718,-0.038308,9.902720,9.909657,2.143841,185.931534
0.2560005,-0.387873,-0.055068,9.912297,9.920036,2.263389,188.080582
0.2580005,-0.407027,-0.069434,9.941029,9.949600,2.378499,189.680801
0.2600005,-0.399844,-0.079011,9.953000,9.961342,2.345018,191.177917
0.2620005,-0.373507,-0.069434,9.960183,9.967425,2.184268,190.530930
0.2640004,-0.359141,-0.076617,9.996098,10.002840,2.103847,192.042572
0.2660004,-0.351958,-0.088588,10.000886,10.007469,2.078390,194.127914
0.2680005,-0.332804,-0.102954,9.988914,9.994987,1.997432,197.189590
0.2700005,-0.294496,-0.102954,9.984126,9.988999,1.789801,199.269287
0.2720005,-0.292102,-0.107742,9.974549,9.979407,1.787831,200.246628
0.2740005,-0.325621,-0.134079,9.960183,9.966406,2.024777,202.380142
0.2760005,-0.311256,-0.138868,9.957788,9.963620,1.960445,204.044220
0.2780005,-0.284919,-0.129291,9.941029,9.945951,1.802766,204.407669
0.2800006,-0.256187,-0.117319,9.926663,9.930662,1.626062,204.605118
0.2820006,-0.215485,-0.112531,9.919480,9.922459,1.403885,207.574570
0.2840006,-0.201119,-0.112531,9.924269,9.926945,1.330457,209.228058
0.2860007,-0.179571,-0.105348,9.921875,9.924059,1.202033,210.398727
0.2880007,-0.179571,-0.117319,9.902720,9.905044,1.240962,213.157928
0.2900007,-0.215485,-0.122108,9.909904,9.912998,1.431765,209.538788
0.2920007,-0.217879,-0.107742,9.926663,9.929639,1.402629,206.312653
0.2940006,-0.215485,-0.093377,9.926663,9.929440,1.355086,203.428696
0.2960006,-0.210696,-0.093377,9.926663,9.929338,1.330015,203.902054
0.2980006,-0.222668,-0.090982,9.917087,9.920004,1.389594,202.225037
0.3000005,-0.225062,-0.088588,9.885961,9.888919,1.401513,201.485443
0.3020005,-0.215485,-0.079011,9.890749,9.893412,1.329279,200.136307
0.3040004,-0.217879,-0.071828,9.890749,9.893409,1.328543,198.245850
0.3060004,-0.227456,-0.062251,9.888355,9.891167,1.366160,195.306137
0.3080004,-0.260976,-0.057463,9.912297,9.915899,1.544337,192.417450
0.3100004,-0.270553,-0.055068,9.917087,9.920930,1.594832,191.504822
0.3120005,-0.294496,-0.047885,9.941029,9.945505,1.719194,189.235565
0.3140004,-0.304073,-0.040703,9.936240,9.940975,1.768461,187.624191
0.3160004,-0.316044,-0.035914,9.902720,9.907827,1.839730,186.483078
0.3180004,-0.320833,-0.026337,9.897932,9.903166,1.862881,184.692856
0.3200004,-0.318439,-0.026337,9.888355,9.893517,1.850760,184.727982
0.3220004,-0.299284,-0.019154,9.883567,9.888115,1.737875,183.661942
0.3240005,-0.301679,-0.028731,9.883567,9.888211,1.756135,185.440338
0.3260005,-0.306467,-0.033520,9.883567,9.888374,1.786736,186.241913
0.3280006,-0.306467,-0.035914,9.893144,9.897955,1.786517,186.683868
0.3300006,-0.320833,-0.038308,9.897932,9.903204,1.869593,186.809052
0.3320006,-0.330410,-0.035914,9.912297,9.917868,1.920404,186.203445
0.3340007,-0.342381,-0.028731,9.924269,9.930215,1.982878,184.796799
0.3360007,-0.328016,-0.023943,9.917087,9.922539,1.899501,184.174774
0.3380006,-0.308861,-0.023943,9.929058,9.933889,1.787065,184.432663
0.3400006,-0.284919,-0.031126,9.912297,9.916440,1.656231,186.234482
0.3420005,-0.258582,-0.043097,9.919480,9.922944,1.513878,189.462326
0.3440005,-0.244216,-0.050280,9.900327,9.903466,1.442793,191.633636
0.3460005,-0.241822,-0.071828,9.907509,9.910720,1.458576,196.542984
0.3480004,-0.246610,-0.071828,9.902720,9.906052,1.485958,196.238846
0.3500004,-0.237033,-0.055068,9.912297,9.915284,1.406391,193.079117
0.3520004,-0.229850,-0.050280,9.921875,9.924664,1.358547,192.339081
0.3540004,-0.215485,-0.057463,9.924269,9.926774,1.287248,194.931412
0.3560004,-0.213090,-0.064645,9.924269,9.926766,1.285270,196.876266
0.3580004,-0.205908,-0.069434,9.929058,9.931436,1.253670,198.634583
0.3600004,-0.186753,-0.069434,9.938635,9.940632,1.148418,200.394882
0.3620004,-0.184359,-0.086194,9.950606,9.952687,1.171696,205.057617
0.3640004,-0.189148,-0.090982,9.941029,9.943244,1.209499,205.688141
0.3660004,-0.215485,-0.095771,9.933846,9.936645,1.359699,203.962494
0.3680004,-0.222668,-0.100560,9.924269,9.927276,1.410282,204.304550
0.3700004,-0.241822,-0.105348,9.921875,9.925381,1.522900,203.540039
0.3720004,-0.251399,-0.093377,9.914692,9.918319,1.549524,200.376434
0.3740004,-0.265765,-0.088588,9.929058,9.933009,1.616163,198.434952
0.3760004,-0.265765,-0.095771,9.929058,9.933076,1.629668,199.817154
0.3780004,-0.277736,-0.100560,9.926663,9.931057,1.704332,199.903748
0.3800004,-0.289707,-0.102954,9.921875,9.926638,1.774868,199.563782
0.3820004,-0.294496,-0.102954,9.941029,9.945923,1.797547,199.269287
0.3840004,-0.330410,-0.107742,9.957788,9.963851,1.998803,198.060471
0.3860004,-0.337593,-0.105348,9.969760,9.976030,2.031532,197.330887
0.3880004,-0.368718,-0.093377,9.962578,9.969836,2.186417,194.211197
0.3900004,-0.385478,-0.079011,9.962578,9.970345,2.261832,191.583420
0.3920004,-0.409421,-0.071828,9.960183,9.968853,2.389746,189.950623
0.3940004,-0.392661,-0.062251,9.948212,9.956153,2.288585,189.008499
0.3960004,-0.383084,-0.059857,9.938635,9.946196,2.234145,188.880661
0.3980004,-0.375901,-0.055068,9.900327,9.907614,2.197667,188.334366
0.4000004,-0.363930,-0.069434,9.885961,9.892900,2.146213,190.801620
0.4020004,-0.354353,-0.062251,9.888355,9.894898,2.083750,189.963806
0.4040004,-0.347170,-0.045491,9.893144,9.899338,2.026999,187.465195
0.4060004,-0.349564,-0.045491,9.907509,9.913778,2.037785,187.414627
0.4080004,-0.349564,-0.052674,9.909904,9.916206,2.042964,188.569138
0.4100004,-0.332804,-0.047885,9.917087,9.922785,1.941788,188.187805
0.4120004,-0.316044,-0.043097,9.931452,9.936572,1.839411,187.765167
0.4140004,-0.280130,-0.050280,9.912297,9.916383,1.644729,190.175507
0.4160004,-0.251399,-0.047885,9.900327,9.903634,1.480813,190.784302
0.4180004,-0.241822,-0.045491,9.897932,9.900990,1.423953,190.653900
0.4200004,-0.213090,-0.055068,9.897932,9.900378,1.273646,194.489761
0.4220004,-0.186753,-0.055068,9.890749,9.892665,1.127612,196.429306
0.4240004,-0.186753,-0.050280,9.888355,9.890246,1.120474,195.068481
0.4260004,-0.174782,-0.050280,9.893144,9.894815,1.053320,196.048996
0.4280005,-0.174782,-0.050280,9.897932,9.899603,1.052763,196.048996
0.4300004,-0.177176,-0.067040,9.921875,9.923683,1.093785,200.725555
0.4320005,-0.169994,-0.067040,9.924269,9.925951,1.054805,201.522598
0.4340005,-0.165205,-0.062251,9.926663,9.928233,1.018948,200.646988
0.4360005,-0.172388,-0.069434,9.931452,9.933190,1.071919,201.938477
0.4380006,-0.179571,-0.076617,9.926663,9.928583,1.126744,203.106323
0.4400006,-0.189148,-0.079011,9.924269,9.926386,1.183329,202.671341
0.4420006,-0.201119,-0.074223,9.924269,9.926584,1.237646,200.256470
0.4440007,-0.213090,-0.074223,9.919480,9.922047,1.303112,199.203979
0.4460007,-0.241822,-0.076617,9.914692,9.917936,1.465536,197.579849
0.4480006,-0.263370,-0.069434,9.912297,9.916039,1.573958,194.769196
0.4500006,-0.268159,-0.067040,9.919480,9.923330,1.596059,194.036240
0.4520006,-0.289707,-0.057463,9.909904,9.914304,1.707085,191.218842
0.4540005,-0.299284,-0.059857,9.909904,9.914602,1.764029,191.309937
0.4560005,-0.301679,-0.059857,9.909904,9.914675,1.777622,191.222458
0.4580005,-0.325621,-0.062251,9.917087,9.922626,1.914689,190.823013
0.4600004,-0.359141,-0.057463,9.924269,9.930931,2.098818,189.090271
0.4620004,-0.368718,-0.069434,9.921875,9.928967,2.165640,190.664581
0.4640004,-0.368718,-0.076617,9.924269,9.931412,2.173218,191.738571
0.4660004,-0.375901,-0.079011,9.921875,9.929308,2.217085,191.870270
0.4680004,-0.373507,-0.076617,9.914692,9.922021,2.202382,191.592178
0.4700004,-0.356747,-0.083800,9.919480,9.926247,2.115628,193.219086
0.4720004,-0.347170,-0.086194,9.921875,9.928321,2.064691,193.943237
0.4740004,-0.325621,-0.079011,9.931452,9.937102,1.932291,193.639053
0.4760004,-0.313650,-0.076617,9.919480,9.924733,1.864246,193.727097
0.4780004,-0.311256,-0.083800,9.917087,9.922324,1.861725,195.068481
0.4800005,-0.292102,-0.093377,9.917087,9.921827,1.771225,197.727631
0.4820005,-0.284919,-0.093377,9.924269,9.928797,1.730427,198.145584
0.4840005,-0.277736,-0.088588,9.921875,9.926157,1.682955,197.690887
0.4860006,-0.251399,-0.090982,9.926663,9.930263,1.542689,199.895432
0.4880006,-0.239427,-0.095771,9.917087,9.920439,1.489509,201.801407
0.4900006,-0.222668,-0.098165,9.929058,9.932040,1.404024,203.790771
0.4920006,-0.215485,-0.083800,9.909904,9.912601,1.336620,201.250504
0.4940006,-0.208302,-0.074223,9.905115,9.907583,1.278860,199.612091
0.4960006,-0.181965,-0.090982,9.893144,9.895235,1.178025,206.565048
0.4980006,-0.184359,-0.093377,9.895537,9.897696,1.196485,206.861923
0.5000005,-0.196331,-0.088588,9.902720,9.905063,1.245998,204.285828
0.5020005,-0.201119,-0.074223,9.885961,9.888285,1.242223,200.256470
0.5040005,-0.196331,-0.079011,9.885961,9.888226,1.226369,201.921783
0.5060005,-0.196331,-0.090982,9.893144,9.895510,1.253045,204.863693
0.5080004,-0.184359,-0.086194,9.888355,9.890450,1.179188,205.057617
0.5100004,-0.181965,-0.093377,9.895537,9.897651,1.183990,207.164978
0.5120004,-0.191542,-0.119714,9.893144,9.895721,1.307759,212.005386
0.5140004,-0.213090,-0.119714,9.909904,9.912917,1.412778,209.327179
0.5160004,-0.215485,-0.122108,9.909904,9.912998,1.431765,209.538788
0.5180004,-0.234639,-0.134079,9.945818,9.949489,1.556454,209.744888
0.5200005,-0.246610,-0.126897,9.941029,9.944897,1.598142,207.228683
0.5220004,-0.304073,-0.136474,9.938635,9.944221,1.920608,204.171448
0.5240004,-0.313650,-0.141262,9.933846,9.939800,1.983174,204.245926
0.5260004,-0.304073,-0.146051,9.931452,9.937179,1.945312,205.655670
0.5280004,-0.313650,-0.158022,9.912297,9.918517,2.029219,206.739731
0.5300004,-0.318439,-0.165205,9.917087,9.923573,2.071788,207.420151
0.5320004,-0.330410,-0.174782,9.921875,9.928913,2.157491,207.878189
0.5340005,-0.320833,-0.174782,9.936240,9.942955,2.105800,208.580490
0.5360004,-0.323227,-0.179571,9.926663,9.933547,2.133133,209.054611
0.5380004,-0.354353,-0.196331,9.936240,9.944494,2.334562,208.988815
0.5400004,-0.366324,-0.203513,9.953000,9.961819,2.411028,209.054611
0.5420004,-0.359141,-0.205908,9.962578,9.971175,2.379486,209.827087
0.5440004,-0.349564,-0.215485,9.969760,9.978213,2.358583,211.651276
0.5460004,-0.339987,-0.213090,9.969760,9.977831,2.304692,212.077866
0.5480004,-0.335198,-0.210696,9.960183,9.968049,2.276323,212.152298
0.5500004,-0.316044,-0.201119,9.955395,9.962440,2.154950,212.471191
0.5520003,-0.316044,-0.196331,9.931452,9.938418,2.145392,211.849045
0.5540004,-0.308861,-0.215485,9.924269,9.931412,2.173218,214.902496
0.5560004,-0.308861,-0.227456,9.926663,9.934072,2.212843,216.369202
0.5580004,-0.301679,-0.227456,9.921875,9.929066,2.180681,217.015137
0.5600004,-0.299284,-0.210696,9.914692,9.921446,2.114240,215.145554
0.5620005,-0.292102,-0.222668,9.890749,9.897566,2.126609,217.318100
0.5640004,-0.287313,-0.225062,9.893144,9.899874,2.112759,218.072784
0.5660005,-0.256187,-0.222668,9.912297,9.918107,1.961243,220.995819
