Keuwl Accelerometer Data File
2021-04-25 22-03-49

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.418998,-0.153234,9.941029,9.951035,2.569636,200.088181
0.0019997,-0.423787,-0.162811,9.938635,9.948998,2.615390,201.015823
0.0039995,-0.423787,-0.153234,9.941029,9.951238,2.595556,199.879074
0.0059993,-0.426181,-0.160416,9.936240,9.946670,2.623982,200.626556
0.0079990,-0.428575,-0.160416,9.936240,9.946773,2.636930,200.520966
0.0099987,-0.414210,-0.167599,9.917087,9.927148,2.579823,202.029449
0.0119985,-0.404632,-0.172388,9.902720,9.912483,2.543144,203.075729
0.0139982,-0.411815,-0.179571,9.893144,9.903339,2.600152,203.559448
0.0159979,-0.402238,-0.181965,9.893144,9.902989,2.555122,204.341095
0.0179977,-0.397450,-0.189148,9.893144,9.902930,2.547450,205.449951
0.0199975,-0.397450,-0.186753,9.902720,9.912453,2.539139,205.167877
0.0219972,-0.399844,-0.191542,9.943423,9.953302,2.552976,205.596375
0.0239969,-0.387873,-0.184359,9.933846,9.943125,2.475358,205.422150
0.0259967,-0.395055,-0.191542,9.888355,9.898097,2.542220,205.866364
0.0279964,-0.395055,-0.198725,9.924269,9.934116,2.551366,206.703781
0.0299961,-0.404632,-0.189148,9.931452,9.941491,2.575115,205.054001
0.0319959,-0.404632,-0.169994,9.929058,9.938754,2.531031,202.788162
0.0339956,-0.409421,-0.158022,9.933846,9.943536,2.529562,201.104843
0.0359954,-0.418998,-0.162811,9.933846,9.944012,2.590877,201.234711
0.0379951,-0.423787,-0.158022,9.909904,9.920219,2.613143,200.449554
0.0399949,-0.426181,-0.146051,9.905115,9.915356,2.604214,198.916412
0.0419946,-0.414210,-0.141262,9.909904,9.919562,2.528633,198.831451
0.0439943,-0.395055,-0.138868,9.902720,9.911571,2.421396,199.367340
0.0459941,-0.404632,-0.138868,9.905115,9.914350,2.473143,198.941986
0.0479938,-0.390267,-0.136474,9.871595,9.880250,2.398330,199.274384
0.0499935,-0.380690,-0.141262,9.878778,9.887119,2.353765,200.358337
0.0519933,-0.397450,-0.138868,9.895537,9.904490,2.436224,199.259293
0.0539931,-0.411815,-0.114925,9.907509,9.916730,2.471005,195.592819
0.0559929,-0.411815,-0.114925,9.919480,9.928690,2.467993,195.592819
0.0579926,-0.409421,-0.095771,9.929058,9.937957,2.424870,193.165802
0.0599924,-0.397450,-0.095771,9.902720,9.911156,2.364054,193.547943
0.0619922,-0.395055,-0.095771,9.862018,9.870392,2.360325,193.626999
0.0639919,-0.404632,-0.086194,9.838076,9.846770,2.407941,192.025284
0.0659918,-0.409421,-0.083800,9.840469,9.849339,2.431802,191.567444
0.0679916,-0.402238,-0.079011,9.845258,9.853788,2.384252,191.113037
0.0699915,-0.378295,-0.095771,9.878778,9.886482,2.262178,194.206772
0.0719913,-0.383084,-0.098165,9.893144,9.901044,2.289013,194.372772
0.0739912,-0.387873,-0.093377,9.905115,9.913146,2.306475,193.535858
0.0759911,-0.387873,-0.074223,9.900327,9.908200,2.284305,190.833054
0.0779909,-0.402238,-0.079011,9.914692,9.923162,2.367529,191.113037
0.0799908,-0.390267,-0.067040,9.907509,9.915419,2.288756,189.747086
0.0819907,-0.366324,-0.067040,9.907509,9.914505,2.152587,190.370743
0.0839906,-0.359141,-0.064645,9.902720,9.909442,2.110442,190.203979
0.0859906,-0.366324,-0.079011,9.883567,9.890669,2.171417,192.171463
0.0879905,-0.359141,-0.076617,9.893144,9.899957,2.125780,192.042572
0.0899904,-0.344776,-0.081405,9.907509,9.913840,2.047844,193.284866
0.0919904,-0.335198,-0.081405,9.914692,9.920691,1.992527,193.650421
0.0939903,-0.330410,-0.079011,9.914692,9.920510,1.962440,193.448608
0.0959902,-0.335198,-0.088588,9.924269,9.930324,2.000956,194.803986
0.0979902,-0.344776,-0.076617,9.943423,9.949694,2.034228,192.528809
0.0999902,-0.356747,-0.074223,9.936240,9.942919,2.100123,191.752930
0.1019902,-0.366324,-0.067040,9.936240,9.943216,2.146395,190.370743
