Keuwl Accelerometer Data File
2021-04-25 23-28-14

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
27.9513798,-3.189174,-10.508472,32.918884,34.702332,18.448719,253.117691
27.9533787,-4.769395,-17.997765,13.802995,23.177345,53.448990,255.157806
27.9553795,-3.198751,-7.877164,-8.107015,11.747570,133.638138,247.898956
27.9573784,-2.286532,0.984047,-8.784595,9.130481,164.178848,156.714569
27.9593773,-0.543500,21.850151,-1.278543,21.894272,93.347763,91.424881
27.9613781,0.816448,21.996202,-0.263370,22.012926,90.685524,87.874290
27.9633770,2.949747,4.987275,-2.916227,6.486778,116.715759,59.397610
27.9653778,3.486064,-1.201926,30.548552,30.770298,6.882734,340.976807
27.9673767,2.394275,-5.451764,42.510349,42.925331,7.973437,293.709839
27.9693775,3.342408,-15.914744,18.775904,24.839190,40.896065,281.860840
27.9713764,6.416656,-11.901940,-3.191568,13.893012,103.280869,298.330292
27.9733772,6.265817,-6.802135,-2.171607,9.499757,103.214432,312.649872
27.9753761,2.662434,6.081458,12.660925,14.295863,27.670166,66.356422
27.9773750,0.110137,3.548315,9.620196,10.254309,20.254959,88.222160
27.9793758,-1.778946,0.342381,10.134965,10.295601,10.134440,169.105896
27.9813747,-2.751022,-5.676826,24.043308,24.857096,14.701440,244.144913
27.9833755,-2.011191,-7.745479,25.072845,26.318909,17.701185,255.444031
27.9853745,0.835602,-5.968927,14.162135,15.391309,23.053665,277.969147
27.9873753,1.283331,-2.566663,-1.494027,3.235246,117.503143,296.565063
27.9893742,0.814053,-1.230657,-5.667248,5.856185,165.406387,303.483795
27.9913731,0.268159,4.328849,-2.423006,4.968078,119.190506,86.455231
27.9933739,0.239427,10.975356,14.911544,18.516747,36.360722,88.750290
27.9953728,0.735042,10.063137,15.119845,18.177370,33.716431,85.822357
27.9973736,0.984047,5.712739,7.494080,9.474438,37.722919,80.226440
27.9993725,2.401458,-0.876305,6.258635,6.760578,22.217617,339.952698
28.0013733,3.691972,-2.909044,15.761511,16.447443,16.605425,321.764099
