Keuwl Accelerometer Data File
2021-04-25 22-04-39

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,0.294496,-0.313650,9.986520,9.995783,2.466803,313.196014
0.0019730,0.294496,-0.318439,9.988914,9.998327,2.486403,312.763031
0.0039595,0.311256,-0.308861,9.996098,10.005711,2.511780,315.221222
0.0059505,0.308861,-0.318439,9.988914,9.998760,2.542836,314.125336
0.0079457,0.299284,-0.328016,9.993703,10.003563,2.544144,312.377594
0.0099419,0.292102,-0.328016,10.003280,10.012918,2.514116,311.685425
0.0119388,0.299284,-0.339987,10.000886,10.011138,2.593218,311.356873
0.0139361,0.313650,-0.356747,10.000886,10.012161,2.719446,311.321747
0.0159337,0.318439,-0.361535,10.000886,10.012484,2.757970,311.373444
0.0179316,0.304073,-0.371113,9.998491,10.009995,2.747232,309.329651
0.0199297,0.294496,-0.383084,9.993703,10.005378,2.768172,307.551270
0.0219279,0.296890,-0.387873,9.991309,10.003242,2.798833,307.431610
0.0239262,0.311256,-0.402238,9.972155,9.985116,2.919669,307.733032
0.0259247,0.311256,-0.407027,9.957788,9.970963,2.945702,307.405365
0.0279232,0.301679,-0.407027,9.953000,9.965886,2.913965,306.544983
0.0299219,0.304073,-0.421392,9.957788,9.971338,2.987275,305.813873
0.0319206,0.299284,-0.428575,9.962578,9.976282,3.003548,304.927521
0.0339195,0.282524,-0.426181,9.962578,9.975691,2.938116,303.541260
0.0359184,0.287313,-0.423787,9.967366,9.980508,2.940580,304.135956
0.0379173,0.284919,-0.423787,9.969760,9.982829,2.932114,303.913574
0.0399163,0.289707,-0.411815,9.986520,9.999205,2.886290,305.125946
0.0419153,0.308861,-0.395055,9.964972,9.977581,2.880860,308.018951
0.0439144,0.316044,-0.392661,9.969760,9.982493,2.894282,308.829834
0.0459136,0.316044,-0.387873,9.988914,10.001437,2.867511,309.173645
0.0479127,0.328016,-0.380690,9.998491,10.011111,2.877188,310.749359
0.0499119,0.337593,-0.371113,10.000886,10.013462,2.871876,312.292084
0.0519112,0.330410,-0.349564,10.012857,10.024405,2.750365,313.386444
0.0539103,0.323227,-0.347170,10.000886,10.012129,2.715556,312.954590
0.0559096,0.323227,-0.337593,10.005674,10.016584,2.674447,313.754639
0.0579088,0.323227,-0.325621,9.986520,9.997053,2.630390,314.788574
0.0599081,0.328016,-0.325621,9.986520,9.997210,2.649815,315.209869
0.0619082,0.313650,-0.313650,9.986520,9.996366,2.543144,315.000000
0.0639084,0.337593,-0.311256,9.979338,9.989896,2.634479,317.324371
0.0659086,0.337593,-0.311256,9.981731,9.992288,2.633885,317.324371
0.0679085,0.344776,-0.301679,9.976943,9.987455,2.629050,318.814087
0.0699083,0.332804,-0.301679,9.969760,9.979874,2.579671,317.808472
0.0719081,0.316044,-0.294496,9.996098,10.005427,2.474488,317.021362
0.0739080,0.304073,-0.294496,9.988914,9.997880,2.426645,315.916656
0.0759078,0.304073,-0.294496,9.984126,9.993096,2.427855,315.916656
0.0779076,0.299284,-0.299284,9.986520,9.995485,2.426887,315.000000
0.0799075,0.294496,-0.306467,10.008069,10.017090,2.431802,313.858795
0.0819073,0.294496,-0.316044,10.010463,10.019779,2.471005,312.978638
0.0839072,0.282524,-0.332804,9.991309,10.000842,2.501863,310.328613
0.0859070,0.287313,-0.328016,9.979338,9.988860,2.502020,311.215515
0.0879068,0.292102,-0.323227,9.981731,9.991234,2.499045,312.104248
0.0899066,0.289707,-0.335198,9.964972,9.974815,2.545682,310.836395
0.0919064,0.289707,-0.339987,9.962578,9.972587,2.567197,310.434723
0.0939062,0.280130,-0.361535,9.960183,9.970678,2.629124,307.769745
0.0959060,0.282524,-0.351958,9.945818,9.956053,2.598195,308.754761
0.0979058,0.287313,-0.344776,9.948212,9.958330,2.583083,309.805573
0.0999055,0.284919,-0.347170,9.957788,9.967912,2.582477,309.375366
0.1019053,0.275342,-0.342381,9.960183,9.969869,2.525767,308.806091
0.1039050,0.268159,-0.344776,9.964972,9.974540,2.509830,307.875000
0.1059047,0.272947,-0.354353,9.964972,9.975005,2.570093,307.605988
0.1079045,0.275342,-0.354353,9.967366,9.977463,2.577774,307.848175
0.1099042,0.272947,-0.344776,9.972155,9.981846,2.524992,308.367493
0.1119039,0.270553,-0.337593,9.933846,9.943262,2.493635,308.709320
0.1139037,0.268159,-0.332804,9.929058,9.938252,2.464740,308.860321
0.1159035,0.263370,-0.318439,9.945818,9.954399,2.379239,309.593048
0.1179033,0.265765,-0.313650,9.948212,9.956702,2.366371,310.275543
0.1199030,0.256187,-0.320833,9.953000,9.961465,2.362232,308.607635
0.1219028,0.253793,-0.311256,9.969760,9.977845,2.306729,309.193268
0.1239026,0.253793,-0.311256,9.969760,9.977845,2.306729,309.193268
0.1259023,0.244216,-0.292102,9.969760,9.977028,2.187133,309.897827
0.1279021,0.258582,-0.284919,9.976943,9.984360,2.208594,312.225739
0.1299019,0.256187,-0.277736,9.986520,9.993665,2.166724,312.688873
0.1319017,0.249005,-0.275342,9.991309,9.998203,2.127805,312.124542
0.1339015,0.256187,-0.272947,9.988914,9.995926,2.146122,313.185822
0.1359013,0.249005,-0.260976,9.986520,9.993032,2.068479,313.655273
0.1379011,0.251399,-0.268159,9.974549,9.981319,2.110442,313.152374
0.1399009,0.256187,-0.256187,9.979338,9.985912,2.079237,315.000000
0.1419007,0.258582,-0.251399,9.979338,9.985852,2.069709,315.806915
0.1439005,0.246610,-0.258582,9.953000,9.959412,2.056047,313.642548
0.1459004,0.246610,-0.263370,9.948212,9.954753,2.077165,313.117706
0.1479002,0.239427,-0.263370,9.945818,9.952185,2.049564,312.273682
0.1499001,0.241822,-0.256187,9.945818,9.952055,2.028544,313.347687
0.1518999,0.237033,-0.260976,9.948212,9.954456,2.029605,312.247528
0.1538997,0.229850,-0.282524,9.929058,9.935736,2.100775,309.130402
0.1558996,0.229850,-0.268159,9.945818,9.952087,2.033843,310.601288
0.1578994,0.229850,-0.270553,9.943423,9.949759,2.044688,310.349823
0.1598993,0.246610,-0.287313,9.941029,9.948236,2.181219,310.640594
0.1618992,0.249005,-0.289707,9.945818,9.953152,2.199625,310.679199
0.1638991,0.249005,-0.282524,9.926663,9.933805,2.172678,311.391541
0.1658990,0.249005,-0.268159,9.929058,9.935800,2.110720,312.878906
0.1678989,0.246610,-0.270553,9.933846,9.940590,2.110534,312.349304
0.1698988,0.249005,-0.280130,9.926663,9.933736,2.162203,311.633545
0.1718987,0.260976,-0.284919,9.926663,9.934179,2.228883,312.488647
0.1738986,0.268159,-0.284919,9.926663,9.934371,2.257154,313.264313
0.1758985,0.270553,-0.277736,9.960183,9.967727,2.229234,314.249451
0.1778984,0.296890,-0.280130,9.969760,9.978112,2.344517,316.663727
0.1798983,0.304073,-0.306467,9.976943,9.986279,2.477808,314.775299
0.1818982,0.320833,-0.299284,9.986520,9.996153,2.515595,316.990173
0.1838980,0.330410,-0.306467,9.991309,10.001468,2.582629,317.152954
0.1858979,0.330410,-0.323227,10.000886,10.011561,2.646193,315.629608
0.1878978,0.351958,-0.325621,10.010463,10.021939,2.742240,317.225922
0.1898976,0.354353,-0.335198,10.008069,10.019949,2.790357,316.591156
0.1918975,0.356747,-0.335198,9.996098,10.008077,2.803585,316.783722
0.1938974,0.356747,-0.339987,9.993703,10.005846,2.823067,316.377991
0.1958972,0.363930,-0.349564,9.991309,10.004044,2.891237,316.153442
0.1978970,0.359141,-0.332804,10.005674,10.017647,2.801489,317.179749
0.1998969,0.359141,-0.320833,10.005674,10.017257,2.755556,318.224518
0.2018967,0.356747,-0.313650,10.010463,10.021727,2.716781,318.678223
0.2038965,0.363930,-0.299284,10.027223,10.038287,2.690355,320.567200
0.2058964,0.354353,-0.301679,10.029617,10.040408,2.656602,319.590546
0.2078962,0.337593,-0.306467,10.024829,10.035192,2.604139,317.766785
0.2098960,0.316044,-0.292102,10.000886,10.010141,2.464025,317.254578
0.2118958,0.308861,-0.282524,9.998491,10.007250,2.397351,317.549957
0.2138956,0.296890,-0.289707,9.981731,9.990347,2.379650,315.701538
0.2158954,0.296890,-0.292102,9.960183,9.968887,2.394491,315.465820
0.2178952,0.292102,-0.280130,9.938635,9.946872,2.331877,316.198486
0.2198950,0.272947,-0.282524,9.921875,9.929648,2.267277,314.012238
0.2218948,0.272947,-0.289707,9.902720,9.910717,2.301803,313.293823
0.2238946,0.258582,-0.272947,9.895537,9.902678,2.175919,313.451843
0.2258944,0.263370,-0.270553,9.897932,9.905131,2.184626,314.229248
0.2278941,0.253793,-0.265765,9.890749,9.897573,2.127805,313.680054
0.2298938,0.237033,-0.249005,9.888355,9.894330,1.991250,313.589050
0.2318936,0.229850,-0.246610,9.897932,9.903671,1.950637,312.985413
0.2338933,0.237033,-0.249005,9.900327,9.906294,1.988791,313.589050
0.2358930,0.249005,-0.256187,9.917087,9.923520,2.063268,314.185425
0.2378928,0.246610,-0.256187,9.926663,9.933030,2.051568,313.908783
0.2398926,0.237033,-0.260976,9.912297,9.918565,2.037016,312.247528
0.2418923,0.239427,-0.263370,9.914692,9.921079,2.055951,312.273682
0.2438920,0.237033,-0.253793,9.912297,9.918379,2.006523,313.044312
0.2458918,0.244216,-0.251399,9.912297,9.918491,2.024971,314.169678
0.2478915,0.253793,-0.244216,9.905115,9.911375,2.036439,316.101715
0.2498912,0.263370,-0.239427,9.900327,9.906723,2.058995,317.726318
0.2518910,0.272947,-0.260976,9.921875,9.929059,2.179693,316.284454
0.2538908,0.280130,-0.270553,9.929058,9.936693,2.246202,315.996338
0.2558906,0.289707,-0.270553,9.962578,9.970461,2.278557,316.958069
0.2578903,0.294496,-0.275342,9.988914,9.997047,2.311306,316.925171
0.2598900,0.320833,-0.289707,10.015251,10.024576,2.471480,317.918427
0.2618898,0.330410,-0.296890,10.017646,10.027489,2.538830,318.058685
0.2638895,0.347170,-0.308861,10.024829,10.035592,2.653874,318.341949
0.2658892,0.344776,-0.311256,10.022434,10.033192,2.653432,317.924988
0.2678890,0.332804,-0.311256,10.024829,10.035180,2.602636,316.916260
0.2698888,0.335198,-0.311256,10.017646,10.028084,2.614417,317.121094
0.2718885,0.328016,-0.318439,10.015251,10.025680,2.613518,315.848755
0.2738883,0.313650,-0.318439,10.008069,10.018044,2.557113,314.565948
0.2758880,0.308861,-0.330410,10.008069,10.018284,2.587550,313.069427
0.2778877,0.311256,-0.335198,9.998491,10.008949,2.619428,312.878906
0.2798874,0.328016,-0.337593,9.979338,9.990433,2.700521,314.175659
0.2818872,0.320833,-0.342381,9.969760,9.980795,2.694499,313.139069
0.2838869,0.308861,-0.339987,9.967366,9.977944,2.638489,312.253601
0.2858867,0.304073,-0.339987,9.967366,9.977798,2.620175,311.808380
0.2878864,0.292102,-0.344776,9.964972,9.975212,2.596386,310.272003
