Keuwl Accelerometer Data File
2021-04-25 22-06-32

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.038308,-0.328016,10.008069,10.013516,1.889998,263.338684
0.0019730,-0.064645,-0.325621,10.015251,10.020751,1.898367,258.771118
0.0039595,-0.081405,-0.325621,9.998491,10.004124,1.922747,255.963760
0.0059505,-0.122108,-0.294496,9.984126,9.989215,1.828955,247.479431
0.0079457,-0.143656,-0.282524,9.976943,9.981977,1.819622,243.047821
0.0099419,-0.153234,-0.284919,9.969760,9.975007,1.858464,241.727966
0.0119388,-0.155628,-0.282524,9.967366,9.972584,1.853508,241.151947
0.0139361,-0.136474,-0.272947,9.950606,9.955284,1.756469,243.434952
0.0159337,-0.141262,-0.265765,9.938635,9.943192,1.734606,242.007950
0.0179316,-0.146051,-0.227456,9.924269,9.927949,1.560096,237.295273
0.0199297,-0.146051,-0.217879,9.931452,9.934916,1.512973,236.164886
0.0219279,-0.143656,-0.210696,9.917087,9.920365,1.473128,235.713120
0.0239262,-0.146051,-0.208302,9.919480,9.922742,1.469137,234.963806
0.0259247,-0.134079,-0.205908,9.926663,9.929704,1.417893,236.929321
0.0279232,-0.086194,-0.203513,9.929058,9.931518,1.275182,247.045914
0.0299219,-0.040703,-0.193936,9.941029,9.943004,1.142096,258.147003
0.0319206,-0.026337,-0.181965,9.950606,9.952305,1.058509,261.764374
0.0339195,-0.004789,-0.179571,9.972155,9.973773,1.032114,268.472473
0.0359184,0.023943,-0.184359,9.974549,9.976281,1.067712,277.399597
0.0379173,0.035914,-0.186753,9.976943,9.978755,1.091815,280.885529
0.0399163,0.035914,-0.174782,9.984126,9.985721,1.023929,281.611481
0.0419153,0.045491,-0.162811,9.988914,9.990345,0.969548,285.610992
0.0439144,0.062251,-0.186753,10.000886,10.002823,1.127612,288.434937
0.0459136,0.071828,-0.174782,10.012857,10.014641,1.081370,292.340637
0.0479127,0.074223,-0.177176,10.015251,10.017093,1.098605,292.729736
0.0499119,0.079011,-0.177176,10.048771,10.050644,1.106238,294.034302
0.0519112,0.076617,-0.186753,10.043983,10.046011,1.151481,292.306213
0.0539103,0.081405,-0.186753,10.046377,10.048443,1.161801,293.552277
0.0559096,0.069434,-0.201119,10.034406,10.036661,1.214665,289.046631
0.0579088,0.067040,-0.203513,10.020041,10.022331,1.225092,288.232483
0.0599081,0.035914,-0.184359,10.015251,10.017012,1.074290,281.023468
0.0619082,0.016760,-0.181965,10.008069,10.009737,1.046050,275.262390
0.0639084,0.004789,-0.172388,10.005674,10.007160,0.987347,271.591125
0.0659086,0.000000,-0.177176,10.000886,10.002456,1.015100,270.000000
0.0679085,-0.011971,-0.189148,9.993703,9.995500,1.086425,266.378510
0.0699083,-0.026337,-0.186753,9.981731,9.983513,1.082456,261.972748
0.0719081,-0.045491,-0.186753,9.969760,9.971613,1.104644,256.309937
0.0739080,-0.081405,-0.177176,9.964972,9.966879,1.120998,245.323135
0.0759078,-0.102954,-0.167599,9.974549,9.976488,1.129519,238.438187
0.0779076,-0.131685,-0.148445,9.967366,9.969341,1.140553,228.423874
0.0799075,-0.131685,-0.146051,9.957788,9.959730,1.131423,227.960938
0.0819073,-0.126897,-0.134079,9.933846,9.935561,1.064408,226.576553
0.0839072,-0.112531,-0.131685,9.929058,9.930569,0.999364,229.484604
0.0859070,-0.110137,-0.146051,9.926663,9.928349,1.055732,232.980118
0.0879068,-0.098165,-0.148445,9.924269,9.925864,1.027363,236.523727
0.0899066,-0.090982,-0.150839,9.938635,9.940196,1.015485,238.902679
0.0919064,-0.088588,-0.160416,9.943423,9.945112,1.055918,241.090820
0.0939062,-0.095771,-0.155628,9.955395,9.957072,1.051833,238.392502
0.0959060,-0.088588,-0.158022,9.976943,9.978588,1.040423,240.724747
0.0979058,-0.062251,-0.150839,9.969760,9.971095,0.937535,247.574142
0.0999055,-0.026337,-0.141262,9.988914,9.989948,0.824245,259.438995
0.1019053,-0.007183,-0.143656,9.988914,9.989950,0.824957,267.137604
0.1039050,0.019154,-0.158022,9.998491,9.999758,0.911931,276.911224
0.1059047,0.035914,-0.160416,9.991309,9.992661,0.942531,282.619324
0.1079045,0.045491,-0.160416,9.996098,9.997488,0.955521,285.832397
0.1099042,0.057463,-0.169994,10.012857,10.014465,1.026792,288.676697
0.1119039,0.059857,-0.165205,10.024829,10.026369,1.004247,289.916412
0.1139037,0.059857,-0.158022,10.024829,10.026253,0.965706,290.746094
0.1159035,0.067040,-0.143656,10.020041,10.021295,0.906550,295.016907
0.1179032,0.067040,-0.141262,10.029617,10.030836,0.893286,295.387909
0.1199030,0.081405,-0.141262,10.034406,10.035730,0.930832,299.953613
0.1219028,0.071828,-0.148445,10.020041,10.021398,0.942946,295.820984
0.1239025,0.067040,-0.150839,10.020041,10.021400,0.943983,293.962494
0.1259023,0.045491,-0.141262,10.000886,10.001987,0.850418,287.850311
0.1279020,0.035914,-0.138868,9.993703,9.994733,0.822581,284.500153
0.1299019,0.021548,-0.131685,9.974549,9.975442,0.766428,279.293304
0.1319017,-0.002394,-0.117319,9.955395,9.956086,0.675217,268.830872
0.1339015,-0.023943,-0.114925,9.953000,9.953692,0.675796,258.231720
0.1359013,-0.057463,-0.095771,9.967366,9.967992,0.641940,239.036240
0.1379011,-0.071828,-0.083800,9.945818,9.946430,0.635814,229.398697
0.1399009,-0.083800,-0.098165,9.948212,9.949049,0.743358,229.513992
0.1419007,-0.095771,-0.110137,9.964972,9.966041,0.839301,228.990906
0.1439005,-0.100560,-0.105348,9.945818,9.946884,0.838835,226.332214
0.1459004,-0.100560,-0.114925,9.929058,9.930233,0.881378,228.814072
0.1479002,-0.122108,-0.112531,9.933846,9.935234,0.957566,222.662689
0.1499000,-0.112531,-0.102954,9.936240,9.937410,0.879378,222.455200
0.1518998,-0.095771,-0.093377,9.941029,9.941929,0.771010,224.274780
0.1538997,-0.071828,-0.100560,9.924269,9.925038,0.713541,234.462326
0.1558996,-0.052674,-0.119714,9.921875,9.922737,0.755370,246.250504
0.1578994,-0.031126,-0.138868,9.964972,9.965988,0.818288,257.366638
0.1598993,0.000000,-0.143656,9.988914,9.989947,0.824008,270.000000
0.1618992,0.019154,-0.153234,9.986520,9.987714,0.886028,277.125031
0.1638990,0.028731,-0.141262,9.993703,9.994742,0.826379,281.496552
0.1658989,0.043097,-0.146051,9.993703,9.994863,0.872901,286.440369
0.1678988,0.055068,-0.150839,9.998491,9.999781,0.920048,290.056091
0.1698986,0.055068,-0.153234,9.996098,9.997423,0.933141,289.767181
0.1718985,0.069434,-0.153234,10.000886,10.002301,0.963880,294.376465
0.1738984,0.112531,-0.160416,9.996098,9.998018,1.123091,305.049377
0.1758983,0.131685,-0.165205,10.012857,10.015086,1.208851,308.558411
0.1778982,0.129291,-0.172388,10.017646,10.019963,1.232259,306.869904
0.1798981,0.136474,-0.179571,10.020041,10.022579,1.289678,307.234833
0.1818980,0.136474,-0.172388,10.022434,10.024845,1.256632,308.367493
0.1838979,0.131685,-0.165205,10.015251,10.017479,1.208366,308.558411
0.1858978,0.124502,-0.141262,10.020041,10.021810,1.076655,311.391541
0.1878977,0.110137,-0.138868,10.020041,10.021608,1.013557,308.418060
0.1898976,0.093377,-0.119714,9.993703,9.994856,0.870207,307.954224
0.1918975,0.086194,-0.124502,9.976943,9.978092,0.869532,304.695160
0.1938974,0.079011,-0.131685,9.979338,9.980519,0.881600,300.963745
0.1958973,0.071828,-0.126897,9.962578,9.963645,0.838601,299.511505
0.1978972,0.050280,-0.124502,9.960183,9.961088,0.772278,291.991119
0.1998970,0.033520,-0.124502,9.967366,9.968200,0.740985,285.068481
0.2018969,-0.009577,-0.117319,9.967366,9.968061,0.676664,265.333130
0.2038967,-0.031126,-0.126897,9.960183,9.961040,0.751734,256.218414
0.2058966,-0.043097,-0.124502,9.955395,9.956266,0.758214,250.906509
0.2078965,-0.052674,-0.134079,9.941029,9.942072,0.830159,248.552261
0.2098963,-0.055068,-0.131685,9.945818,9.946842,0.822344,247.306198
0.2118962,-0.057463,-0.119714,9.962578,9.963463,0.763614,244.358994
0.2138960,-0.038308,-0.150839,9.969760,9.970975,0.894381,255.749969
0.2158958,-0.033520,-0.167599,9.969760,9.971225,0.982181,258.690063
0.2178956,-0.033520,-0.162811,9.974549,9.975934,0.954701,258.366364
0.2198955,-0.004789,-0.160416,9.979338,9.980628,0.921323,268.290192
0.2218953,0.000000,-0.167599,9.974549,9.975957,0.962458,270.000000
0.2238952,-0.007183,-0.181965,9.964972,9.966636,1.046985,267.739502
0.2258950,0.002394,-0.184359,9.962578,9.964284,1.060356,270.744049
0.2278948,0.026337,-0.184359,9.988914,9.990650,1.068079,278.130096
0.2298946,0.045491,-0.196331,9.993703,9.995735,1.155383,283.045624
0.2318944,0.059857,-0.203513,10.000886,10.003136,1.215148,286.389526
0.2338942,0.081405,-0.201119,10.024829,10.027176,1.239700,292.036224
0.2358940,0.093377,-0.196331,10.036800,10.039155,1.240962,295.436218
0.2378938,0.086194,-0.201119,10.043983,10.046366,1.248038,293.198578
0.2398936,0.107742,-0.205908,10.039194,10.041883,1.326037,297.621063
0.2418933,0.114925,-0.201119,10.027223,10.029898,1.323378,299.744873
0.2438930,0.129291,-0.193936,10.008069,10.010783,1.334275,303.690063
0.2458928,0.134079,-0.177176,10.008069,10.010535,1.271801,307.116852
0.2478925,0.134079,-0.184359,10.003280,10.005877,1.305363,306.027374
0.2498922,0.129291,-0.203513,10.000886,10.003792,1.380977,302.427551
0.2518920,0.114925,-0.201119,9.986520,9.989205,1.328543,299.744873
0.2538918,0.102954,-0.203513,9.986520,9.989123,1.308208,296.834045
0.2558916,0.090982,-0.198725,9.957788,9.960187,1.257411,294.599792
0.2578913,0.074223,-0.193936,9.964972,9.967135,1.193866,290.942657
0.2598910,0.067040,-0.210696,9.962578,9.965032,1.271494,287.650116
0.2618908,0.057463,-0.201119,9.969760,9.971954,1.202033,285.945404
0.2638905,0.050280,-0.203513,9.972155,9.974358,1.204310,283.877533
0.2658902,0.047885,-0.205908,9.969760,9.972001,1.214826,283.091888
0.2678899,0.040703,-0.193936,9.967366,9.969336,1.138836,281.852997
0.2698897,0.031126,-0.193936,9.957788,9.959725,1.130038,279.117859
0.2718895,0.014366,-0.210696,9.945818,9.948060,1.216436,273.900482
0.2738892,-0.011971,-0.210696,9.960183,9.962419,1.213859,266.748047
0.2758889,-0.007183,-0.208302,9.964972,9.967151,1.198120,268.025055
0.2778887,-0.002394,-0.208302,9.964972,9.967149,1.197630,269.341461
0.2798885,-0.014366,-0.203513,9.976943,9.979029,1.171529,265.962280
0.2818882,-0.023943,-0.191542,9.988914,9.990780,1.107122,262.874969
0.2838879,-0.011971,-0.215485,9.986520,9.988852,1.237962,266.820160
0.2858877,-0.007183,-0.205908,9.981731,9.983858,1.182667,268.002106
0.2878874,-0.004789,-0.203513,9.984126,9.986201,1.168016,268.652100
0.2898872,-0.002394,-0.213090,9.962578,9.964857,1.225411,269.356262
0.2918869,-0.002394,-0.225062,9.969760,9.972301,1.293315,269.390503
0.2938866,0.011971,-0.198725,9.979338,9.981323,1.142781,273.447388
0.2958864,0.033520,-0.196331,9.979338,9.981325,1.143466,279.688782
0.2978861,0.035914,-0.213090,9.962578,9.964921,1.242538,279.566681
0.2998858,0.055068,-0.208302,9.986520,9.988844,1.236064,284.808380
0.3018856,0.069434,-0.213090,10.005674,10.008184,1.283289,288.047821
0.3038854,0.069434,-0.220273,10.008069,10.010734,1.322046,287.495758
0.3058851,0.074223,-0.205908,10.008069,10.010462,1.252733,289.822479
0.3078848,0.069434,-0.205908,9.986520,9.988884,1.246626,288.634583
0.3098846,0.057463,-0.196331,9.967366,9.969465,1.175698,286.313843
0.3118843,0.059857,-0.193936,9.953000,9.955070,1.168351,287.152435
0.3138840,0.069434,-0.184359,9.953000,9.954949,1.133842,290.637543
0.3158838,0.059857,-0.177176,9.960183,9.961939,1.075746,288.666901
0.3178836,0.052674,-0.177176,9.969760,9.971473,1.062016,286.557068
0.3198833,0.038308,-0.179571,9.955395,9.957088,1.056473,282.042572
0.3218831,0.016760,-0.174782,9.955395,9.956944,1.010656,275.477356
0.3238828,0.014366,-0.181965,9.964972,9.966643,1.049411,274.513977
0.3258825,0.009577,-0.184359,9.964972,9.966681,1.061278,272.973724
0.3278823,-0.014366,-0.191542,9.950606,9.952460,1.105884,265.710846
0.3298820,-0.016760,-0.189148,9.941029,9.942842,1.094500,264.936371
