Keuwl Accelerometer Data File
2021-04-25 23-01-12

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.505192,-1.491633,10.089474,10.211643,8.871657,251.289597
0.0020000,-0.464489,-1.664021,10.079897,10.226878,9.725647,254.403625
0.0040000,-0.426181,-1.733455,10.015251,10.173089,10.106006,256.187408
0.0060000,-0.397450,-1.822043,9.986520,10.159153,10.577618,257.694611
0.0080000,-0.469278,-1.793312,10.008069,10.178292,10.493420,255.335541
0.0100000,-0.543500,-1.728666,10.036800,10.199071,10.234219,252.546616
0.0120000,-0.711100,-1.539519,10.060742,10.202662,9.567703,245.207916
0.0139997,-0.782928,-1.321640,9.938635,10.056648,8.786217,239.357864
0.0159995,-0.758985,-1.216292,9.859624,9.963313,8.273316,238.035187
0.0179992,-0.600963,-1.000807,9.658504,9.728797,6.891676,239.016083
0.0199990,-0.335198,-0.885882,9.464568,9.511845,5.714877,249.274445
0.0219989,-0.225062,-0.603357,9.395134,9.417177,3.921014,249.543686
0.0239987,-0.079011,-0.337593,9.421472,9.427849,2.107565,256.827454
0.0259985,-0.074223,-0.227456,9.553157,9.556152,1.434632,251.927673
0.0279984,-0.114925,-0.119714,9.785401,9.786809,0.971766,226.169144
0.0299981,-0.117319,-0.086194,9.909904,9.910973,0.841629,216.304489
0.0319979,-0.107742,-0.062251,9.883567,9.884350,0.721179,210.018372
0.0339976,-0.105348,0.009577,9.821315,9.821884,0.617073,174.805573
0.0359974,-0.198725,0.023943,9.833286,9.835323,1.166172,173.130005
0.0379972,-0.260976,0.023943,9.847652,9.851139,1.524441,174.758179
0.0399970,-0.385478,0.028731,9.917087,9.924618,2.232217,175.737396
0.0419968,-0.428575,0.131685,9.981731,9.991796,2.571844,162.919769
0.0439966,-0.411815,0.225062,10.005674,10.016674,2.685403,151.342880
0.0459964,-0.361535,0.438152,10.005674,10.021787,3.249380,129.527283
0.0479961,-0.337593,0.538712,9.981731,10.001957,3.644326,122.073997
