ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.007634,-0.001762,9.807589,-3.11E-4,-0.001159,9.806651,0.004206,0.003184,0.003946,4.98,-19.62,-21.42,194.6449,0.1471,-0.6029,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,24,2021-05-01 16:24:09:055
-0.007634,-0.001762,9.807589,2.6E-4,3.08E-4,9.806649,0.001763,0.005016,-0.002163,5.46,-19.5,-21.42,195.3249,0.1401,-0.6029,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,34,2021-05-01 16:24:09:065
0.005591,0.003531,9.752416,2.6E-4,3.08E-4,9.806649,0.001152,0.001962,8.91E-4,5.46,-19.5,-21.42,195.3249,0.1401,-0.6029,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,44,2021-05-01 16:24:09:075
0.0151,8.52E-4,9.781044,7.51E-4,7.74E-4,9.80665,-0.001902,-4.81E-4,2.8E-4,5.4,-20.04,-22.26,195.3249,0.1401,-0.6029,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,54,2021-05-01 16:24:09:085
0.001424,0.007204,9.733318,0.001658,8.17E-4,9.806649,-7.0E-5,-4.81E-4,-9.41E-4,5.46,-20.28,-22.56,195.3249,0.1401,-0.6029,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,64,2021-05-01 16:24:09:095
0.007877,0.00291,9.749995,0.001658,8.17E-4,9.806649,-7.0E-5,1.3E-4,-0.002163,5.46,-20.28,-22.56,195.3249,0.1401,-0.6029,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,74,2021-05-01 16:24:09:105
0.007877,0.00291,9.749995,0.001484,7.07E-4,9.80665,-7.0E-5,1.3E-4,-0.002163,5.04,-19.62,-22.38,194.6103,0.1473,-0.5949,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,85,2021-05-01 16:24:09:116
0.016253,0.001979,9.769057,0.001972,9.78E-4,9.80665,-0.001291,-0.001703,8.91E-4,4.98,-19.62,-22.14,194.6103,0.1473,-0.5949,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,94,2021-05-01 16:24:09:125
0.002826,-0.01186,9.776296,0.001972,9.78E-4,9.80665,0.001152,7.4E-4,2.8E-4,4.98,-19.62,-22.14,194.6103,0.1473,-0.5949,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,104,2021-05-01 16:24:09:135
-0.013617,0.009694,9.795716,0.002926,0.001723,9.80665,0.002985,-0.001092,2.8E-4,5.22,-19.38,-21.96,194.6103,0.1473,-0.5949,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,115,2021-05-01 16:24:09:146
-0.014992,-0.004774,9.788471,0.002926,0.001723,9.80665,0.001152,7.4E-4,0.003335,5.22,-19.38,-21.96,194.6103,0.1473,-0.5949,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,124,2021-05-01 16:24:09:155
-0.014992,-0.004774,9.788471,8.33E-4,1.76E-4,9.806647,0.003596,7.4E-4,0.001502,5.04,-19.44,-21.96,195.3226,0.1613,-0.5808,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,134,2021-05-01 16:24:09:165
-0.013806,-0.007278,9.740533,8.33E-4,1.76E-4,9.806647,-6.81E-4,-0.002925,-3.3E-4,5.04,-19.44,-21.96,195.3226,0.1613,-0.5808,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,145,2021-05-01 16:24:09:176
-0.010951,-0.005549,9.730939,7.87E-4,1.46E-4,9.806648,0.001152,0.005627,0.003946,4.08,-20.04,-22.32,195.3226,0.1613,-0.5808,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,154,2021-05-01 16:24:09:185
-0.006214,0.020432,9.740614,7.87E-4,1.46E-4,9.806648,5.41E-4,0.005627,0.002724,4.08,-20.04,-22.32,195.3226,0.1613,-0.5808,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,165,2021-05-01 16:24:09:196
-0.006214,0.020432,9.740614,2.43E-4,-1.11E-4,9.80665,-6.81E-4,0.006238,0.001502,4.02,-20.04,-22.26,191.8819,0.1634,-0.5766,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,174,2021-05-01 16:24:09:205
-9.95E-4,-0.006284,9.785915,2.43E-4,-1.11E-4,9.80665,-0.003124,0.001962,-0.001552,4.02,-20.04,-22.26,191.8819,0.1634,-0.5766,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,184,2021-05-01 16:24:09:215
0.012996,0.015337,9.75237,4.05E-4,-2.3E-4,9.80665,5.41E-4,-0.001092,2.8E-4,5.22,-19.92,-22.5,191.8819,0.1634,-0.5766,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,195,2021-05-01 16:24:09:226
0.003375,0.014838,9.778795,4.05E-4,-2.3E-4,9.80665,-0.002513,0.005627,2.8E-4,5.22,-19.92,-22.5,191.8819,0.1634,-0.5766,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,204,2021-05-01 16:24:09:235
0.012556,-0.014382,9.699545,6.07E-4,-3.89E-4,9.80665,-0.001902,0.003795,-0.002163,5.28,-19.86,-22.5,194.5849,0.1625,-0.574,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,214,2021-05-01 16:24:09:245
0.012556,-0.014382,9.699545,6.07E-4,-3.89E-4,9.80665,-0.001902,0.003795,-0.002163,5.28,-19.86,-22.5,194.5849,0.1625,-0.574,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,224,2021-05-01 16:24:09:255
-0.024531,-1.43E-4,9.822067,5.72E-4,-3.62E-4,9.806651,0.001152,0.005627,-3.3E-4,4.8,-19.62,-21.9,194.5849,0.1625,-0.574,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,234,2021-05-01 16:24:09:265
-0.02407,0.012184,9.795791,5.72E-4,-3.62E-4,9.806651,-0.001291,-0.003536,0.001502,4.8,-19.62,-21.9,194.5849,0.1625,-0.574,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,244,2021-05-01 16:24:09:275
-0.016084,0.007879,9.783715,-8.31E-4,4.71E-4,9.80665,-7.0E-5,-0.002314,-9.41E-4,4.92,-19.68,-21.78,194.5814,0.1613,-0.5703,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,254,2021-05-01 16:24:09:285
0.002936,-0.011737,9.723583,-0.001056,5.51E-4,9.80665,-0.001291,-0.002925,-0.002163,5.1,-19.74,-21.84,194.5814,0.1613,-0.5703,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,264,2021-05-01 16:24:09:295
0.002936,-0.011737,9.723583,-0.001056,5.51E-4,9.80665,-6.81E-4,-0.004757,2.8E-4,5.1,-19.74,-21.84,194.5814,0.1613,-0.5703,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,275,2021-05-01 16:24:09:306
-0.01322,-0.00297,9.855466,-0.001116,4.42E-4,9.80665,5.41E-4,-0.001703,0.002113,5.22,-19.86,-21.66,194.5814,0.1613,-0.5703,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,284,2021-05-01 16:24:09:315
0.009348,0.011209,9.766745,-0.001116,4.42E-4,9.80665,-6.81E-4,0.001962,2.8E-4,5.22,-19.86,-21.66,194.5814,0.1613,-0.5703,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,294,2021-05-01 16:24:09:325
0.004081,0.02217,9.819539,-1.91E-4,3.74E-4,9.80665,0.001763,-0.002314,8.91E-4,4.56,-19.8,-21.66,194.5883,0.1622,-0.5772,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,304,2021-05-01 16:24:09:335
0.004081,0.02217,9.819539,-2.77E-4,1.1E-5,9.80665,0.001763,-0.002314,0.004556,4.38,-19.68,-21.78,194.5883,0.1622,-0.5772,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,314,2021-05-01 16:24:09:345
0.016181,0.007008,9.697234,-2.77E-4,1.1E-5,9.80665,0.001763,0.001351,-9.41E-4,4.38,-19.68,-21.78,194.5883,0.1622,-0.5772,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,324,2021-05-01 16:24:09:355
-0.013148,0.004457,9.795656,-7.66E-4,-4.2E-5,9.80665,5.41E-4,0.002573,-9.41E-4,5.16,-19.44,-21.96,194.5883,0.1622,-0.5772,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,335,2021-05-01 16:24:09:366
-0.017039,6.41E-4,9.754967,-7.66E-4,-4.2E-5,9.80665,-0.001291,-0.004757,-9.41E-4,5.16,-19.44,-21.96,194.5883,0.1622,-0.5772,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,344,2021-05-01 16:24:09:375
-0.017039,6.41E-4,9.754967,-7.89E-4,-1.7E-4,9.80665,-7.0E-5,-0.004147,-9.41E-4,5.52,-19.38,-22.8,198.1053,0.1608,-0.5815,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,354,2021-05-01 16:24:09:385
0.003543,-0.002526,9.845758,-8.93E-4,-1.83E-4,9.80665,-7.0E-5,-0.004147,-9.41E-4,4.86,-19.56,-22.44,198.1053,0.1608,-0.5815,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,364,2021-05-01 16:24:09:395
0.003543,-0.002526,9.845758,-8.93E-4,-1.83E-4,9.80665,0.001152,-0.002314,-9.41E-4,4.86,-19.56,-22.44,198.1053,0.1608,-0.5815,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,374,2021-05-01 16:24:09:405
0.00312,0.01284,9.807541,-8.27E-4,-7.9E-5,9.80665,-0.002513,0.001962,-9.41E-4,4.44,-19.74,-22.68,198.1053,0.1608,-0.5815,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,385,2021-05-01 16:24:09:416
0.001317,0.008497,9.771615,-8.27E-4,-7.9E-5,9.80665,0.002374,0.001962,-3.3E-4,4.44,-19.74,-22.68,198.1053,0.1608,-0.5815,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,395,2021-05-01 16:24:09:426
-0.012121,0.002289,9.80044,4.78E-4,-2.25E-4,9.806651,-0.001291,1.3E-4,-0.002774,4.8,-19.86,-22.44,194.5981,0.1589,-0.5859,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,404,2021-05-01 16:24:09:435
0.007576,-0.005143,9.74036,5.17E-4,-1.14E-4,9.80665,5.41E-4,-4.81E-4,-3.3E-4,4.98,-19.38,-22.26,194.5981,0.1589,-0.5859,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,414,2021-05-01 16:24:09:445
0.007576,-0.005143,9.74036,5.17E-4,-1.14E-4,9.80665,0.001763,0.001351,0.001502,4.98,-19.38,-22.26,194.5981,0.1589,-0.5859,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,424,2021-05-01 16:24:09:455
-0.005105,4.41E-4,9.807549,0.001159,1.28E-4,9.80665,5.41E-4,0.001351,8.91E-4,4.62,-19.62,-22.26,194.5981,0.1589,-0.5859,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,435,2021-05-01 16:24:09:466
-0.011989,0.002213,9.814805,0.001159,1.28E-4,9.80665,0.001152,0.003795,8.91E-4,4.62,-19.62,-22.26,194.5981,0.1589,-0.5859,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,444,2021-05-01 16:24:09:475
-0.009146,0.001244,9.745326,7.37E-4,-1.14E-4,9.80665,0.001152,-0.001703,-9.41E-4,4.8,-20.34,-22.08,194.5909,0.1613,-0.5796,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,454,2021-05-01 16:24:09:485
-0.009146,0.001244,9.745326,7.37E-4,-1.14E-4,9.80665,-7.0E-5,1.3E-4,-3.3E-4,4.8,-20.34,-22.08,194.5909,0.1613,-0.5796,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,464,2021-05-01 16:24:09:495
-0.00548,-0.004735,9.7716,7.97E-4,4.34E-4,9.806652,-7.0E-5,1.3E-4,-3.3E-4,5.1,-20.46,-22.02,194.5909,0.1613,-0.5796,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,475,2021-05-01 16:24:09:506
-8.46E-4,-0.005942,9.771551,7.97E-4,4.34E-4,9.806652,-6.81E-4,-0.001703,2.8E-4,5.1,-20.46,-22.02,194.5909,0.1613,-0.5796,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,484,2021-05-01 16:24:09:515
-8.46E-4,-0.005942,9.771551,5.19E-4,1.08E-4,9.80665,-0.001902,0.001351,-3.3E-4,5.28,-20.4,-22.38,194.586,0.1649,-0.5757,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,494,2021-05-01 16:24:09:525
-9.46E-4,-0.021292,9.735549,5.19E-4,1.08E-4,9.80665,5.41E-4,-0.001092,0.001502,5.28,-20.4,-22.38,194.586,0.1649,-0.5757,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,504,2021-05-01 16:24:09:535
0.008167,-0.003757,9.697248,7.58E-4,3.0E-6,9.806649,-7.0E-5,-0.001703,-3.3E-4,5.34,-20.28,-22.68,194.586,0.1649,-0.5757,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,515,2021-05-01 16:24:09:546
0.008167,-0.003757,9.697248,7.58E-4,3.0E-6,9.806649,-6.81E-4,7.4E-4,2.8E-4,5.34,-20.28,-22.68,194.586,0.1649,-0.5757,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,525,2021-05-01 16:24:09:556
-0.009891,-0.019071,9.771556,6.66E-4,4.0E-5,9.806651,5.41E-4,0.006238,0.003946,5.28,-20.04,-22.5,194.5813,0.1661,-0.5714,55.814037,37.50047,210.7,NaN,,15.3,,0 / 1,,534,2021-05-01 16:24:09:565
