ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.009897,0.003826,9.759532,-1.3E-4,-1.31E-4,9.806651,5.41E-4,-0.002314,0.001502,6.48,-23.7,-24.72,196.7764,0.1445,-0.5833,55.813934,37.50007,187.1065,NaN,0.0,12.0,,16 / 17,,9,2021-05-01 16:24:30:547
-0.014556,-0.003901,9.795629,5.44E-4,-4.86E-4,9.806651,0.001152,7.4E-4,-0.001552,5.88,-23.1,-24.18,195.1514,0.1435,-0.5838,55.813934,37.50007,187.1065,NaN,0.0,12.0,,16 / 17,,19,2021-05-01 16:24:30:557
-0.003105,-0.017091,9.7787,5.44E-4,-4.86E-4,9.806651,0.001152,7.4E-4,-0.001552,5.88,-23.1,-24.18,195.1514,0.1435,-0.5838,55.813934,37.50007,187.1065,NaN,0.0,12.0,,16 / 17,,29,2021-05-01 16:24:30:567
0.00631,0.007583,9.802682,9.11E-4,-9.59E-4,9.806651,5.41E-4,1.3E-4,8.91E-4,5.94,-23.4,-24.06,195.1514,0.1435,-0.5838,55.813934,37.50007,187.1065,NaN,0.0,12.0,,16 / 17,,39,2021-05-01 16:24:30:577
0.00631,0.007583,9.802682,9.11E-4,-9.59E-4,9.806651,5.41E-4,7.4E-4,2.8E-4,5.94,-23.4,-24.06,195.1514,0.1435,-0.5838,55.813934,37.50007,187.1065,NaN,0.0,12.0,,16 / 17,,49,2021-05-01 16:24:30:587
-5.03E-4,0.012051,9.747696,6.5E-4,-8.65E-4,9.806651,5.41E-4,-0.001092,-3.3E-4,6.24,-23.7,-23.94,195.1514,0.1435,-0.5838,55.813934,37.50007,187.1065,NaN,0.0,12.0,,16 / 17,,60,2021-05-01 16:24:30:598
-0.004746,-0.014178,9.783518,6.5E-4,-8.65E-4,9.806651,-7.0E-5,-0.001092,0.003946,6.24,-23.7,-23.94,195.1514,0.1435,-0.5838,55.813934,37.50007,187.1065,NaN,0.0,12.0,,16 / 17,,70,2021-05-01 16:24:30:608
0.002842,0.006739,9.785939,-1.4E-5,2.4E-5,9.80665,0.001152,1.3E-4,0.001502,7.02,-22.68,-24.42,197.4364,0.1396,-0.5788,55.813934,37.50007,187.1065,NaN,0.0,12.0,,16 / 17,,79,2021-05-01 16:24:30:617
0.002171,-0.003064,9.776316,2.9E-5,-4.7E-5,9.806649,5.41E-4,1.3E-4,-9.41E-4,6.6,-22.44,-24.0,197.4364,0.1396,-0.5788,55.813934,37.50007,187.1065,NaN,0.0,12.0,,16 / 17,,89,2021-05-01 16:24:30:627
0.01455,0.013186,9.752348,2.9E-5,-4.7E-5,9.806649,-0.001902,1.3E-4,-9.41E-4,6.48,-22.92,-23.94,197.4364,0.1396,-0.5788,55.813934,37.50007,187.1065,NaN,0.0,12.0,,16 / 17,,100,2021-05-01 16:24:30:638
0.01455,0.013186,9.752348,-3.8E-5,1.0E-5,9.80665,-0.001902,-0.001092,-9.41E-4,6.48,-22.92,-23.94,197.4364,0.1396,-0.5788,55.813934,37.50007,187.1065,NaN,0.0,12.0,,16 / 17,,109,2021-05-01 16:24:30:647
0.002367,-0.010673,9.783456,-3.8E-5,1.0E-5,9.80665,0.001763,-4.81E-4,0.002724,6.48,-22.92,-23.94,197.4364,0.1396,-0.5788,55.813934,37.50007,187.1065,NaN,0.0,12.0,,16 / 17,,119,2021-05-01 16:24:30:657
