ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Speed ( m/s),Time since start in ms 
-0.074223,1.034327,9.802161,-0.012396,0.006144,-0.012061,-5.52,-10.38,-37.62,134.9305,-5.5368,0.4632,55.814007,37.50039,204.0841,0,11
-0.057463,0.933767,9.79019,-0.015451,-0.004241,-0.010839,-5.52,-10.38,-37.62,134.9305,-5.5368,0.4632,55.814007,37.50039,204.0841,0,20
0.026337,0.979258,9.838076,-0.005677,-0.007295,-0.017559,-4.98,-10.26,-38.22,134.9305,-5.5368,0.4632,55.814007,37.50039,204.0841,0,31
0.009577,0.972076,9.869201,-0.002622,-0.010349,-0.033441,-5.22,-9.9,-38.4,134.9305,-5.5368,0.4632,55.814007,37.50039,204.0841,0,40
-0.045491,0.976864,9.909904,0.002875,-0.009738,-0.03283,-5.22,-9.9,-38.4,134.9305,-5.5368,0.4632,55.814007,37.50039,204.0841,0,51
-0.045491,0.976864,9.909904,0.012649,-0.000575,-0.027333,-5.52,-10.08,-38.16,134.7447,-5.6191,0.44,55.814007,37.50039,204.0841,0,60
-0.076617,1.010384,9.842864,0.012038,0.004922,-0.023056,-6,-10.08,-37.98,134.7447,-5.6191,0.44,55.814007,37.50039,204.0841,0,71
-0.074223,0.945739,9.668081,-0.001401,0.003701,-0.014504,-6,-10.08,-37.98,134.7447,-5.6191,0.44,55.814007,37.50039,204.0841,0,80
-0.059857,1.022355,9.668081,-0.016672,0.013474,-0.020613,-5.22,-10.14,-38.28,134.7447,-5.6191,0.44,55.814007,37.50039,204.0841,0,91
-0.059857,1.022355,9.668081,-0.019727,0.008588,-0.027943,-5.22,-10.14,-38.28,134.7447,-5.6191,0.44,55.814007,37.50039,204.0841,0,101
