ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),Time since start in ms 
0.011971,0.833208,9.835681,0.016925,-0.009128,-0.017559,-4.2,-9.78,-38.82,147.7463,-4.941,0.2472,55.814,37.500443,214.3526,15
-0.06704,0.854756,9.838076,0.005319,0.01042,-0.005341,-4.2,-9.78,-38.82,147.7463,-4.941,0.2472,55.814,37.500443,214.3526,24
-0.06704,0.854756,9.838076,-0.011175,0.030579,0.013595,-4.74,-9.72,-38.64,147.7463,-4.941,0.2472,55.814,37.500443,214.3526,34
-0.074223,0.912219,9.778218,-0.01484,0.028135,0.022148,-4.74,-9.72,-38.64,147.7463,-4.941,0.2472,55.814,37.500443,214.3526,43
-0.031126,0.881093,9.732727,-0.01484,0.028135,0.022148,-5.76,-9.72,-38.52,137.1557,-4.9269,0.199,55.814,37.500443,214.3526,54
-0.055068,0.847573,9.754275,-0.01484,0.018361,0.019093,-5.76,-9.72,-38.52,137.1557,-4.9269,0.199,55.814,37.500443,214.3526,63
-0.055068,0.847573,9.754275,-0.01484,0.007366,0.007487,-5.64,-10.14,-38.88,137.1557,-4.9269,0.199,55.814,37.500443,214.3526,74
-0.062251,0.833208,9.799767,-0.00812,-0.011571,-0.000454,-5.64,-10.14,-38.88,137.1557,-4.9269,0.199,55.814,37.500443,214.3526,84
-0.055068,0.859545,9.873989,0.004708,-0.023788,-0.002287,-4.14,-10.08,-39.12,147.9254,-4.9265,0.2139,55.814,37.500443,214.3526,94
-0.064645,0.799688,9.900327,0.005319,-0.029897,0.001378,-4.14,-10.08,-39.12,147.9254,-4.9265,0.2139,55.814,37.500443,214.3526,103
-0.059857,0.797294,9.888355,-0.001401,-0.018291,0.012985,-3.9,-9.72,-39.12,147.9254,-4.9265,0.2139,55.814,37.500443,214.3526,114
-0.059857,0.797294,9.888355,-0.009342,-0.014625,0.011763,-3.9,-9.72,-39.12,147.9254,-4.9265,0.2139,55.814,37.500443,214.3526,123
