ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms 
0.272947,-0.459701,9.672871,0.004467,-0.001666,0.003397,9.72,-14.34,-18.72,210.8159,2.6692,-1.3932,81
0.222668,-0.464489,9.648928,-0.001642,-0.001666,0.002786,9.72,-14.34,-18.72,210.8159,2.6692,-1.3932,91
0.220273,-0.435758,9.615408,-0.001642,0.000166,0.000954,9.96,-14.04,-18.84,210.8159,2.6692,-1.3932,100
0.203513,-0.457306,9.634562,-0.005918,-0.000445,0.002175,9.96,-14.04,-18.84,210.8159,2.6692,-1.3932,111
0.203513,-0.457306,9.634562,-0.001642,0.00322,0.002786,9.48,-13.56,-18.3,212.4967,2.6571,-1.3875,120
0.220273,-0.450124,9.687236,0.002023,0.003831,0.002786,9.48,-13.56,-18.3,212.4967,2.6571,-1.3875,130
0.227456,-0.447729,9.727939,0.005688,0.000777,0.00584,8.82,-13.92,-18.3,212.4967,2.6571,-1.3875,141
0.241822,-0.450124,9.677659,0.005688,0.000777,0.00584,8.82,-13.92,-18.3,212.4967,2.6571,-1.3875,150
0.241822,-0.440547,9.648928,0.002634,-0.002277,0.003397,9.18,-13.86,-18.24,212.4888,2.6657,-1.3835,161
0.256187,-0.440547,9.648928,-0.00042,-0.005942,0.000954,9.18,-13.86,-18.24,212.4888,2.6657,-1.3835,170
0.251399,-0.450124,9.648928,-0.004085,-0.001056,0.002175,9.18,-13.56,-18.72,212.4888,2.6657,-1.3835,181
0.241822,-0.457306,9.684841,-0.00042,0.000777,-0.000268,9.18,-13.56,-18.72,212.4888,2.6657,-1.3835,191
0.241822,-0.457306,9.684841,0.000801,0.00322,0.001564,8.82,-13.68,-19.26,212.4677,2.6597,-1.3732,200
0.222668,-0.452518,9.665688,0.004467,0.003831,0.002175,8.82,-13.68,-19.26,212.4677,2.6597,-1.3732,210
0.208302,-0.438152,9.656111,-0.00042,0.001388,0.000954,9.6,-13.86,-18.96,212.4677,2.6597,-1.3732,224
0.220273,-0.442941,9.660899,-0.001031,-0.002888,0.001564,10.14,-14.04,-18.18,215.16,2.656,-1.3788,231
0.220273,-0.442941,9.660899,-0.005307,-0.00411,-0.000268,10.14,-14.04,-18.18,215.16,2.656,-1.3788,240
0.256187,-0.457306,9.668081,-0.005307,-0.00411,-0.000268,9.78,-13.98,-18,215.16,2.656,-1.3788,250
0.256187,-0.457306,9.668081,-0.00042,-0.001056,0.003397,9.78,-13.98,-18,215.16,2.656,-1.3788,260
0.249005,-0.462095,9.668081,0.002634,0.004442,0.001564,9.24,-13.74,-18.78,215.16,2.656,-1.3788,271
0.227456,-0.462095,9.663293,0.002634,0.004442,0.001564,9.24,-13.74,-18.72,215.16,2.656,-1.3788,281
0.227456,-0.445335,9.660899,0.002634,0.003831,0.002786,9.6,-13.38,-18.72,217.0355,2.6568,-1.3785,290
0.227456,-0.442941,9.672871,0.001412,-0.002277,0.003397,9.48,-13.62,-18.48,217.0355,2.6568,-1.3785,300
0.227456,-0.442941,9.672871,0.001412,-0.002277,0.003397,9.48,-13.62,-18.48,217.0355,2.6568,-1.3785,311
0.208302,-0.452518,9.663293,-0.004085,-0.001666,0.00584,9.78,-13.98,-18.6,217.0355,2.6568,-1.3785,321
0.241822,-0.430969,9.663293,0.000801,-0.001666,0.004008,9.78,-13.86,-18.96,215.1358,2.6578,-1.3774,331
0.241822,-0.430969,9.663293,0.001412,0.001999,0.002786,9.78,-13.86,-18.96,215.1358,2.6578,-1.3774,340
0.251399,-0.440547,9.672871,0.002634,0.004442,0.002786,9.6,-13.38,-18.84,215.1358,2.6578,-1.3774,350
0.239427,-0.447729,9.663293,0.002634,0.000777,0.003397,9.6,-13.38,-18.84,215.1358,2.6578,-1.3774,361
0.22985,-0.447729,9.670476,0.000191,-0.001056,0.000343,8.88,-13.68,-18.78,215.1358,2.6578,-1.3774,370
0.220273,-0.435758,9.692024,-0.001031,0.001388,0.001564,8.88,-13.86,-18.96,212.4728,2.6623,-1.3804,381
0.220273,-0.435758,9.692024,-0.001031,0.000166,0.001564,8.88,-13.86,-18.96,212.4728,2.6623,-1.3804,390
0.225062,-0.462095,9.682447,0.000801,0.000777,0.003397,9.18,-14.16,-19.08,212.4728,2.6623,-1.3804,400
